doubt_id	oewn_id	pos	primary_lemma	gloss	chosen_class	chosen_reason	alternative_class	alternative_reason	class_distance	doubt_category	method	priority_score	downstream_count	decision	decision_comment
D-004307	oewn-13350663-n	n	assets	anything of material value or usefulness that is owned by a person or company	dul:Right	propagated via phase1_propagated	dul:FunctionalSubstance	own gloss suggests: substance keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	174.6	281	accept_current	assets: 'anything of material value...owned by a person or company'. Right captures the ownership/legal aspect, which FunctionalSubstance misses. Keep Right.
D-002453	oewn-03423924-n	n	garment	an article of clothing	dul:PhysicalObject	propagated via phase1_propagated	dul:InformationRealization	own gloss suggests: information keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	174.0	280	accept_current	garment: 'an article of clothing'. 'article' here means item, not document. PhysicalObject is correct.
D-003354	oewn-06735202-n	n	statement	a message that is stated or declared; a communication (oral or written) setting forth particulars or facts etc	ontopic:Topic	propagated via phase1_propagated	dul:InformationRealization	own gloss suggests: information keyword in gloss	2	C2_hypernym_vs_gloss	phase1_propagated	170.4	416	accept_proposed	statement: 'a message that is stated or declared'. InformationRealization is precise; Topic is a distant abstraction.
D-003082	oewn-05778923-n	n	thinking	the process of using your mind to consider something carefully	http://www.ontologydesignpatterns.org/ont/dul/Conceptualization.owl#InternalRepresentation	propagated via phase1_propagated	dul:Process	own gloss suggests: gloss opens 'the process of'	3	C2_hypernym_vs_gloss	phase1_propagated	150.6	241	accept_proposed	thinking: 'the process of using your mind to consider'. Process opener is explicit. The chosen InternalRepresentation class was Framester-specific; Process is more foundational.
D-002441	oewn-03410175-n	n	furnishing	(usually plural) the instrumentalities (furniture and appliances and other movable accessories including curtains and rugs) that make a home (or other area) livable	dul:DesignedArtifact	propagated via phase1_propagated	dul:Place	own gloss suggests: place keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	144.0	230	accept_current	furnishing: instrumentalities that make a home livable. It IS an artifact, not a place. DesignedArtifact correct.
D-003947	oewn-09757749-n	n	American	a native or inhabitant of a North American or Central American or South American country	dul:Person	propagated via phase1_propagated	dul:Place	own gloss suggests: place keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	142.2	227	accept_current	American: 'a native or inhabitant of...country'. Person is the synset itself; 'country' is context. Person correct.
D-000023	oewn-01835473-v	v	move	move so as to change position, perform a nontranslational motion	dul:State	Phase 3 tier: propagated_from_hypernym	dul:Action	Phase 3.5 rules R2,R3: R2=dul:Action_signals:1;R3=24/25_tier1_kids_agree_on_dul:Action	1	C1_rule_conflict	phase3_propagated_from_hypernym	138.0	335	accept_proposed	move: 'move so as to change position, perform a nontranslational motion' — 'perform' is Action marker. 24/25 children agree.
D-002442	oewn-03410635-n	n	furniture	furnishings that make a room or other area ready for occupancy	dul:DesignedArtifact	propagated via phase1_propagated	dul:Place	own gloss suggests: place keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	127.2	202	accept_current	furniture: same reasoning as furnishing.
D-002679	oewn-04112987-n	n	room	an area within a building enclosed by walls and floor and ceiling	dul:DesignedArtifact	propagated via phase1_propagated	dul:Place	own gloss suggests: place keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	122.4	194	accept_proposed	room: 'an area within a building enclosed by walls and floor and ceiling'. It IS a place (spatial region inside an artifact). Place > DesignedArtifact.
D-000502	oewn-02208144-v	v	have	have or possess, either in a concrete or an abstract sense	dul:Event	Phase 3 tier: tier3_default_event	dul:Action	Phase 3.5 rules R3: R3=5/9_tier1_kids_agree_on_dul:Action	1	C1_rule_conflict	phase3_tier3_default_event	121.0	232	accept_proposed	have: 'have or possess' is borderline, but 5/9 Tier-1 children are Action (possession acts). Accept Action over tier3_default_event.
D-001612	oewn-00376871-n	n	change of integrity	the act of changing the unity or wholeness of something	dul:Situation	propagated via phase1_propagated	dul:Action	own gloss suggests: gloss opens 'the act of'	3	C2_hypernym_vs_gloss	phase1_propagated	115.2	182	accept_proposed	change of integrity: gloss opens 'the act of changing the unity or wholeness'. Action.
D-000478	oewn-02372362-v	v	act	perform an action, or work out or perform (an action)	dul:State	Phase 3 tier: tier1_derivation	dul:Action	Phase 3.5 rules R3: R3=67/71_tier1_kids_agree_on_dul:Action	1	C1_rule_conflict	phase3_tier1_derivation	101.0	1000	accept_proposed	act: lemma literally 'act'; gloss 'perform an action'. 67/71 children are Action. The tier1_derivation picked State in error.
D-001829	oewn-00746303-n	n	transgression	the act of transgressing; the violation of a law or a duty or moral principle	dul:Situation	propagated via phase1_propagated	dul:Action	own gloss suggests: gloss opens 'the act of'	3	C2_hypernym_vs_gloss	phase1_propagated	100.8	158	accept_proposed	transgression: 'the act of transgressing'. Action.
D-006242	oewn-06919215-n	n	Amerind	any of the languages spoken by Amerindians	dul:InformationObject	collapsed from Framester multi-class via method priority	dul:Person	Framester propagated also assigned this class (synset-Indian-noun-2)	3	C3_multiclass_framester	phase1_propagated	96.6	151	accept_current	Amerind (languages): 'any of the languages spoken by Amerindians'. Languages are information objects; Person is a different sense.
D-001316	oewn-00210792-n	n	termination	the act of ending something	dul:Situation	propagated via phase1_propagated	dul:Action	own gloss suggests: gloss opens 'the act of'	3	C2_hypernym_vs_gloss	phase1_propagated	94.8	148	accept_proposed	termination: 'the act of ending something'. Action.
D-000027	oewn-02661230-v	v	be	occupy a certain position or area; be somewhere	dul:Event	Phase 3 tier: tier3_default_event	dul:State	Phase 3.5 rules R3,R7: R3=12/19_tier1_kids_agree_on_dul:State;R7=example_aspect:dul:State=3	1	C1_rule_conflict	phase3_tier3_default_event	89.0	168	accept_proposed	be: 'occupy a certain position' is a State. 12/19 Tier-1 children agree; examples are stative. The single most important fix.
D-002403	oewn-03319968-n	n	facility	a building or place that provides a particular service or is used for a particular industry	dul:PhysicalObject	propagated via phase1_propagated	dul:Place	own gloss suggests: place keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	86.4	134	accept_proposed	facility: 'a building OR PLACE that provides a particular service'. Gloss explicitly says 'place'. Place is more accurate than PhysicalObject.
D-001550	oewn-00352311-n	n	change of magnitude	the act of changing the amount or size of something	dul:Situation	propagated via phase1_propagated	dul:Action	own gloss suggests: gloss opens 'the act of'	3	C2_hypernym_vs_gloss	phase1_propagated	85.8	133	accept_proposed	change of magnitude: 'the act of changing the amount or size'. Action.
D-003320	oewn-06646883-n	n	information	a message received and understood	ontopic:Topic	propagated via phase1_propagated	dul:InformationRealization	own gloss suggests: information keyword in gloss	2	C2_hypernym_vs_gloss	phase1_propagated	85.2	203	accept_proposed	information: 'a message received and understood'. InformationRealization is the direct class; Topic is less precise.
D-000018	oewn-00145958-v	v	change state	undergo a transformation or a change of position or action	dul:State	Phase 3 tier: propagated_from_hypernym	dul:Process	Phase 3.5 rules R2,R3: R2=dul:Process_signals:1;R3=15/26_tier1_kids_agree_on_dul:Action	1	C1_rule_conflict	phase3_propagated_from_hypernym	84.8	202	accept_proposed	change state: 'undergo a transformation' — 'undergo' marker → Process.
D-005275	oewn-11546388-n	n	wind	air moving (sometimes with considerable force) from an area of high pressure to an area of low pressure	dul:Situation	propagated via phase5alt_propagated_from_hypernym	dul:Place	own gloss suggests: place keyword in gloss	3	C2_hypernym_vs_gloss	phase5alt_propagated_from_hypernym	81.6	58	accept_current	wind: 'air moving...from high to low pressure'. Not a place. Situation is imperfect (Process might fit better), but Place is wrong. Keep current.
D-010467	oewn-11546388-n	n	wind	air moving (sometimes with considerable force) from an area of high pressure to an area of low pressure	dul:Situation	Phase 5-alt propagated via phase5alt_propagated_from_hypernym	dul:Place	own gloss suggests: place keyword in gloss	3	C6_gapfill_vs_gloss	phase5alt_propagated_from_hypernym	81.6	58	accept_current	wind (C6 duplicate of D-005275): same decision.
D-003721	oewn-08474987-n	n	series	similar things placed in order or happening one after another	dul:Collection	propagated via phase1_propagated	dul:Event	own gloss suggests: event keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	79.8	123	accept_current	series: 'similar things placed in order'. Collection captures the grouping. Event is partial (only the 'happening' reading). Keep Collection.
D-000019	oewn-01335412-v	v	cover	provide with a covering or cause to be covered	dul:State	Phase 3 tier: propagated_from_hypernym	dul:Action	Phase 3.5 rules R2,R3: R2=dul:Action_signals:1;R3=4/4_tier1_kids_agree_on_dul:Action	1	C1_rule_conflict	phase3_propagated_from_hypernym	79.6	189	accept_proposed	cover: 'provide with a covering' — 'provide' is agentive, Action. 4/4 children agree.
D-006495	oewn-07897775-n	n	beverage	any liquid suitable for drinking	dul:FunctionalSubstance	collapsed from Framester multi-class via method priority	dul:Substance	Framester propagated also assigned this class (synset-beverage-noun-1)	1	C3_multiclass_framester	phase1_propagated	77.4	377	accept_current	beverage: 'any liquid suitable for drinking'. FunctionalSubstance captures the 'for drinking' function; Substance alone loses it.
D-001454	oewn-00296527-n	n	travel	the act of going from one place to another	dul:Situation	propagated via phase1_propagated	dul:Action	own gloss suggests: gloss opens 'the act of'	3	C2_hypernym_vs_gloss	phase1_propagated	74.4	114	accept_proposed	travel: 'the act of going from one place to another'. Action.
D-000487	oewn-00139943-v	v	change integrity	change in physical make-up	dul:State	Phase 3 tier: propagated_from_hypernym	dul:Action	Phase 3.5 rules R3: R3=8/15_tier1_kids_agree_on_dul:Action	1	C1_rule_conflict	phase3_propagated_from_hypernym	71.6	169	accept_proposed	change integrity: 'change in physical make-up' — transitive change verb. 8/15 kids Action. Accept Action.
D-005506	oewn-00429255-n	n	dancing	taking a series of rhythmical steps (and movements) in time to music	dul:Action	collapsed from Framester multi-class via method priority	ontopic:Topic	Framester propagated also assigned this class (synset-dancing-noun-1)	3	C3_multiclass_framester	phase1_propagated	70.2	107	accept_current	dancing: 'taking a series of rhythmical steps'. Action is the central sense; Topic is the discourse-subject abstraction.
D-001373	oewn-00249844-n	n	improvement	the act of improving something	dul:Situation	propagated via phase1_propagated	dul:Action	own gloss suggests: gloss opens 'the act of'	3	C2_hypernym_vs_gloss	phase1_propagated	68.4	104	accept_proposed	improvement: 'the act of improving something'. Action.
D-004321	oewn-13394134-n	n	medium of exchange	anything that is generally accepted as a standard of value and a measure of wealth in a particular country or region	dul:Amount	propagated via phase1_propagated	dul:Place	own gloss suggests: place keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	64.2	97	accept_current	medium of exchange: 'standard of value in a country or region'. Amount captures the value-quantity sense; Place is false positive (country is contextual).
D-002772	oewn-04348492-n	n	structural member	support that is a constituent part of any structure or building	dul:DesignedArtifact	propagated via phase1_propagated	dul:Place	own gloss suggests: place keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	61.2	92	accept_current	structural member: 'support that is a constituent part of any structure or building'. It's a component, not a place. DesignedArtifact correct.
D-006282	oewn-07461861-n	n	affair	a formal or official social gathering or ceremony of people	coll:AgentCollection	collapsed from Framester multi-class via method priority	dul:Event	Framester propagated also assigned this class (synset-affair-noun-3)	3	C3_multiclass_framester	phase1_propagated	61.2	92	accept_proposed	affair: 'a formal or official social gathering or ceremony'. Event captures the gathering-as-occasion sense better than a Collection of agents (which would emphasize the people, not the occasion).
D-003058	oewn-05716379-n	n	perception	the process of perceiving	http://www.ontologydesignpatterns.org/ont/dul/Conceptualization.owl#InternalRepresentation	propagated via phase1_propagated	dul:Process	own gloss suggests: gloss opens 'the process of'	3	C2_hypernym_vs_gloss	phase1_propagated	57.0	85	accept_proposed	perception: 'the process of perceiving'. Process opener; Process is clearer than InternalRepresentation.
D-006501	oewn-07900542-n	n	alcohol	a liquor or brew containing alcohol as the active agent	dul:FunctionalSubstance	collapsed from Framester multi-class via method priority	dul:Substance	Framester propagated also assigned this class (synset-alcohol-noun-1)	1	C3_multiclass_framester	phase1_propagated	54.6	263	accept_current	alcohol: 'a liquor or brew containing alcohol as the active agent'. FunctionalSubstance captures the intoxicant function; Substance alone is less specific.
D-000518	oewn-02519853-v	v	treat	interact in a certain way	dul:State	Phase 3 tier: propagated_from_hypernym	dul:Action	Phase 3.5 rules R3: R3=3/3_tier1_kids_agree_on_dul:Action	1	C1_rule_conflict	phase3_propagated_from_hypernym	54.4	126	accept_proposed	treat: 'interact in a certain way' — if interact is Action, treat is Action too. 3/3 kids agree.
D-001637	oewn-00384414-n	n	separation	the act of dividing or disconnecting	dul:Situation	propagated via phase1_propagated	dul:Action	own gloss suggests: gloss opens 'the act of'	3	C2_hypernym_vs_gloss	phase1_propagated	51.6	76	accept_proposed	separation: 'the act of dividing or disconnecting'. Action.
D-000025	oewn-02180712-v	v	sound	make a certain noise or sound	dul:Event	Phase 3 tier: tier3_default_event	dul:Action	Phase 3.5 rules R2,R3: R2=dul:Action_signals:1;R3=2/3_tier1_kids_agree_on_dul:State	1	C1_rule_conflict	phase3_tier3_default_event	51.5	93	accept_proposed	sound: 'make a certain noise or sound' — 'make' is action marker, so Action over tier3_default_event.
D-001551	oewn-00352464-n	n	decrease	the act of decreasing or reducing something	dul:Situation	propagated via phase1_propagated	dul:Action	own gloss suggests: gloss opens 'the act of'	3	C2_hypernym_vs_gloss	phase1_propagated	50.4	74	accept_proposed	decrease: 'the act of decreasing or reducing something'. Action.
D-002120	oewn-02024449-n	n	seabird	a bird that frequents coastal waters and the open ocean: gulls, pelicans, gannets, cormorants, albatrosses, petrels, etc.	dul:Organism	propagated via phase1_propagated	dul:Place	own gloss suggests: place keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	50.4	74	accept_current	seabird: 'a bird that frequents coastal waters'. Organism; 'coastal waters' is habitat context. False positive.
D-004332	oewn-13407086-n	n	currency	the metal or paper medium of exchange that is presently used	dul:Amount	propagated via phase1_propagated	dul:InformationRealization	own gloss suggests: information keyword in gloss	3	C2_hypernym_vs_gloss	phase1_propagated	48.0	70	accept_current	currency: 'the metal or paper medium of exchange'. Physical/quantitative. Amount > InformationRealization (currency is MONEY, not info about money).
D-002311	oewn-03085025-n	n	component	an artifact that is one of the individual parts of which a composite entity is made up; especially a part that can be separated from or attached to a system	http://www.ontologydesignpatterns.org/ont/dul/Supplements.owl#DependentPart	propagated via phase1_propagated	dul:Person	own gloss suggests: person+relative-pronoun pattern	3	C2_hypernym_vs_gloss	phase1_propagated	47.4	69	accept_current	component: 'an artifact that is one of the individual parts'. DependentPart captures the part-hood; Person false positive (relative-pronoun pattern hit 'that is one of'). Keep current.
D-000510	oewn-00719282-v	v	react	show a response or a reaction to something	dul:State	Phase 3 tier: propagated_from_hypernym	dul:Action	Phase 3.5 rules R3: R3=4/4_tier1_kids_agree_on_dul:Action	1	C1_rule_conflict	phase3_propagated_from_hypernym	46.4	106	accept_proposed	react: 'show a response or reaction' — agentive. 4/4 children agree.
D-005245	oewn-06998936-n	n	Chad	a family of Afroasiatic tonal languages (mostly two tones) spoken in the regions west and south of Lake Chad in north central Africa	dul:InformationObject	propagated via phase5alt_propagated_from_hypernym	dul:Place	own gloss suggests: place keyword in gloss	3	C2_hypernym_vs_gloss	phase5alt_propagated_from_hypernym	45.6	28	accept_current	Chad (language family): 'family of Afroasiatic tonal languages'. InformationObject correct; Place would be confusing with the country Chad.
D-005902	oewn-03938946-n	n	piece of cloth	a separate part consisting of fabric	dul:DesignedArtifact	collapsed from Framester multi-class via method priority	http://www.ontologydesignpatterns.org/ont/dul/Supplements.owl#DependentPart	Framester propagated also assigned this class (synset-piece_of_cloth-noun-1)	3	C3_multiclass_framester	phase1_propagated	45.6	66	accept_current	piece of cloth: 'a separate part consisting of fabric'. It IS a physical object (cloth piece), not merely a dependent-part abstraction. DesignedArtifact more concrete.
D-010437	oewn-06998936-n	n	Chad	a family of Afroasiatic tonal languages (mostly two tones) spoken in the regions west and south of Lake Chad in north central Africa	dul:InformationObject	Phase 5-alt propagated via phase5alt_propagated_from_hypernym	dul:Place	own gloss suggests: place keyword in gloss	3	C6_gapfill_vs_gloss	phase5alt_propagated_from_hypernym	45.6	28	accept_current	Chad (C6 duplicate of D-005245): same decision.
D-006286	oewn-07721676-n	n	edible fruit	edible reproductive body of a seed plant especially one having sweet flesh	dul:BiologicalObject	collapsed from Framester multi-class via method priority	dul:FunctionalSubstance	Framester propagated also assigned this class (synset-edible_fruit-noun-1)	1	C3_multiclass_framester	phase1_propagated	43.0	205	accept_current	edible fruit: 'edible reproductive body of a seed plant'. BiologicalObject captures the plant-derived living origin; FunctionalSubstance misses this.
D-001584	oewn-00364086-n	n	increase	the act of increasing something	dul:Situation	propagated via phase1_propagated	dul:Action	own gloss suggests: gloss opens 'the act of'	3	C2_hypernym_vs_gloss	phase1_propagated	40.2	57	accept_proposed	increase: 'the act of increasing something'. Action.
