child	child_class	parent	parent_class	child_lemma	parent_lemma	child_gloss
oewn-00454655-n	dul:Action	oewn-00453279-n	http://www.ontologydesignpatterns.org/ont/dul/Conceptualization.owl#InternalRepresentation	pigsticking	hunt	the sport of hunting wild boar with spears
oewn-00476798-n	dul:DesignedArtifact	oewn-00472688-n	dul:Event	softball	baseball	a game closely resembling baseball that is played on a smaller diamond and with a ball that is larger
oewn-00537396-n	dul:Place	oewn-00535886-n	ontopic:Topic	Charleston	ballroom dancing	an American ballroom dance in syncopated rhythm; popular early in the 20th century
oewn-00546538-n	ontopic:Topic	oewn-00546381-n	dul:Action	singing	vocal music	the act of singing vocal music
oewn-00549363-n	ontopic:Topic	oewn-00408356-n	dul:Action	acting	activity	the performance of a part or role in a drama
oewn-00579442-n	dul:InformationRealization	oewn-00579191-n	dul:Action	financial audit	attestation service	an attestation that the client's financial statement is accurate
oewn-00623824-n	dul:Organization	oewn-00621992-n	dul:Action	hunt	labor	the work of finding and killing or capturing animals for food or pelts
oewn-00712776-n	dul:Action	oewn-00623824-n	dul:Organization	stalk	hunt	a hunt for game carried on by following it stealthily or waiting in ambush
oewn-00713052-n	dul:Action	oewn-00623824-n	dul:Organization	birdnesting	hunt	hunting for birds' nests to get the eggs
oewn-00713150-n	dul:Action	oewn-00623824-n	dul:Organization	predation	hunt	the act of preying by a predator who kills and eats the prey
oewn-00723312-n	dul:Role	oewn-00408356-n	dul:Action	role	activity	normal or customary activity of a person in a particular social setting
oewn-00808282-n	dul:Pattern	oewn-00808145-n	dul:Action	acceptance sampling	quality control	a statistical procedure for accepting or rejecting a batch of merchandise or documents; involves determining the maximum number of defects discovered 
oewn-00813716-n	dul:PhysicalAttribute	oewn-00813322-n	dul:Action	tankage	storage	the act of storing in tanks
oewn-00843942-n	dul:Quality	oewn-00840477-n	dul:Process	nip	bite	a small sharp bite or snip
oewn-00925258-n	dul:System	oewn-01096649-n	dul:Action	industry	commercial enterprise	the organized action of making of goods and services for sale
oewn-00938436-n	ontopic:Topic	oewn-00935235-n	dul:Action	painting	art	creating a picture with paints
oewn-00939472-n	ontopic:Topic	oewn-00935235-n	dul:Action	sculpture	art	creating figures or designs in three dimensions
oewn-01011813-n	dul:Quality	oewn-01010320-n	dul:Action	order	organization	the act of putting things in a sequential arrangement
oewn-01012187-n	dul:Action	oewn-01011813-n	dul:Quality	rank order	order	an arrangement according to rank
oewn-01012276-n	dul:Action	oewn-01011813-n	dul:Quality	scaling	order	the act of arranging in a graduated series
oewn-01012400-n	dul:Action	oewn-01011813-n	dul:Quality	succession	order	the action of following in order
oewn-01012843-n	dul:Action	oewn-01011813-n	dul:Quality	layout	order	the act of laying out (as by making plans for something)
oewn-01012970-n	dul:Action	oewn-01011813-n	dul:Quality	alphabetization	order	the act of putting in alphabetical order
oewn-01017631-n	ontopic:Topic	oewn-01016008-n	dul:Action	conchology	collection	the collection and study of mollusc shells
oewn-01023061-n	dul:Quality	oewn-01022878-n	dul:EventType	echo	imitation	an imitation or repetition
oewn-01057417-n	dul:InformationRealization	oewn-01235249-n	dul:Action	call	visit	a visit in an official or professional capacity
oewn-01057612-n	dul:Action	oewn-01057417-n	dul:InformationRealization	round	call	(often plural) a series of professional calls (usually in a set order)
oewn-01074160-n	dul:InformationRealization	oewn-00408356-n	dul:Action	lamentation	activity	the passionate and demonstrative activity of expressing grief
oewn-01104341-n	dul:Action	oewn-00033319-n	dul:InformationObject	publication	communication	the communication of something to the public; making information generally known
oewn-01231712-n	dul:DesignedArtifact	oewn-01231366-n	dul:Action	court	deference	respectful deference
oewn-02402300-n	dul:System	oewn-05403033-n	dul:BiologicalObject	reticulum	stomach	the second compartment of the stomach of a ruminant
oewn-02407225-n	dul:Personification	oewn-02404662-n	dul:Organism	Brahman	bovine	any of several breeds of Indian cattle; especially a large American heat and tick resistant greyish humped breed evolved in the Gulf States by interbr
oewn-02407558-n	dul:Organism	oewn-02407225-n	dul:Personification	zebu	Brahman	domesticated ox having a humped back and long horns and a large dewlap; used chiefly as a draft animal in India and east Asia
oewn-89570581-n	http://www.ontologydesignpatterns.org/ont/dul/Supplements.owl#DependentPart	oewn-14779983-n	dul:FunctionalSubstance	feather	animal material	branching, hair-like structure that grows on the bodies of birds
oewn-02678511-n	dul:InformationRealization	oewn-03704730-n	dul:FunctionalSubstance	acid	lysergic acid diethylamide	street name for lysergic acid diethylamide
oewn-02693574-n	dul:DesignedArtifact	oewn-03716067-n	ontopic:Topic	airmailer	mailer	a mailer for airmail
oewn-02717446-n	dul:DesignedArtifact	oewn-04420286-n	dul:SpaceRegion	anode	terminal	the negatively charged terminal of a voltaic cell or storage battery that supplies current
oewn-02735077-n	http://www.ontologydesignpatterns.org/ont/dul/Supplements.owl#DependentPlace	oewn-04395830-n	dul:DesignedArtifact	aquarium	tank	a tank or pool or bowl filled with water for keeping live fish and underwater animals
oewn-02748096-n	dul:PhysicalObject	oewn-01093829-n	dul:Action	article of commerce	trade	an article that is offered for sale
oewn-02779636-n	dul:Place	oewn-04209460-n	dul:DesignedArtifact	bakery	shop	a workplace where baked goods (breads and cakes and pastries) are produced or sold
oewn-02788388-n	dul:Quality	oewn-04346369-n	dul:PhysicalObject	band	strip	a thin flat strip or loop of flexible material that goes around or over something else, typically to hold it together or as a decoration
oewn-02792793-n	http://www.ontologydesignpatterns.org/ont/dul/Supplements.owl#DependentPart	oewn-04054513-n	dul:DesignedArtifact	bar	railing	(law) a railing that encloses the part of the courtroom where the judges and lawyers sit and the case is tried
oewn-02793035-n	dul:DesignedArtifact	oewn-03513772-n	http://www.ontologydesignpatterns.org/ont/dul/Supplements.owl#DependentPart	bar	heating element	a heating element in an electric fire
oewn-02801276-n	http://www.ontologydesignpatterns.org/ont/dul/Supplements.owl#SpatialFeature	oewn-03279707-n	dul:DesignedArtifact	base	electrode	(electronics) the part of a transistor that separates the emitter from the collector
oewn-02811464-n	http://www.ontologydesignpatterns.org/ont/dul/Supplements.owl#DependentPart	oewn-02810445-n	dul:DesignedArtifact	bath towel	bath linen	a large towel; to dry yourself after a bath
oewn-02819085-n	http://www.ontologydesignpatterns.org/ont/dul/Supplements.owl#DependentPart	oewn-04348492-n	dul:DesignedArtifact	beam	structural member	long thick piece of wood or metal or concrete, etc., used in construction
oewn-02862524-n	dul:Place	oewn-03502782-n	dul:PhysicalObject	boater	hat	a stiff hat made of straw with a flat crown
oewn-02901103-n	dul:FunctionalSubstance	oewn-03000998-n	dul:DesignedArtifact	brick	ceramic	rectangular block of clay baked by the sun or in a kiln; used as a building or paving material
oewn-02907289-n	dul:Quality	oewn-04055187-n	dul:PhysicalObject	broad gauge	railroad track	a railroad track (or its width) broader than the standard 56.5 inches
oewn-02922692-n	dul:DesignedArtifact	oewn-03594138-n	dul:FunctionalSubstance	bumper jack	jack	a jack for lifting a motor vehicle by the bumper
oewn-02925268-n	http://www.ontologydesignpatterns.org/ont/dul/Supplements.owl#DependentPlace	oewn-03459977-n	dul:Place	burial chamber	grave	a chamber that is used as a grave
oewn-02927938-n	dul:InformationRealization	oewn-02961779-n	dul:DesignedArtifact	bus	car	a car that is old and unreliable
oewn-02986527-n	http://www.ontologydesignpatterns.org/ont/dul/Supplements.owl#DependentPlace	oewn-04068016-n	dul:DesignedArtifact	catchall	receptacle	an enclosure or receptacle for odds and ends
oewn-02992134-n	http://www.ontologydesignpatterns.org/ont/dul/Supplements.owl#DependentPart	oewn-03083234-n	dul:DesignedArtifact	CD-ROM	compact disk	a compact disk that is used with a computer (rather than with an audio system); a large amount of digital information can be stored and accessed but i
oewn-02998952-n	http://www.ontologydesignpatterns.org/ont/dul/Supplements.owl#DependentPart	oewn-03283159-n	dul:DesignedArtifact	central processing unit	electronic equipment	(computer science) the part of a computer (a microprocessor chip) that does most of the data processing
oewn-03019285-n	dul:DesignedArtifact	oewn-03176022-n	dul:Organization	cheval-de-frise	defensive structure	defensive structure consisting of a movable obstacle composed of barbed wire or spikes attached to a wooden frame; used to obstruct cavalry
oewn-03035407-n	dul:DesignedArtifact	oewn-03671917-n	dul:InformationRealization	cigar lighter	lighter	a lighter for cigars or cigarettes
oewn-03039495-n	http://www.ontologydesignpatterns.org/ont/dul/Supplements.owl#SpatialFeature	oewn-04085686-n	dul:DesignedArtifact	cistern	reservoir	an artificial reservoir for storing liquids; especially an underground tank for storing rainwater
oewn-03040229-n	dul:Organization	oewn-04518297-n	dul:DesignedArtifact	city university	university	an urban university in a large city
oewn-03044214-n	dul:FunctionalSubstance	oewn-03043932-n	dul:DesignedArtifact	cleaning pad	cleaning implement	a pad used as a cleaning implement
oewn-03070747-n	dul:InformationRealization	oewn-03064297-n	dul:FunctionalSubstance	coke	cocaine	street names for cocaine
oewn-03112367-n	http://www.ontologydesignpatterns.org/ont/dul/Supplements.owl#DependentPlace	oewn-02791712-n	dul:DesignedArtifact	core	bar	a bar of magnetic material (as soft iron) that passes through a coil and serves to increase the inductance of the coil
oewn-03112555-n	dul:SpaceRegion	oewn-03007334-n	http://www.ontologydesignpatterns.org/ont/dul/Supplements.owl#DependentPlace	core	chamber	the chamber of a nuclear reactor containing the fissile material where the reaction takes place
oewn-03133774-n	dul:InformationRealization	oewn-00022119-n	dul:PhysicalObject	creation	artifact	an artifact that has been brought into existence by someone
oewn-03143185-n	dul:PhysicalObject	oewn-08695539-n	http://www.ontologydesignpatterns.org/ont/dul/Supplements.owl#SpatialFeature	crown	vertex	the part of a hat (the vertex) that covers the crown of the head
oewn-03143525-n	http://www.ontologydesignpatterns.org/ont/dul/Supplements.owl#SpatialFeature	oewn-04613372-n	dul:DesignedArtifact	crown	wreath	a wreath or garland worn on the head to signify victory
oewn-03143632-n	dul:DesignedArtifact	oewn-08681092-n	http://www.ontologydesignpatterns.org/ont/dul/Supplements.owl#SpatialFeature	crown	top	the center of a cambered road
oewn-03172130-n	dul:FunctionalSubstance	oewn-03183448-n	dul:DesignedArtifact	decal	design	either a design that is fixed to some surface or a paper bearing the design which is to be transferred to the surface
oewn-03176022-n	dul:Organization	oewn-04348764-n	dul:DesignedArtifact	defensive structure	structure	a structure used to defend against attack
oewn-03242119-n	http://www.ontologydesignpatterns.org/ont/dul/Supplements.owl#DependentPart	oewn-03502782-n	dul:PhysicalObject	dress hat	hat	a man's hat with a tall crown; usually covered with silk or with beaver fur
oewn-03285724-n	dul:DesignedArtifact	oewn-04055680-n	dul:Organization	elevated railway	railway	a railway that is powered by electricity and that runs on a track that is raised above the street level
oewn-03290823-n	http://www.ontologydesignpatterns.org/ont/dul/Supplements.owl#DependentPlace	oewn-02738693-n	dul:DesignedArtifact	enclosure	area	a structure consisting of an area that has been enclosed for some purpose
oewn-03307066-n	http://www.ontologydesignpatterns.org/ont/dul/Supplements.owl#SpatialFeature	oewn-00022119-n	dul:PhysicalObject	excavation	artifact	a hole in the ground made by excavating
oewn-03308910-n	http://www.ontologydesignpatterns.org/ont/dul/Supplements.owl#DependentPlace	oewn-00174132-n	dul:Action	exit	escape	an opening that permits escape or release
oewn-03319725-n	dul:FunctionalSubstance	oewn-03719774-n	dul:DesignedArtifact	face powder	makeup	cosmetic powder for the face
oewn-03343593-n	dul:FunctionalSubstance	oewn-00002684-n	dul:PhysicalObject	film	object	a thin coating or layer
oewn-03347602-n	dul:PhysicalObject	oewn-15016854-n	dul:FunctionalSubstance	finish coat	plaster	the final coating of (e.g., paint, plaster, varnish, etc.)
oewn-03354857-n	dul:Quality	oewn-03436153-n	dul:DesignedArtifact	first gear	gear	the lowest forward gear ratio in the gear box of a motor vehicle; used to start a car moving
oewn-03355050-n	http://www.ontologydesignpatterns.org/ont/dul/Supplements.owl#DependentPlace	oewn-02884435-n	dul:DesignedArtifact	fishbowl	bowl	a transparent bowl in which small fish are kept
oewn-03390403-n	dul:DesignedArtifact	oewn-03176022-n	dul:Organization	fortification	defensive structure	defensive structure consisting of walls or mounds built around a stronghold to strengthen it
oewn-03390857-n	dul:DesignedArtifact	oewn-03176022-n	dul:Organization	fortress	defensive structure	a fortified defensive structure
oewn-03395829-n	http://www.ontologydesignpatterns.org/ont/dul/Supplements.owl#DependentPart	oewn-03396616-n	dul:DesignedArtifact	frame	framework	a framework that supports and protects a picture or a mirror
oewn-03412032-n	dul:DesignedArtifact	oewn-03671917-n	dul:InformationRealization	fuse	lighter	any igniter that is used to initiate the burning of a propellant
oewn-03439459-n	dul:FunctionalSubstance	oewn-03439338-n	dul:DesignedArtifact	generic drug	generic	when the patent protection for a brand-name drug expires generic versions of the drug can be offered for sale if the FDA agrees
oewn-03453197-n	dul:FunctionalSubstance	oewn-03938946-n	http://www.ontologydesignpatterns.org/ont/dul/Supplements.owl#DependentPart	gore	piece of cloth	a piece of cloth that is generally triangular or tapering; used in making garments or umbrellas or sails
oewn-03460432-n	dul:FunctionalSubstance	oewn-03749393-n	dul:DesignedArtifact	gravestone	memorial	a stone that is used to mark a grave
oewn-03465229-n	dul:FunctionalSubstance	oewn-04192114-n	dul:DesignedArtifact	grindstone	sharpener	a revolving stone shaped like a disk; used to grind or sharpen or polish edge tools
oewn-03515388-n	dul:Process	oewn-03093163-n	dul:DesignedArtifact	heat sink	conductor	a metal conductor specially designed to conduct (and radiate) heat
oewn-03516131-n	dul:InformationRealization	oewn-03262289-n	dul:DesignedArtifact	hectograph	duplicator	duplicator consisting of a gelatin plate from which ink can be taken to make a copy
oewn-03531985-n	dul:Action	oewn-15281726-n	dul:Amount	hole	playing period	one playing period (from tee to green) on a golf course
oewn-03565341-n	dul:Personification	oewn-03270785-n	dul:InformationRealization	idol	effigy	a material effigy that is worshipped
oewn-03594138-n	dul:FunctionalSubstance	oewn-04459089-n	dul:DesignedArtifact	jack	tool	tool for exerting pressure or lifting
oewn-03594280-n	dul:DesignedArtifact	oewn-03318973-n	dul:FunctionalSubstance	jack	face card	one of four face cards in a deck bearing a picture of a young prince
oewn-03596215-n	dul:DesignedArtifact	oewn-03594138-n	dul:FunctionalSubstance	jackscrew	jack	screw-operated jack
oewn-03610935-n	http://www.ontologydesignpatterns.org/ont/dul/Supplements.owl#DependentPlace	oewn-08682181-n	dul:Place	junction	topographic point	the place where two or more things come together
oewn-03623548-n	rol:Status	oewn-03015009-n	dul:DesignedArtifact	king	checker	a checker that has been moved to the opponent's first row where it is promoted to a piece that is free to move either forward or backward
oewn-03634391-n	dul:Place	oewn-04125115-n	dul:DesignedArtifact	Kurdistan	rug	an oriental rug woven by Kurds that is noted for fine colors and durability
oewn-03671917-n	dul:InformationRealization	oewn-03187746-n	dul:DesignedArtifact	lighter	device	a device for lighting or igniting fuel or charges or fires
oewn-03677964-n	dul:DesignedArtifact	oewn-03176022-n	dul:Organization	line of defense	defensive structure	defensive structure consisting of a barrier that can be employed for defense against attack
oewn-03685312-n	dul:PhysicalAttribute	oewn-04578374-n	dul:PhysicalObject	load	weight	weight to be borne or conveyed
oewn-03685574-n	dul:PhysicalAttribute	oewn-03274312-n	dul:DesignedArtifact	load	electrical device	electrical device to which electrical power is delivered
oewn-03704472-n	dul:FunctionalSubstance	oewn-04529716-n	dul:PhysicalObject	lypressin	vasoconstrictor	an antidiuretic and vasoconstrictor used to treat diabetes insipidus
oewn-03716067-n	ontopic:Topic	oewn-03099154-n	dul:DesignedArtifact	mailer	container	a container for something to be mailed
oewn-03724882-n	http://www.ontologydesignpatterns.org/ont/dul/Supplements.owl#DependentPlace	oewn-04197095-n	dul:DesignedArtifact	mantel	shelf	shelf that projects from wall above fireplace
oewn-03733928-n	dul:DesignedArtifact	oewn-03671917-n	dul:InformationRealization	match	lighter	lighter consisting of a thin piece of wood or cardboard tipped with combustible chemical; ignites with friction
oewn-03734473-n	dul:DesignedArtifact	oewn-03671917-n	dul:InformationRealization	match	lighter	a burning piece of wood or cardboard
oewn-03749767-n	http://www.ontologydesignpatterns.org/ont/dul/Supplements.owl#DependentPart	oewn-03750331-n	dul:DesignedArtifact	memory	memory device	an electronic memory device
oewn-03793437-n	dul:DesignedArtifact	oewn-03931348-n	dul:InformationRealization	mosaic	photograph	arrangement of aerial photographs forming a composite picture
oewn-03793580-n	dul:Pattern	oewn-04478188-n	dul:DesignedArtifact	mosaic	transducer	transducer formed by the light-sensitive surface on a television camera tube
oewn-03812592-n	dul:FunctionalSubstance	oewn-04529716-n	dul:PhysicalObject	naphazoline	vasoconstrictor	vasoconstrictor (trade names Privine and Sudafed) used in nasal sprays to treat symptoms of nasal congestion and in eyedrops to treat eye irritation
oewn-03814996-n	dul:Quality	oewn-04055187-n	dul:PhysicalObject	narrow gauge	railroad track	a railroad track (or its width) narrower than the standard 56.5 inches
oewn-03822871-n	http://www.ontologydesignpatterns.org/ont/dul/Supplements.owl#SpatialFeature	oewn-03983318-n	dul:DesignedArtifact	negative magnetic pole	pole	the pole of a magnet that points toward the south when the magnet is suspended freely
oewn-03823062-n	dul:DesignedArtifact	oewn-04420286-n	dul:SpaceRegion	negative pole	terminal	the terminal of a battery that is connected to the negative plate
oewn-03854249-n	http://www.ontologydesignpatterns.org/ont/dul/Supplements.owl#DependentPlace	oewn-00022119-n	dul:PhysicalObject	opening	artifact	a vacant or unobstructed space that is man-made
oewn-03867899-n	dul:DesignedArtifact	oewn-03176022-n	dul:Organization	outwork	defensive structure	subsidiary defensive structure lying outside the main fortified area
oewn-03873722-n	dul:Organization	oewn-04518297-n	dul:DesignedArtifact	Oxbridge	university	general term for an ancient and prestigious and privileged university (especially Oxford University or Cambridge University)
oewn-03878742-n	dul:FunctionalSubstance	oewn-00022119-n	dul:PhysicalObject	padding	artifact	artifact consisting of soft or resilient material used to fill or give shape or protect or add comfort
oewn-03880896-n	dul:PhysicalObject	oewn-15009532-n	dul:FunctionalSubstance	paint	coloring material	a substance used as a coating to protect or decorate a surface (especially a mixture of pigment suspended in a liquid); dries to form a hard coating
oewn-03898588-n	http://www.ontologydesignpatterns.org/ont/dul/Supplements.owl#DependentPart	oewn-00002684-n	dul:PhysicalObject	part	object	something less than the whole of a human artifact
oewn-03938946-n	http://www.ontologydesignpatterns.org/ont/dul/Supplements.owl#DependentPart	oewn-03314753-n	dul:DesignedArtifact	piece of cloth	fabric	a separate part consisting of fabric
oewn-03939459-n	http://www.ontologydesignpatterns.org/ont/dul/Supplements.owl#DependentPart	oewn-14783901-n	dul:FunctionalSubstance	piece of leather	leather	a separate part consisting of leather
oewn-03948673-n	http://www.ontologydesignpatterns.org/ont/dul/Supplements.owl#DependentPart	oewn-02803056-n	dul:DesignedArtifact	pine-tar rag	baseball equipment	baseball equipment consisting of a rag soaked with pine tar; used on the handle of a baseball bat to give a batter a firm grip
oewn-03959162-n	dul:FunctionalSubstance	oewn-04387704-n	dul:DesignedArtifact	place mat	table linen	a mat serving as table linen for an individual place setting
oewn-03983318-n	dul:DesignedArtifact	oewn-08583557-n	http://www.ontologydesignpatterns.org/ont/dul/Supplements.owl#SpatialFeature	pole	end	one of the two ends of a magnet where the magnetism seems to be concentrated
oewn-03990070-n	dul:FunctionalSubstance	oewn-03105807-n	dul:DesignedArtifact	popper	cooker	a container for cooking popcorn
oewn-03994032-n	http://www.ontologydesignpatterns.org/ont/dul/Supplements.owl#SpatialFeature	oewn-03983318-n	dul:DesignedArtifact	positive pole	pole	the pole of a magnet that points toward the north when the magnet is suspended freely
oewn-03994223-n	dul:DesignedArtifact	oewn-04420286-n	dul:SpaceRegion	positive pole	terminal	the terminal of a battery that is connected to the positive plate
oewn-04000061-n	dul:InformationRealization	oewn-03290823-n	http://www.ontologydesignpatterns.org/ont/dul/Supplements.owl#DependentPlace	pound	enclosure	a public enclosure for stray or unlicensed dogs
oewn-04000366-n	dul:FunctionalSubstance	oewn-04454577-n	dul:DesignedArtifact	powder	toiletry	any of various cosmetic or medical preparations dispensed in the form of a pulverized powder
oewn-04039763-n	dul:FunctionalSubstance	oewn-03018094-n	dul:DesignedArtifact	queen	chessman	(chess) the most powerful piece
oewn-04070101-n	dul:PhysicalObject	oewn-03782816-n	dul:InformationRealization	restoration	model	a model that represents the landscape of a former geological age or that represents and extinct animal etc.
oewn-04073135-n	dul:Organization	oewn-04518297-n	dul:DesignedArtifact	redbrick university	university	(British informal) a provincial British university of relatively recent founding; distinguished from Oxford University and Cambridge University
oewn-04115231-n	http://www.ontologydesignpatterns.org/ont/dul/Supplements.owl#SpatialFeature	oewn-04336084-n	dul:DesignedArtifact	root cellar	storage space	an excavation where root vegetables are stored
oewn-04119846-n	dul:Process	oewn-03719774-n	dul:DesignedArtifact	rouge	makeup	makeup consisting of a pink or red powder applied to the cheeks
oewn-04193094-n	dul:SpaceRegion	oewn-04454577-n	dul:DesignedArtifact	shaving cream	toiletry	toiletry consisting of a preparation of soap and fatty acids that forms a rich lather for softening the beard before shaving
oewn-04193311-n	dul:SpaceRegion	oewn-04454577-n	dul:DesignedArtifact	shaving foam	toiletry	toiletry consisting of a liquid preparation containing many small bubbles that soften the beard before shaving
oewn-04231457-n	dul:InformationRealization	oewn-02679115-n	dul:DesignedArtifact	siren	acoustic device	an acoustic device producing a loud often wailing sound as a signal or warning
oewn-04231457-n	dul:InformationRealization	oewn-02697285-n	dul:DesignedArtifact	siren	alarm	an acoustic device producing a loud often wailing sound as a signal or warning
oewn-04289802-n	dul:FunctionalSubstance	oewn-03389963-n	dul:Relation	split	formation	(tenpin bowling) a divided formation of pins left standing after the first bowl
oewn-04293713-n	dul:InformationRealization	oewn-03641539-n	dul:DesignedArtifact	spotlight	lamp	a lamp that produces a strong beam of light to illuminate a restricted area; used to focus attention of a stage performer
oewn-04308764-n	dul:Quality	oewn-04055187-n	dul:PhysicalObject	standard gauge	railroad track	railroad track having the standard width of 56.5 inches
oewn-04320766-n	dul:FunctionalSubstance	oewn-02726951-n	dul:PhysicalObject	stele	antiquity	an ancient upright stone slab bearing markings
oewn-04329164-n	http://www.ontologydesignpatterns.org/ont/dul/Supplements.owl#DependentPart	oewn-04366676-n	dul:DesignedArtifact	stock	support	the handle of a handgun or the butt end of a rifle or shotgun or part of the support of a machine gun or artillery gun
oewn-04348013-n	dul:DesignedArtifact	oewn-03176022-n	dul:Organization	stronghold	defensive structure	a strongly fortified defensive structure
oewn-04369112-n	http://www.ontologydesignpatterns.org/ont/dul/Supplements.owl#SpatialFeature	oewn-00022119-n	dul:PhysicalObject	surface	artifact	the outer boundary of an artifact or a material layer constituting or resembling such a boundary
oewn-04378312-n	http://www.ontologydesignpatterns.org/ont/dul/Supplements.owl#SpatialFeature	oewn-02755316-n	dul:PhysicalObject	swimming pool	athletic facility	pool that provides a facility for swimming
oewn-04385738-n	dul:DesignedArtifact	oewn-04140731-n	dul:SpaceRegion	Tabernacle	sanctuary	(Judaism) a portable sanctuary in which the Jews carried the Ark of the Covenant on their exodus
oewn-04420286-n	dul:SpaceRegion	oewn-03098248-n	dul:DesignedArtifact	terminal	contact	a contact on an electrical device (such as a battery) at which electric current enters or leaves
oewn-04424602-n	dul:FunctionalSubstance	oewn-09479128-n	dul:PhysicalObject	thalidomide	teratogen	a sedative and hypnotic drug; withdrawn from sale after discovered to cause severe birth defects because it inhibits angiogenesis
oewn-04460661-n	dul:FunctionalSubstance	oewn-03935681-n	dul:DesignedArtifact	toothpick	pick	pick consisting of a small strip of wood or plastic; used to pick food from between the teeth
oewn-04463969-n	dul:InformationRealization	oewn-03310467-n	dul:DesignedArtifact	torpedo	explosive device	a small explosive device that is placed on a railroad track and fires when a train runs over it; the sound of the explosion warns the engineer of dang
oewn-04498840-n	dul:SpaceRegion	oewn-04582285-n	dul:DesignedArtifact	trundle	wheel	small wheel or roller
oewn-04515186-n	ontopic:Topic	oewn-03837945-n	dul:SpaceRegion	undercut	notch	a notch cut in the trunk of tree in order to determine the direction of its fall
oewn-04517110-n	dul:Event	oewn-03190246-n	dul:DesignedArtifact	union	device	a device on a national flag emblematic of the union of two or more sovereignties (typically in the upper inner corner)
oewn-04525938-n	dul:Place	oewn-03944798-n	dul:DesignedArtifact	Valenciennes	pillow lace	a type of bobbin lace with floral patterns
oewn-04535785-n	dul:Pattern	oewn-03287312-n	dul:DesignedArtifact	vermiculation	embellishment	a decoration consisting of wormlike carvings
oewn-04564102-n	dul:DesignedArtifact	oewn-04593867-n	dul:InformationRealization	watch key	winder	winder consisting of a key with a square hole; used for winding some watches
