oewn_id	primary_lemma	gloss	assigned_class	judgement	proposed_alternative	rationale	batch
oewn-04884725-n	loyalty	the quality of being loyal	dul:Quality	agree		Loyalty is explicitly a quality. dul:Quality is correct.	01
oewn-09946909-n	reverend	a member of the clergy and a spiritual leader of the Christian Church	dul:Person	agree		A reverend is a person. dul:Person is correct.	01
oewn-02018416-s	anechoic	not having or producing echoes; sound-absorbent	dul:PhysicalAttribute	agree		Sound-absorbency is a measurable physical property. dul:PhysicalAttribute is correct.	01
oewn-04481422-n	transport ship	a ship for carrying soldiers or military equipment	dul:DesignedArtifact	agree		A ship is a human-made object with specific purpose. dul:DesignedArtifact is correct.	01
oewn-01915022-s	alloyed	(used of metals) debased by mixture with an inferior element	dul:Quality	agree		Being alloyed is a chemical property/state. dul:Quality is correct.	01
oewn-06025949-n	open interval	an interval that does not include its endpoints	dul:Set	agree		A mathematical interval is an abstract set. dul:Set is correct.	01
oewn-04793718-n	simplicity	absence of affectation or pretense	dul:Quality	agree		Simplicity is explicitly an abstract quality. dul:Quality is correct.	01
oewn-01139748-s	crabbed	annoyed and irritable	dul:Quality	agree		Being crabbed/irritable is a psychological quality. dul:Quality is correct.	01
oewn-02588984-s	anchoritic	characterized by ascetic solitude	dul:Quality	agree		Characterizes a spiritual/lifestyle quality. dul:Quality is correct.	01
oewn-09793689-n	adviser	an expert who gives advice	dul:Person	agree		An adviser is a person. dul:Person is correct.	01
oewn-01851084-a	unprepared	without preparation; not prepared for	dul:Quality	agree		Being unprepared is a state/quality. dul:Quality is correct.	01
oewn-01258938-v	swage	form metals with a swage	dul:Action	agree		Intentional crafting action clearly fits dul:Action.	02
oewn-02668725-v	co-vary	vary in the same time period (of two random variables)	dul:Process	agree		Homogeneous variation over time fits dul:Process.	02
oewn-10339888-n	minimalist	a practitioner or advocate of artistic minimalism	dul:Person	agree		A person engaging in artistic practice.	02
oewn-00532114-n	cancan	a high-kicking dance of French origin performed by a female chorus line	dul:Action	disagree	dul:EventType	Gloss describes a type/kind of dance, not the agentive action of performing.	02
oewn-00136124-r	locally	by a particular locality	dul:Region	agree		Manner adverb correctly mapped to Region (quality space value).	02
oewn-00840824-n	coprophagy	eating feces; in human a symptom of some kinds of insanity	dul:Process	disagree	dul:Action	Eating feces is an agentive action, not a homogeneous process.	02
oewn-00395719-v	blend	mix together different elements	dul:Action	agree		Intentional mixing is clearly an agentive action.	02
oewn-02009910-a	unrestricted	not subject to or subjected to restriction	dul:Quality	agree		Property/attribute of an entity.	02
oewn-12726458-n	flowering wintergreen	common trailing perennial milkwort of eastern North America having leaves like wintergreen and usually rosy-purple flowers with winged sepals	dul:Organism	agree		A living plant entity.	02
oewn-02693438-v	rim	run around the rim of	dul:Event	agree		Motion around an edge; non-stative, non-agentive occurrence fits dul:Event.	02
oewn-03304466-n	etching	an impression made from an etched plate	dul:InformationRealization	agree		Physical artifact/print of artistic information.	02
oewn-02520662-a	inviolable	incapable of being transgressed or dishonored	dul:Quality	agree		Property/attribute.	02
oewn-00681291-a	annual	completing its life cycle within a year	dul:Quality	agree		Temporal trait/property of organisms; standard in ontologies.	02
oewn-01884969-s	becoming	according with custom or propriety	dul:Quality	agree		Property of being fitting/suitable.	02
oewn-05847533-n	kind	a category of things distinguished by some common characteristic or quality	coll:InformationCollection	debatable	dul:Concept	Tension between collection of instances vs. categorical type; context-dependent.	02
oewn-00921876-n	ranching	farming for the raising of livestock (particularly cattle)	dul:System	debatable	dul:Process	Farming/animal husbandry is an ongoing activity better modeled as dul:Process than abstract system.	02
oewn-01366529-a	joyful	full of or producing joy	dul:Quality	agree		Emotional property/attribute.	02
oewn-00406038-s	bleached	having lost freshness or brilliance of color	dul:PhysicalAttribute	agree		Color-related physical attribute loss.	02
oewn-13454076-n	antisepsis	the process of inhibiting the growth and multiplication of microorganisms	dul:Process	agree		"Gloss explicitly names ""process""; inhibition over time."	02
oewn-03626258-n	kitchen utensil	a utensil used in preparing food	dul:DesignedArtifact	agree		Tool designed and made for a specific purpose.	02
oewn-02758989-n	attic fan	a fan that blows heated air out of the attic of a building	dul:DesignedArtifact	agree		Human-made device for a specific function.	02
oewn-08151789-n	Department of Homeland Security	the federal department that administers all matters relating to homeland security	dul:Organization	agree		Government department; structured group of agents.	02
oewn-04723767-n	aptness	appropriateness for the occasion	dul:Quality	agree		Quality/property of suitability.	02
oewn-04149040-n	scale	a measuring instrument for weighing; shows amount of mass	dul:DesignedArtifact	agree		Tool designed for measurement.	02
oewn-03096622-n	conservatory	a greenhouse in which plants are arranged in a pleasing manner	dul:DesignedArtifact	debatable	dul:Place	Building/physical location might be better classified as dul:Place or dul:PhysicalPlace than DesignedArtifact.	02
oewn-10249553-n	keyboardist	a musician who plays a keyboard instrument	dul:Person	agree		A person with a professional/artistic role.	02
oewn-05235350-n	mamillary body	one of two small round structures on the undersurface of the brain that form the terminals of the anterior arches of the fornix	dul:BiologicalObject	agree		Brain structure/anatomical part.	02
oewn-09763123-n	Minnesotan	a native or resident of Minnesota	dul:Person	agree		A person from a geographic location.	02
oewn-00367501-n	tension	the action of stretching something tight	dul:Situation	disagree	dul:Action	"Gloss explicitly states ""the action""; stretching is agentive and should be dul:Action."	02
oewn-01630743-s	hideous	grossly offensive to decency or morality; causing horror	dul:Quality	agree		Aesthetic/moral property.	02
oewn-10285588-n	lister	assessor who makes out the tax lists	dul:Person	agree		A person in an assessment role.	02
oewn-15081316-n	sea spray	spray from ocean waves	dul:FunctionalSubstance	disagree	dul:Amount	Water particles/matter without functional purpose; better as dul:Amount or dul:Substance.	02
oewn-00379694-r	sensitively	in a sensitive manner	dul:Region	agree		Manner adverb correctly mapped to Region.	02
oewn-00648076-n	chemical analysis	the act of decomposing a substance into its constituent elements	dul:Action	agree		Intentional analytical action.	02
oewn-14391054-n	elephantiasis scroti	swelling of the scrotum resulting from chronic lymphatic obstruction	dul:Situation	debatable	dul:State	Medical condition is a state of swelling; dul:State more precise than dul:Situation.	02
oewn-01919470-s	undisciplined	not subjected to discipline	dul:Quality	agree		Property/behavioral trait.	02
oewn-08123764-n	superclass	(biology) a taxonomic class below a phylum and above a class	coll:Taxon	agree		Taxonomic rank/classification.	02
oewn-90000231-v	follow	to be subscribed to updates from another user on social media	dul:Action	agree		Intentional subscription action.	02
oewn-06342274-n	transitive verb	a verb (or verb construction) that requires an object in order to be grammatical	coll:Taxon	disagree	dul:Concept	Linguistic/grammatical category is not a biological taxon; should be dul:Concept.	02
oewn-06605195-n	archives	collection of records especially about an institution	dul:InformationRealization	disagree	coll:InformationCollection	"Gloss emphasizes ""collection of records""; better as coll:InformationCollection."	02
oewn-02997336-a	yogistic	of or relating to yoga	dul:Quality	agree		Relational adjective correctly mapped to dul:Quality per pertainym guidelines.	02
oewn-01602904-v	coal	take in coal	dul:Process	disagree	dul:Action	Taking in is agentive consumption; dul:Action fits better than dul:Process.	02
oewn-00560964-s	close	crowded	dul:Quality	agree		Property of spatial arrangement.	02
oewn-12864730-n	wild basil	aromatic herb having heads of small pink or whitish flowers; widely distributed in United States, Europe and Asia	dul:Organism	agree		Living plant entity.	02
oewn-02503378-a	upstage	of the back half of a stage	dul:Quality	debatable	dul:SpaceRegion	Spatial location description suggests dul:SpaceRegion or dul:Place better than dul:Quality.	02
oewn-06413845-n	web log	a shared on-line journal where people can post diary entries about their personal experiences and hobbies	dul:InformationRealization	agree		Digital/written information artifact.	02
oewn-09318959-n	gulf	a deep wide chasm	http://www.ontologydesignpatterns.org/ont/dul/Supplements.owl#DependentPlace	agree		Spatial location; assigned class maps to dul:Place intent.	02
oewn-14526956-n	arrested development	an abnormal state in which development has stopped prematurely	dul:Situation	agree		Complex medical/developmental state involving multiple factors.	02
oewn-06415036-n	handwriting	something written by hand	dul:InformationRealization	agree		Physical manifestation of written information.	02
oewn-05801008-n	explanation	thought that makes something comprehensible	http://www.ontologydesignpatterns.org/ont/dul/Conceptualization.owl#InternalRepresentation	agree		Cognitive/mental content; assigned class maps to dul:CognitiveState/CognitiveEvent intent.	02
oewn-02036260-v	diverge	move or draw apart	dul:Action	agree		Gloss describes physical movement action, fits agentive dul:Action.	03
oewn-04637315-n	stone	a lack of feeling or expression or movement	dul:Quality	agree		Describes an attribute (lack of feeling/expression), fits dul:Quality well.	03
oewn-02233313-v	assign	transfer one's right to	dul:Action	agree		Transfer is agentive intentional action, correct dul:Action.	03
oewn-03081620-n	common room	a sitting room (usually at school or university)	dul:DesignedArtifact	disagree	dul:Place	Gloss describes a physical location/room, not an artifact with a specific design purpose.	03
oewn-00059339-n	exit	the act of going out	dul:Action	agree		Gloss explicitly states 'the act of', marks dul:Action correctly.	03
oewn-01222557-v	brace	support or hold steady and make steadfast, with or as if with a brace	dul:Action	agree		Describes intentional supportive action, correct dul:Action.	03
oewn-07733459-n	hubbard squash	large football-shaped winter squash with a warty grey-green rind	dul:FunctionalSubstance	disagree	dul:Organism or dul:BiologicalObject	Squash is a plant product/organism matter, not inherently a FunctionalSubstance unless functional role emphasized.	03
oewn-00490485-r	unimaginably	to an unimaginable extent	dul:Region	agree		Degree/intensity adverbs map to dul:Region correctly.	03
oewn-06273220-n	film	a medium that disseminates moving pictures	dul:DesignedArtifact	debatable	dul:InformationObject	Film can be viewed as designed medium (artifact) or info-bearing object; both defensible.	03
oewn-15297557-n	halftime	an intermission between the first and second half of a game	dul:TimeInterval	agree		Explicitly describes a time period, dul:TimeInterval correct.	03
oewn-10565349-n	sadist	someone who obtains pleasure from inflicting pain on others	dul:Person	agree		Describes a person, dul:Person is correct.	03
oewn-05433158-n	vestibular vein	veins that drain the saccule and utricle	dul:BiologicalObject	agree		Veins are anatomical structures, dul:BiologicalObject correct.	03
oewn-00112323-n	jumper	(basketball) a player releases the basketball at the high point of a jump	dul:Task	debatable	dul:Action	Describes a specific basketball action/shot, could be dul:Action; Task is defensive.	03
oewn-14295643-n	rinderpest	an acute infectious viral disease of cattle (usually fatal); characterized by fever and diarrhea and inflammation of mucous membranes	dul:Situation	agree		Disease as complex pathological state fits dul:Situation well.	03
oewn-10077835-n	engraver	a printmaker who prints from an engraved printing plate	dul:Person	agree		Describes a person by profession, dul:Person correct.	03
oewn-03096509-n	conning tower	an armored pilothouse on a warship	dul:DesignedArtifact	agree		Military structure designed for purpose, dul:DesignedArtifact correct.	03
oewn-02583461-n	horse mackerel	large elongated compressed food fish of the Atlantic waters of Europe	dul:Organism	agree		Fish is a living organism, dul:Organism correct.	03
oewn-07682896-n	lamb	the flesh of a young domestic sheep eaten as food	dul:Person	disagree	dul:Substance or dul:Amount	Lamb flesh is food substance, not a person; assigned class is incorrect.	03
oewn-05050245-n	defenselessness	the property of being helpless in the face of attack	dul:Quality	agree		Describes an abstract property, dul:Quality correct.	03
oewn-10230249-n	interior designer	a person who specializes in interior design	dul:Person	agree		Describes a person, dul:Person correct.	03
oewn-13483883-n	eponymy	the derivation of a general name from that of a famous person	dul:Process	disagree	dul:Process or dul:Event	Derivation is a linguistic process/event, not necessarily the gradual change meaning of Process.	03
oewn-00336814-n	jerk	an abrupt spasmodic movement	dul:Situation	agree		Describes an abrupt single occurrence, dul:Situation reasonable for complex movement.	03
oewn-05667105-n	kinanesthesia	inability to sense movement	dul:Quality	debatable	dul:State or dul:Condition	Medical inability is a state/condition; Quality is defensible for attribute angle.	03
oewn-03104534-a	Olympic	of or relating to the Olympic Games	dul:Quality	agree		Pertainym defaults to dul:Quality per guidelines; relation captured elsewhere.	03
oewn-04569548-n	water ski	broad ski for skimming over water towed by a speedboat	dul:DesignedArtifact	agree		Purpose-built equipment, dul:DesignedArtifact correct.	03
oewn-00481773-s	comforted	made comfortable or more comfortable in a time of distress	dul:Quality	debatable	dul:State	Being comforted is a state; Quality is defensible for the comfort attribute.	03
oewn-02960231-n	cap opener	a bottle opener to pry off caps	dul:DesignedArtifact	agree		Purpose-built tool, dul:DesignedArtifact correct.	03
oewn-12318912-n	marsh pink	any of several pink-flowered marsh plant of the eastern United States resembling a true centaury	dul:Organism	agree		Plant organism, dul:Organism correct.	03
oewn-01996016-s	unbooked	not reserved in advance	dul:Quality	debatable	dul:State	Being unbooked is a state; Quality is defensible for the attribute.	03
oewn-01638276-v	mythologize	construct a myth	dul:Action	agree		Constructing is agentive intentional action, dul:Action correct.	03
oewn-14950432-n	ketone	any of a class of organic compounds having a carbonyl group linked to a carbon atom in each of two hydrocarbon radicals	dul:ChemicalObject	agree		Chemical compound class, dul:ChemicalObject correct.	03
oewn-06156211-n	paleoethnography	the ethnography of paleolithic humans	ontopic:Topic	agree		Field of study/topic, ontopic:Topic correct.	03
oewn-10573055-n	saver	someone who saves (especially money)	dul:Person	agree		Describes a person by action, dul:Person correct.	03
oewn-10106590-n	field marshal	an officer holding the highest rank in the army	dul:Person	agree		Military person of rank, dul:Person correct.	03
oewn-13178969-n	elliptic leaf	a simple leaf shaped like an ellipse	dul:BiologicalObject	agree		Leaf is a plant organ/part, dul:BiologicalObject correct.	03
oewn-13147443-n	root hair	thin hairlike outgrowth of an epidermal cell just behind the tip; absorbs nutrients from the soil	dul:BiologicalObject	agree		Plant cell structure, dul:BiologicalObject correct.	03
oewn-01018282-s	grey	intermediate in character or position	dul:Quality	agree		Describes a quality/attribute of position/character, dul:Quality correct.	03
oewn-15144014-n	bout	a period of illness	dul:TimeInterval	debatable	dul:State or dul:Process	Period of illness is temporal; TimeInterval emphasizes duration, State emphasizes the condition.	03
oewn-01751547-n	hamadryad	large cobra of southeastern Asia and the East Indies; the largest venomous snake; sometimes placed in genus Naja	dul:Organism	agree		Snake is a living organism, dul:Organism correct.	03
oewn-01383395-n	pneumococcus	bacterium causing pneumonia in mice and humans	dul:Organism	agree		Bacterium is a living organism, dul:Organism correct.	03
oewn-03503925-n	hatchback	a car having a hatchback door	dul:DesignedArtifact	agree		Purpose-built vehicle, dul:DesignedArtifact correct.	03
oewn-05832637-n	predictor	information that supports a probabilistic estimate of future events	http://www.ontologydesignpatterns.org/ont/dul/Conceptualization.owl#InternalRepresentation	agree		Information-bearing entity, InternalRepresentation fitting.	03
oewn-10590879-n	secretary of education	the person who holds the secretaryship of the Department of Education	dul:Person	debatable	dul:Role	Could be Person or Role; gloss emphasizes office/title suggesting Role.	03
oewn-02542621-a	cool	inducing the impression of coolness; used especially of greens and blues and violets when referring to color	dul:PhysicalAttribute	agree		Color/temperature property explicitly marked, dul:PhysicalAttribute correct.	03
oewn-14585431-n	rancidity	the state of being rancid; having a rancid scent or flavor (as of old cooking oil)	dul:State	agree		Gloss explicitly opens with 'the state of', dul:State correct.	03
oewn-07421074-n	regurgitation	backflow of blood through a defective heart valve	dul:Event	debatable	dul:Process	Backflow is a process of gradual change; Event is reasonable for occurrence.	03
oewn-02244187-v	get in	secure a place in a college, university, etc.	dul:Action	agree		Agentive intentional action, dul:Action correct.	03
oewn-84605489-n	madman	a male insane person	dul:Person	agree		Describes a person, dul:Person correct.	03
oewn-05499911-n	fold	a folded part (as in skin or muscle)	dul:BiologicalObject	agree		Body tissue structure, dul:BiologicalObject correct.	03
oewn-02231341-v	dado	provide with a dado	dul:Action	agree		Intentional action to furnish/provide, dul:Action correct.	03
oewn-00248716-v	proliferate	cause to grow or increase rapidly	dul:Action	agree		Causing growth/increase requires agentive intent, fitting Action definition.	04
oewn-14936538-n	hydrochloric acid	an aqueous solution of hydrogen chloride; a strongly corrosive acid	dul:ChemicalObject	agree		A chemical compound is properly classified as ChemicalObject.	04
oewn-06820829-n	crossbones	two crossed bones (or a representation of two crossed bones) used as a symbol danger or death	dul:InformationRealization	agree		A visual representation of bones that conveys symbolic meaning is an information realization.	04
oewn-04256525-n	snare drum	a small drum with two heads and a snare stretched across the lower head	dul:DesignedArtifact	agree		A drum is a human-made instrument designed for a purpose.	04
oewn-02728082-v	figure	be or play a part of or in	dul:State	debatable	dul:Process	Figure can mean perform/play an active role (Action) or merely be present (State); gloss is ambiguous.	04
oewn-05408930-n	Rh-negative blood type	the blood group whose red cells lack the Rh factor (Rh antigen)	dul:FunctionalSubstance	disagree	dul:Substance	Blood type is a classification property, not functional substance. Should be Substance or Quality.	04
oewn-90000031-n	post	A message on a social media website	dul:InformationRealization	agree		A message is a physical/digital realization of information.	04
oewn-00412730-n	formalism	the practice of scrupulous adherence to prescribed or external forms	dul:Method	agree		Adherence to forms is a methodological practice.	04
oewn-14674315-n	plutonium 239	a highly fissionable isotope of plutonium that is used in atomic weapons and as a reactor fuel; produced by irradiating uranium 238 with slow electrons	dul:ChemicalObject	agree		A specific isotope is a chemical object.	04
oewn-00075202-s	lifelike	free from artificiality	dul:Quality	agree		An aesthetic/semantic quality attribute.	04
oewn-03067692-n	coffeepot	tall pot in which coffee is brewed	dul:DesignedArtifact	agree		A designed vessel for a specific purpose.	04
oewn-07505182-n	satyriasis	abnormally intense sexual desire in men	dul:InternalRepresentation	disagree	dul:CognitiveState	Sexual desire is a mental/emotional state, not information representation. Should be CognitiveState.	04
oewn-04603089-n	wirework	mesh netting made of wires	dul:DesignedArtifact	agree		An artifact manufactured from wire for a specific purpose.	04
oewn-07261731-n	promotion	a message issued in behalf of some product or cause or idea or person or institution	dul:InformationRealization	agree		A message is an information realization.	04
oewn-14132058-n	atherogenesis	the formation of atheromas on the walls of the arteries as in atherosclerosis	dul:Situation	disagree	dul:Process	Formation of plaques involves gradual change over time, fitting Process better than complex state-of-affairs.	04
oewn-06599772-n	shareware	software that is available free of charge; may be distributed for evaluation with a fee requested for additional features or a manual etc.	dul:InformationRealization	agree		Software/programs are informational realizations.	04
oewn-00226974-n	spasm	(pathology) sudden constriction of a hollow organ (as a blood vessel)	dul:Action	disagree	dul:Event	A sudden constriction is involuntary physiological event, not agentive Action.	04
oewn-03139103-a	tutorial	of or relating to tutors or tutoring	dul:Quality	agree		Pertainym adjectives default to Quality per guidelines, relying on dct:relation annotation.	04
oewn-07389653-n	concoction	an occurrence of an unusual mixture	dul:Event	agree		An unusual mixture occurrence is an event.	04
oewn-02178411-v	twang	cause to sound with a twang	dul:Action	agree		Causing a sound requires agentive intent.	04
oewn-01443405-n	tench	freshwater dace-like game fish of Europe and western Asia noted for ability to survive outside water	dul:Organism	agree		A fish is a living organism.	04
oewn-01710347-v	score	write a musical score for	dul:Action	agree		Writing requires intentional, agentive action.	04
oewn-92459559-n	royal yard	the yard of the royalmast, on which the royal is set, next above the topgallant	dul:DesignedArtifact	agree		A yard of a mast is a designed component of a ship.	04
oewn-01000813-s	discriminatory	containing or implying a slight or showing prejudice	dul:Quality	agree		A quality attribute of behavior or speech.	04
oewn-02938249-a	automotive	of or relating to motor vehicles	dul:Quality	agree		Pertainym adjective; defaults to Quality per guidelines.	04
oewn-00554693-v	syncretize	become fused	dul:Achievement	agree		Become indicates a telic endpoint (fusion achieved).	04
oewn-08421692-n	general staff	military officers assigned to assist a senior officer in planning military policy	dul:Organization	agree		A group of officers organized for a function.	04
oewn-11458071-n	coordinate bond	a covalent bond in which both electrons are provided by one of the atoms	dul:Event	disagree	dul:Abstract	A bond is a persistent chemical relationship, not an event.	04
oewn-13536352-n	metaphase	the second stage of mitosis	dul:EventType	agree		A stage of a process is a type of event.	04
oewn-08302960-n	training school	a school providing practical vocational and technical training	dul:Organization	agree		A school is an organized institution.	04
oewn-06652665-n	body mass index	a measure of someone's weight in relation to height; to calculate one's BMI, multiply one's weight in pounds and divide that by the square of one's height in inches; overweight is a BMI greater than 2	ontopic:Topic	debatable	dul:Region	BMI is a calculated metric—could be Region (position in quality space) or Topic (discourse topic).	04
oewn-85444389-n	albino	an animal with congenital albinism	dul:Person	disagree	dul:Organism	An albino can be any animal, not limited to humans. Should be Organism.	04
oewn-12972595-n	filmy fern	any fern of the genus Hymenophyllum growing in tropical humid regions and having translucent leaves	dul:Organism	agree		A plant species is an organism.	04
oewn-03057257-n	clozapine	an antipsychotic drug (trade name Clozaril) used as a sedative and for treatment-resistant schizophrenia; known to have few side effects	dul:FunctionalSubstance	agree		A pharmaceutical drug is a functional substance with medicinal purpose.	04
oewn-00609913-n	lighting	the craft of providing artificial light	dul:Action	disagree	dul:Task	Lighting is a craft/task description, not an agentive action instance.	04
oewn-00546451-s	afraid	feeling worry or concern or insecurity	dul:Quality	debatable	dul:CognitiveState	Emotional states can be Qualities (attributes) or CognitiveStates (mental conditions); both defensible.	04
oewn-09357302-n	land	the solid part of the earth's surface	dul:PhysicalPlace	agree		Land is a physical location.	04
oewn-92423612-n	Australianness	The state or quality of being Australian	dul:Quality	agree		A quality/property of something or someone being Australian.	04
oewn-02889840-n	brace	a structural member used to stiffen a framework	dul:DesignedArtifact	agree		A structural component designed for purpose.	04
oewn-09874114-n	bimbo	a young woman indulged by rich and powerful older men	dul:Person	agree		A human individual is a Person.	04
oewn-15121997-n	whale oil	a white to brown oil obtained from whale blubber; formerly used as an illuminant	dul:ChemicalObject	debatable	dul:Substance	Whale oil is natural substance/matter type. ChemicalObject (composition) or Substance (material) both defensible.	04
oewn-00686982-v	count	include as if by counting	dul:CognitiveEvent	agree		Counting is a cognitive operation/event.	04
oewn-07669591-n	chop	a small cut of meat including part of a rib	dul:FunctionalSubstance	debatable	dul:PhysicalObject	Meat is edible sustenance (functional) but more centrally physical object; both defensible.	04
oewn-06226571-n	reaction	extreme conservatism in political or social matters	dul:Situation	disagree	dul:Quality	Political conservatism is an ideological stance/Quality, not complex multi-entity situation.	04
