child	child_class	parent	parent_class	child_lemma	parent_lemma	child_gloss
oewn-00383282-n	dul:Situation	oewn-00382488-n	dul:DesignedArtifact	reunion	union	the act of coming together again
oewn-00383547-n	dul:Situation	oewn-00382488-n	dul:DesignedArtifact	tribalization	union	the act of making tribal; unification on a tribal basis
oewn-00383879-n	dul:Situation	oewn-00382488-n	dul:DesignedArtifact	umbrella	union	having the function of uniting a group of similar things
oewn-00396462-n	dul:Action	oewn-00393517-n	dul:Situation	circumcision	abscission	the act of circumcising; surgical removal of the foreskin of males
oewn-00404732-n	dul:Quality	oewn-00403900-n	dul:Situation	burn	damage	damage inflicted by fire
oewn-00404879-n	dul:Situation	oewn-00404732-n	dul:Quality	scald	burn	the act of burning with steam or hot water
oewn-00411260-n	dul:Method	oewn-00408356-n	dul:Action	practice	activity	a customary way of operation or behavior
oewn-00414252-n	dul:Method	oewn-01024120-n	dul:EventType	custom	survival	accepted or habitual practice
oewn-00422316-n	dul:Method	oewn-00214192-n	dul:Action	rendition	surrender	handing over prisoners to the country in which a crime was committed
oewn-00424919-n	dul:DesignedArtifact	oewn-00422440-n	dul:Method	rack	torture	a form of torture in which pain is inflicted by stretching the body
oewn-00430698-n	dul:Situation	oewn-00427931-n	dul:Action	eurythmy	diversion	the interpretation in harmonious bodily movements of the rhythm of musical compositions; used to teach musical understanding
oewn-00431125-n	dul:Situation	oewn-00427931-n	dul:Action	gambling	diversion	the act of playing for stakes in the hope of winning (including the payment of a price for a chance to win a prize)
oewn-00439983-n	dul:Relation	oewn-00364086-n	dul:Situation	split	increase	an increase in the number of outstanding shares of a corporation without changing the shareholders' equity
oewn-00494319-n	dul:Place	oewn-00489236-n	dul:Action	Michigan	card game	a gambling card game in which chips are placed on the ace and king and queen and jack of separate suits (taken from a separate deck); a player plays t
oewn-00494753-n	dul:Person	oewn-00489236-n	dul:Action	Napoleon	card game	a card game similar to whist; usually played for stakes
oewn-00508684-n	dul:Situation	oewn-00456623-n	dul:Action	game of chance	game	a game that involves gambling
oewn-00523201-n	dul:Action	oewn-08425224-n	dul:Collection	exhibition	fair	the act of exhibiting
oewn-00523201-n	dul:Action	oewn-08425514-n	coll:AgentCollection	exhibition	fair	the act of exhibiting
oewn-00536358-n	dul:InformationRealization	oewn-00535886-n	ontopic:Topic	beguine	ballroom dancing	a ballroom dance that originated in the French West Indies; similar to the rumba
oewn-00536492-n	dul:InformationRealization	oewn-00535886-n	ontopic:Topic	carioca	ballroom dancing	a lively ballroom dance that resembles the samba
oewn-00561330-n	dul:EventType	oewn-00559920-n	dul:Plan	rush	run	(American football) an attempt to advance the ball by running into the line
oewn-00574701-n	dul:Action	oewn-00574305-n	dul:Situation	pitch	approach	a high approach shot in golf
oewn-00590728-n	dul:Place	oewn-00587299-n	dul:Action	caliphate	position	the office of a caliph
oewn-00598380-n	dul:Person	oewn-00597922-n	dul:Action	President of the United States	presidency	the office of the United States head of state
oewn-00662026-n	dul:Situation	oewn-00656128-n	dul:Action	manicure	care	professional care for the hands and fingernails
oewn-00662200-n	dul:Situation	oewn-00656128-n	dul:Action	pedicure	care	professional care for the feet and toenails
oewn-00667024-n	dul:Situation	oewn-00666922-n	dul:Action	facial	skin care	care for the face that usually involves cleansing and massage and the application of cosmetic creams
oewn-00670930-n	dul:Situation	oewn-00670724-n	dul:Action	suction curettage	curettage	a method of induced abortion; prior to the 14th week of gestation the embryo and placenta are removed by applying suction to the dilated cervix
oewn-00699862-n	dul:Situation	oewn-00699257-n	dul:Action	venesection	bloodletting	surgical incision into a vein; used to treat hemochromatosis
oewn-00723730-n	dul:Person	oewn-00723312-n	dul:Role	position	role	(in team sports) the role assigned to an individual player
oewn-00734044-n	dul:Situation	oewn-00408356-n	dul:Action	wrongdoing	activity	activity that transgresses moral or civil law
oewn-00758836-n	dul:Situation	oewn-06802268-n	dul:InformationRealization	original sin	religious doctrine	a sin said to be inherited by all descendants of Adam
oewn-00774039-n	dul:Situation	oewn-00976530-n	dul:Action	resisting arrest	assault	physical efforts to oppose a lawful arrest; the resistance is classified as assault and battery upon the person of the police officer attempting to ma
oewn-00798428-n	dul:Organism	oewn-00797381-n	dul:Action	baby	undertaking	a project of personal concern to someone
oewn-00843942-n	dul:Quality	oewn-00360440-n	dul:Situation	nip	clip	a small sharp bite or snip
oewn-00844658-n	dul:Organism	oewn-01059683-n	dul:Action	suckling	feeding	feeding an infant by giving suck at the breast
oewn-00867757-n	dul:Situation	oewn-00865191-n	dul:Process	mydriasis	reflex	reflex pupillary dilation as a muscle pulls the iris outward; occurs in response to a decrease in light or certain drugs
oewn-00935074-n	dul:TimeInterval	oewn-00934815-n	dul:Action	personification	embodiment	the act of attributing human characteristics to abstract ideas etc.
oewn-01016932-n	coll:AgentCollection	oewn-01016008-n	dul:Action	gather	collection	the act of gathering something
oewn-01045365-n	dul:Collection	oewn-01044796-n	dul:Action	Stations	devotion	(Roman Catholic Church) a devotion consisting of fourteen prayers said before a series of fourteen pictures or carvings representing successive incide
oewn-01049727-n	dul:TimeInterval	oewn-01049262-n	dul:EventType	rebirth	revival	the revival of learning and culture
oewn-01064507-n	dul:Situation	oewn-00030657-n	dul:Action	inactivity	act	being inactive; being less active
oewn-01075919-n	dul:Situation	oewn-00030657-n	dul:Action	hindrance	act	the act of hindering or obstructing or impeding
oewn-01078787-n	dul:Situation	oewn-05952149-n	coll:InformationCollection	nuclear deterrence	doctrine	the military doctrine that an enemy will be deterred from using nuclear weapons as long as they can be destroyed as a consequence
oewn-01099197-n	dul:Situation	oewn-00408356-n	dul:Action	market	activity	the world of commercial activity where goods and services are bought and sold
oewn-01166076-n	dul:Method	oewn-01163648-n	dul:Action	electric shock	corporal punishment	the use of electricity to administer punishment or torture
oewn-01177478-n	dul:BiologicalObject	oewn-01175528-n	dul:Situation	stinger	blow	a sharp stinging blow
oewn-01177806-n	http://www.ontologydesignpatterns.org/ont/dul/Supplements.owl#DependentPlace	oewn-01175528-n	dul:Situation	hammer	blow	the act of pounding (delivering repeated heavy blows)
oewn-01218392-n	dul:Situation	oewn-00408356-n	dul:Action	support	activity	the activity of providing for or maintaining by supplying with money or necessities
oewn-01249853-n	dul:Situation	oewn-01249473-n	dul:Action	dry-gulching	ambush	the act of killing from ambush
oewn-01316379-n	dul:Organism	oewn-00006484-n	dul:BiologicalObject	recombinant	cell	a cell or organism in which genetic recombination has occurred
oewn-01329963-n	dul:Situation	oewn-00004475-n	dul:Organism	hybrid	organism	(genetics) an organism that is the offspring of genetically dissimilar parents or stock; especially offspring produced by breeding plants or animals o
oewn-01330406-n	dul:Organism	oewn-01329963-n	dul:Situation	dihybrid	hybrid	a hybrid produced by parents that differ only at two gene loci that have two alleles each
oewn-01330550-n	dul:Organism	oewn-01329963-n	dul:Situation	monohybrid	hybrid	a hybrid produced by crossing parents that are homozygous except for a single gene locus that has two alleles (as in Mendel's experiments with garden 
oewn-01331343-n	dul:Organism	oewn-09335749-n	dul:PhysicalObject	virus	infectious agent	(virology) ultramicroscopic infectious agent that replicates itself only within cells of living hosts; many are pathogenic; a piece of nucleic acid (D
oewn-01345170-n	coll:Taxon	oewn-08123900-n	dul:Organization	animal order	order	the order of animals
oewn-01349840-n	coll:Taxon	oewn-08123900-n	dul:Organization	protoctist order	order	the order of protoctists
oewn-01352867-n	dul:Organism	oewn-02845541-n	dul:DesignedArtifact	Bacillus anthracis	bioweapon	a species of bacillus that causes anthrax in humans and in animals (cattle and swine and sheep and rabbits and mice and guinea pigs); can be used a bi
oewn-01360148-n	dul:Organism	oewn-02845541-n	dul:DesignedArtifact	clostridium perfringens	bioweapon	anaerobic Gram-positive rod bacterium that produces epsilon toxin; can be used as a bioweapon
oewn-01388648-n	dul:Organism	oewn-09335749-n	dul:PhysicalObject	pathogen	infectious agent	any disease-producing agent (especially a virus or bacterium or other microorganism)
oewn-01523217-n	dul:FunctionalSubstance	oewn-01520206-n	dul:Organism	kiwi	ratite	nocturnal flightless bird of New Zealand having a long neck and stout legs; only surviving representative of the order Apterygiformes
oewn-01641828-n	dul:DesignedArtifact	oewn-01631917-n	dul:Organism	siren	salamander	eellike aquatic North American salamander with small forelimbs and no hind limbs; have permanent external gills
oewn-01697350-n	dul:DesignedArtifact	oewn-01677105-n	dul:Organism	monitor	lizard	any of various large tropical carnivorous lizards of Africa and Asia and Australia; fabled to warn of crocodiles
oewn-01697596-n	dul:Organism	oewn-01697350-n	dul:DesignedArtifact	African monitor	monitor	destroys crocodile eggs
oewn-01697701-n	dul:Organism	oewn-01697350-n	dul:DesignedArtifact	Komodo dragon	monitor	the largest lizard in the world (10 feet); found on Indonesian islands
oewn-01792945-n	dul:PhysicalBody	oewn-01792381-n	dul:Organism	Plymouth Rock	domestic fowl	an American breed of domestic fowl
oewn-01913639-n	dul:PhysicalPlace	oewn-01913388-n	dul:Organism	Aegina	jellyfish	small medusa
oewn-02078848-n	dul:DesignedArtifact	oewn-02078579-n	dul:Organism	seal	pinniped mammal	any of numerous marine mammals that come on shore to breed; chiefly of cold regions
oewn-02079054-n	dul:Organism	oewn-02078848-n	dul:DesignedArtifact	crabeater seal	seal	silvery grey Antarctic seal subsisting on crustaceans
oewn-02079431-n	dul:Organism	oewn-02078848-n	dul:DesignedArtifact	eared seal	seal	pinniped mammal having external ear flaps and hind limbs used for locomotion on land; valued for its soft underfur
oewn-02082041-n	dul:Organism	oewn-02078848-n	dul:DesignedArtifact	earless seal	seal	any of several seals lacking external ear flaps and having a stiff hairlike coat with hind limbs reduced to swimming flippers
oewn-02088272-n	dul:Place	oewn-02088026-n	dul:Organism	Chihuahua	toy dog	an old breed of tiny short-haired dog with protruding eyes from Mexico held to antedate Aztec civilization
oewn-02098541-n	dul:Place	oewn-02098379-n	dul:Organism	Sealyham terrier	Welsh terrier	a wire-haired terrier with short legs that was first bred in Sealyham
oewn-02101065-n	dul:Place	oewn-02095120-n	dul:Organism	Lhasa	terrier	a breed of terrier having a long heavy coat raised in Tibet as watchdogs
oewn-02108507-n	dul:PhysicalPlace	oewn-02107175-n	dul:Organism	Shetland sheepdog	shepherd dog	a small sheepdog resembling a collie that was developed in the Shetland Islands
oewn-02114789-n	dul:FunctionalSubstance	oewn-02114278-n	dul:Organism	chow	spitz	breed of medium-sized dogs with a thick coat and fluffy curled tails and distinctive blue-black tongues; believed to have originated in northern China
oewn-02129704-n	dul:InformationRealization	oewn-02127275-n	dul:Organism	lynx	wildcat	short-tailed wildcats with usually tufted ears; valued for their fur
oewn-02129944-n	dul:Organism	oewn-02129704-n	dul:InformationRealization	common lynx	lynx	of northern Eurasia
oewn-02130033-n	dul:Organism	oewn-02129704-n	dul:InformationRealization	Canada lynx	lynx	of northern North America
oewn-02130134-n	dul:Organism	oewn-02129704-n	dul:InformationRealization	bobcat	lynx	small lynx of North America
oewn-02130238-n	dul:Organism	oewn-02129704-n	dul:InformationRealization	spotted lynx	lynx	of southern Europe
oewn-02130330-n	dul:Organism	oewn-02129704-n	dul:InformationRealization	caracal	lynx	of deserts of northern Africa and southern Asia
oewn-02135440-n	dul:PhysicalPlace	oewn-02134788-n	dul:Organism	Alaskan brown bear	brown bear	brown bear of coastal Alaska and British Columbia
oewn-02365657-n	dul:PhysicalObject	oewn-02332053-n	dul:Organism	beaver	rodent	large semiaquatic rodent with webbed hind feet and a broad flat tail; construct complex dams and underwater lodges
oewn-02365897-n	dul:Organism	oewn-02365657-n	dul:PhysicalObject	Old World beaver	beaver	a European variety of beaver
oewn-02366003-n	dul:Organism	oewn-02365657-n	dul:PhysicalObject	New World beaver	beaver	a variety of beaver found in almost all areas of North America except Florida
oewn-02372587-n	dul:DesignedArtifact	oewn-02372332-n	dul:Organism	queen	naked mole rat	an especially large mole rat and the only member of a colony of naked mole rats to bear offspring which are sired by only a few males
oewn-02384016-n	dul:Organization	oewn-02380355-n	dul:Organism	grey	saddle horse	horse of a light gray or whitish color
oewn-02409511-n	dul:PhysicalPlace	oewn-02405077-n	dul:Organism	Devon	cattle	red dual-purpose cattle of English origin
oewn-02409723-n	dul:Place	oewn-02406838-n	dul:Organism	Durham	beef	English breed of short-horned cattle
oewn-02409928-n	dul:Place	oewn-02406838-n	dul:Organism	Galloway	beef	breed of hardy black chiefly beef cattle native to Scotland
oewn-02410173-n	dul:PhysicalPlace	oewn-02408826-n	dul:Organism	Guernsey	dairy cattle	breed of dairy cattle from the island of Guernsey
oewn-02416239-n	dul:PhysicalPlace	oewn-02415777-n	dul:Organism	Hampshire	domestic sheep	British breed of hornless dark-faced domestic sheep
oewn-02514455-n	dul:Person	oewn-08238269-n	coll:Taxon	Pisces	division	a group of vertebrates comprising both cartilaginous and bony fishes and sometimes including the jawless vertebrates; not used technically
oewn-02526833-n	dul:FunctionalSubstance	oewn-02524277-n	dul:Organism	pollack	gadoid	important food and game fish of northern seas (especially the northern Atlantic); related to cod
oewn-02579206-n	dul:DesignedArtifact	oewn-02578854-n	dul:Organism	jack	carangid fish	any of several fast-swimming predacious fishes of tropical to warm temperate seas
oewn-02579537-n	dul:Organism	oewn-02579206-n	dul:DesignedArtifact	crevalle jack	jack	fish of western Atlantic and Gulf of Mexico, also known as the common jack, black-tailed trevally, couvalli jack, black cavalli and yellow cavalli (Ca
oewn-02579672-n	dul:Organism	oewn-02579206-n	dul:DesignedArtifact	yellow jack	jack	fish of western Atlantic and Gulf of Mexico, also known as the coolihoo (Caranx bartholomaei)
oewn-02579795-n	dul:Organism	oewn-02579206-n	dul:DesignedArtifact	runner	jack	fish of western Atlantic: Cape Cod to Brazil
oewn-02580034-n	dul:Organism	oewn-02579206-n	dul:DesignedArtifact	rainbow runner	jack	streamlined cigar-shaped jack; good game fish
oewn-02580293-n	dul:Organism	oewn-02579206-n	dul:DesignedArtifact	leatherjacket	jack	any of several New World tropical fishes having tiny embedded scales
oewn-02580583-n	dul:Organism	oewn-02579206-n	dul:DesignedArtifact	threadfish	jack	fish having greatly elongated front rays on dorsal and anal fins
oewn-02581402-n	dul:Organism	oewn-02579206-n	dul:DesignedArtifact	amberjack	jack	any of several amber to coppery fork-tailed warm-water carangid fishes
oewn-02581559-n	dul:Organism	oewn-02579206-n	dul:DesignedArtifact	yellowtail	jack	game fish of southern California and Mexico having a yellow tail fin
oewn-02581722-n	dul:Organism	oewn-02579206-n	dul:DesignedArtifact	rudderfish	jack	fish having the habit of following ships; found in North American and South American coastal waters
oewn-02581934-n	dul:Organism	oewn-02579206-n	dul:DesignedArtifact	kingfish	jack	large game fish of Australia and New Zealand
oewn-02681592-n	dul:Person	oewn-03761713-n	dul:FunctionalSubstance	Adam	methylenedioxymethamphetamine	street names for methylenedioxymethamphetamine
oewn-02703754-n	dul:Person	oewn-04544161-n	dul:DesignedArtifact	Amati	violin	a violin made by Nicolo Amati or a member of his family
oewn-02757661-n	dul:DesignedArtifact	oewn-03124849-n	coll:AgentCollection	atrium	court	the central area in a building; open to the sky
oewn-02764397-n	dul:PhysicalAgent	oewn-03743963-n	dul:DesignedArtifact	automaton	mechanism	a mechanism that can move automatically
oewn-02765174-n	dul:PhysicalAgent	oewn-03187746-n	dul:DesignedArtifact	autopilot	device	a navigational device that automatically keeps ships or planes or spacecraft on a steady course
oewn-02832300-n	dul:Collective	oewn-04169042-n	dul:DesignedArtifact	bench	seat	(law) the seat for judges in a courtroom
oewn-03000998-n	dul:DesignedArtifact	oewn-03580409-n	dul:Right	ceramic	instrumentality	an artifact made of hard brittle material produced from nonmetallic minerals by firing at high temperatures
oewn-03015009-n	dul:DesignedArtifact	oewn-03721866-n	dul:Person	checker	man	one of the flat round pieces used in playing the game of checkers
oewn-03018094-n	dul:DesignedArtifact	oewn-03721866-n	dul:Person	chessman	man	any of 16 white and 16 black pieces used in playing the game of chess
oewn-03050906-n	dul:DesignedArtifact	oewn-04050813-n	dul:Person	clock radio	radio receiver	a radio that includes a clock that can be set to turn it on automatically
oewn-03051926-n	dul:DesignedArtifact	oewn-03124849-n	coll:AgentCollection	cloister	court	a courtyard with covered walks (as in religious institutions)
oewn-03095830-n	dul:DesignedArtifact	oewn-03580409-n	dul:Right	connection	instrumentality	an instrumentality that connects
oewn-03099154-n	dul:DesignedArtifact	oewn-03580409-n	dul:Right	container	instrumentality	any object that can be used to hold things (especially a large metal boxlike object of standardized dimensions that can be loaded from one form of tra
oewn-03105141-n	dul:DesignedArtifact	oewn-03580409-n	dul:Right	conveyance	instrumentality	something that serves as a means of transportation
oewn-03124849-n	coll:AgentCollection	oewn-02738693-n	dul:DesignedArtifact	court	area	an area wholly or partly surrounded by walls or buildings
oewn-03148822-n	dul:DesignedArtifact	oewn-04050813-n	dul:Person	crystal set	radio receiver	an early radio receiver using a crystal detector
oewn-03187746-n	dul:DesignedArtifact	oewn-03580409-n	dul:Right	device	instrumentality	an instrumentality invented for a particular purpose
oewn-03238126-n	dul:Collection	oewn-00002684-n	dul:PhysicalObject	draw	object	anything (straws or pebbles etc.) taken or chosen at random
oewn-03298959-n	dul:DesignedArtifact	oewn-03580409-n	dul:Right	equipment	instrumentality	an instrumentality needed for an undertaking or to perform a service
oewn-03311152-n	dul:Collection	oewn-03080712-n	dul:DesignedArtifact	export	commodity	commodities (goods or services) sold to a foreign country
oewn-03340791-n	dul:Situation	oewn-03632523-n	dul:DesignedArtifact	figure eight	knot	a knot having the shape of the numeral 8; tied in a rope that has been passed through a hole or pulley and that prevents the rope from coming loose
oewn-03372987-n	dul:DesignedArtifact	oewn-07955013-n	dul:Collection	flower arrangement	arrangement	a decorative arrangement of flowers
oewn-03382851-n	dul:DesignedArtifact	oewn-03124849-n	coll:AgentCollection	food court	court	an area (as in a shopping mall) where food is sold, usually around a common eating area, with multiple contiguous stalls
oewn-03387138-n	dul:DesignedArtifact	oewn-03124849-n	coll:AgentCollection	forecourt	court	the outer or front court of a building or of a group of buildings
oewn-03410175-n	dul:DesignedArtifact	oewn-03580409-n	dul:Right	furnishing	instrumentality	(usually plural) the instrumentalities (furniture and appliances and other movable accessories including curtains and rugs) that make a home (or other
oewn-03498893-n	dul:DesignedArtifact	oewn-03580409-n	dul:Right	hardware	instrumentality	instrumentalities (tools or implements) made of metal
oewn-03522159-n	dul:DesignedArtifact	oewn-04050813-n	dul:Person	heterodyne receiver	radio receiver	a radio receiver that combines a locally generated frequency with the carrier frequency to produce a supersonic signal that is demodulated and amplifi
oewn-03539956-n	dul:Person	oewn-04525118-n	dul:PhysicalObject	Hoover	vacuum	a kind of vacuum cleaner
oewn-03569147-n	dul:DesignedArtifact	oewn-03580409-n	dul:Right	implement	instrumentality	instrumentation (a piece of equipment or tool) used to effect an end
oewn-03569847-n	dul:Collection	oewn-03080712-n	dul:DesignedArtifact	import	commodity	commodities (goods or services) bought from a foreign country
oewn-03580409-n	dul:Right	oewn-00022119-n	dul:PhysicalObject	instrumentality	artifact	an artifact (that is instrumental in accomplishing some end) for accomplishing some end
oewn-03683092-n	dul:Person	oewn-03785580-n	dul:DesignedArtifact	lister	moldboard plow	moldboard plow with a double moldboard designed to move dirt to either side of a central furrow
oewn-03705309-n	dul:PhysicalAgent	oewn-03187746-n	dul:DesignedArtifact	machine	device	any mechanical or electrical device that transmits or modifies energy to perform or assist in the performance of human tasks
oewn-03721866-n	dul:Person	oewn-03419072-n	dul:DesignedArtifact	man	game equipment	game equipment consisting of an object used in playing certain board games
oewn-03737511-n	dul:Person	oewn-04083396-n	dul:DesignedArtifact	Mauser	repeating firearm	trademark for a repeating rifle or pistol
oewn-03871242-n	dul:PhysicalAgent	oewn-04009955-n	dul:InformationRealization	monotype	print	the sole print made by pressing paper against a painted or inked glass or metal plate
oewn-03900867-n	dul:DesignedArtifact	oewn-03124849-n	coll:AgentCollection	parvis	court	a courtyard or portico in front of a building (especially a cathedral)
oewn-03957729-n	dul:Person	oewn-03739416-n	dul:DesignedArtifact	Pitot tube	measuring instrument	measuring instrument consisting of a right-angled tube with an open end that is directed in opposition to the flow of a fluid and used to measure the 
oewn-03993307-n	dul:Person	oewn-02776843-n	dul:DesignedArtifact	portmanteau	bag	a large travelling bag made of stiff leather
oewn-04003842-n	dul:DesignedArtifact	oewn-03705309-n	dul:PhysicalAgent	power tool	machine	a tool driven by a motor
oewn-04011143-n	dul:PhysicalAgent	oewn-03922839-n	dul:DesignedArtifact	printer	peripheral	(computer science) an output device that prints the results of data processing
oewn-04033843-n	dul:DesignedArtifact	oewn-04050813-n	dul:Person	push-button radio	radio receiver	a radio receiver that can be tuned by pressing buttons
oewn-04050813-n	dul:Person	oewn-04067759-n	dul:DesignedArtifact	radio receiver	receiver	an electronic receiver that detects and demodulates and amplifies transmitted signals
oewn-04067759-n	dul:DesignedArtifact	oewn-04183589-n	dul:Situation	receiver	set	set that receives radio or tv signals
oewn-04102203-n	dul:Person	oewn-03547513-n	dul:DesignedArtifact	Ritz	hotel	a hotel that is part of the chain of hotels founded by Cesar Ritz
oewn-04183589-n	dul:Situation	oewn-03283159-n	dul:DesignedArtifact	set	electronic equipment	any electronic equipment that receives or transmits radio or tv signals
oewn-04186974-n	dul:PhysicalObject	oewn-04424315-n	dul:PhysicalAgent	sewing machine	textile machine	a textile machine used as a home appliance for sewing
oewn-04290130-n	dul:Person	oewn-03990592-n	dul:DesignedArtifact	Spode	porcelain	a brand of fine English porcelain
oewn-04332730-n	dul:Person	oewn-03742461-n	dul:DesignedArtifact	stoker	mechanical device	a mechanical device for stoking a furnace
oewn-04345281-n	dul:Collection	oewn-03110761-n	dul:PhysicalObject	string	cord	a tightly stretched cord of wire or gut, as a part of an instrument or a tennis racket
oewn-04384144-n	dul:DesignedArtifact	oewn-03580409-n	dul:Right	system	instrumentality	instrumentality that combines interrelated interacting artifacts designed to work as a coherent entity
oewn-04416006-n	dul:DesignedArtifact	oewn-03649562-n	dul:Collection	temporary hookup	lash-up	a connection intended to be used for a limited time
oewn-04442512-n	dul:DesignedArtifact	oewn-03721866-n	dul:Person	tile	man	game equipment consisting of a flat thin piece marked with characters and used in board games like Mah-Jong, Scrabble, etc.
oewn-04454577-n	dul:DesignedArtifact	oewn-03580409-n	dul:Right	toiletry	instrumentality	artifacts used in making your toilet (washing and taking care of your body)
oewn-04479961-n	dul:DesignedArtifact	oewn-04183589-n	dul:Situation	transmitter	set	set used to broadcast radio or tv signals
oewn-04573543-n	dul:DesignedArtifact	oewn-03580409-n	dul:Right	weaponry	instrumentality	weapons considered collectively
oewn-04577500-n	dul:Person	oewn-03999061-n	dul:DesignedArtifact	Wedgwood	pottery	a type of pottery made by Josiah Wedgwood and his successors; typically has a classical decoration in white on a blue background
oewn-04609402-n	dul:Place	oewn-08596234-n	dul:SpaceRegion	workplace	geographic point	a place where work is done
oewn-88128998-n	dul:Organism	oewn-02985366-n	dul:DesignedArtifact	onager	catapult	small catapult used by the Romans
oewn-04623416-n	dul:Quality	oewn-00024444-n	dul:Region	trait	attribute	a distinguishing feature of your personal nature
oewn-04624273-n	dul:Quality	oewn-00024444-n	dul:Region	character	attribute	(genetics) an attribute (structural or functional) that is determined by a gene or group of genes
oewn-04624646-n	dul:Quality	oewn-00024444-n	dul:Region	thing	attribute	any attribute or quality considered as having its own existence
oewn-04624919-n	dul:Quality	oewn-00024444-n	dul:Region	personality	attribute	the complex of all the attributes — behavioral, temperamental, emotional and mental — that characterize a unique individual
oewn-04638046-n	dul:Quality	oewn-00024444-n	dul:Region	cheerfulness	attribute	the quality of being cheerful and dispelling gloom
