oewn_id	pos	dulplus_class	method	primary_lemma	provenance	gloss
oewn-02486512-v	v	dul:Action	phase3_tier2_indirect	outlaw	peer=oewn-02487025-v(dul:Action)	declare illegal; outlaw
oewn-13291061-n	n	dul:Action	phase1_propagated	contribution	synset-contribution-noun-2	a voluntary gift (as of money or service or ideas) made to some worthwhile cause
oewn-03527797-n	n	dul:DesignedArtifact	phase1_propagated	hitch	synset-hitch-noun-5	a knot that can be undone by pulling against the strain that holds it; a temporary knot
oewn-04884725-n	n	dul:Quality	phase1_propagated	loyalty	synset-loyalty-noun-1	the quality of being loyal
oewn-09946909-n	n	dul:Person	phase5alt_propagated_from_hypernym	reverend	from oewn-09528285-n	a member of the clergy and a spiritual leader of the Christian Church
oewn-02018416-s	s	dul:PhysicalAttribute	phase8_systematic_review_from_phase4_A1_satellite_inherits_head	anechoic	decision D-007338: satellite's gloss has physical-attr keyword; head was generic Quality	not having or producing echoes; sound-absorbent
oewn-04481422-n	n	dul:DesignedArtifact	phase1_propagated	transport ship	synset-transport_ship-noun-1	a ship for carrying soldiers or military equipment
oewn-01915022-s	s	dul:Quality	phase4_A1_satellite_inherits_head	alloyed	inherited from head oewn-01914420-a	(used of metals) debased by mixture with an inferior element
oewn-06025949-n	n	dul:Set	phase1_propagated	open interval	synset-open_interval-noun-1	an interval that does not include its endpoints
oewn-04793718-n	n	dul:Quality	phase1_propagated	simplicity	synset-simplicity-noun-3	absence of affectation or pretense
oewn-01139748-s	s	dul:Quality	phase4_A1_satellite_inherits_head	crabbed	inherited from head oewn-01138269-a	annoyed and irritable
oewn-02588984-s	s	dul:Quality	phase4_A1_satellite_inherits_head	anchoritic	inherited from head oewn-02588673-a	characterized by ascetic solitude
oewn-09793689-n	n	dul:Person	phase1_propagated	adviser	synset-adviser-noun-1	an expert who gives advice
oewn-01851084-a	a	dul:Quality	phase4_A5_adj_head_default	unprepared	adj.all head default	without preparation; not prepared for
oewn-01258938-v	v	dul:Action	phase3_propagated_from_hypernym	swage	from oewn-01663142-v[tier1_derivation]	form metals with a swage
oewn-02668725-v	v	dul:Process	phase8_re_propagated	co-vary	inherited from revised anchor oewn-00109468-v (dul:Process)	vary in the same time period (of two random variables)
oewn-10339888-n	n	dul:Person	phase1_propagated	minimalist	synset-minimalist-noun-2	a practitioner or advocate of artistic minimalism
oewn-00532114-n	n	dul:Action	phase1_propagated	cancan	synset-cancan-noun-1	a high-kicking dance of French origin performed by a female chorus line
oewn-00136124-r	r	dul:Region	phase4_R7_adv_default	locally	adverb default (quality region)	by a particular locality
oewn-00840824-n	n	dul:Process	phase1_propagated	coprophagy	synset-coprophagy-noun-1	eating feces; in human a symptom of some kinds of insanity
oewn-00395719-v	v	dul:Action	phase3_tier1_derivation	blend	deriv→oewn-14442066-n(marker='the state of')|deriv→oewn-00379793-n(marker='the act of')|deriv→oewn-0	mix together different elements
oewn-02009910-a	a	dul:Quality	phase4_A5_adj_head_default	unrestricted	adj.all head default	not subject to or subjected to restriction
oewn-12726458-n	n	dul:Organism	phase1_propagated	flowering wintergreen	synset-flowering_wintergreen-noun-1	common trailing perennial milkwort of eastern North America having leaves like wintergreen and usually rosy-purple flowers with winged sepals
oewn-02693438-v	v	dul:Event	phase3_tier3_default_event	rim	gloss	run around the rim of
oewn-03304466-n	n	dul:InformationRealization	phase1_propagated	etching	synset-etching-noun-1	an impression made from an etched plate
oewn-02520662-a	a	dul:Quality	phase4_A5_adj_head_default	inviolable	adj.all head default	incapable of being transgressed or dishonored
oewn-00681291-a	a	dul:Quality	phase4_A5_adj_head_default	annual	adj.all head default	completing its life cycle within a year
oewn-01884969-s	s	dul:Quality	phase4_A1_satellite_inherits_head	becoming	inherited from head oewn-01884565-a	according with custom or propriety
oewn-05847533-n	n	coll:InformationCollection	phase1_propagated	kind	synset-kind-noun-1	a category of things distinguished by some common characteristic or quality
oewn-00921876-n	n	dul:System	phase1_propagated	ranching	synset-ranching-noun-1	farming for the raising of livestock (particularly cattle)
oewn-01366529-a	a	dul:Quality	phase4_A5_adj_head_default	joyful	adj.all head default	full of or producing joy
oewn-00406038-s	s	dul:PhysicalAttribute	phase4_A1_satellite_inherits_head	bleached	inherited from head oewn-00405279-a	having lost freshness or brilliance of color
oewn-13454076-n	n	dul:Process	phase1_propagated	antisepsis	synset-antisepsis-noun-2	the process of inhibiting the growth and multiplication of microorganisms
oewn-03626258-n	n	dul:DesignedArtifact	phase1_propagated	kitchen utensil	synset-kitchen_utensil-noun-1	a utensil used in preparing food
oewn-02758989-n	n	dul:DesignedArtifact	phase1_propagated	attic fan	synset-attic_fan-noun-1	a fan that blows heated air out of the attic of a building
oewn-08151789-n	n	dul:Organization	phase1_propagated	Department of Homeland Security	synset-Department_of_Homeland_Security-noun-1	the federal department that administers all matters relating to homeland security
oewn-04723767-n	n	dul:Quality	phase1_propagated	aptness	synset-aptness-noun-2	appropriateness for the occasion
oewn-04149040-n	n	dul:DesignedArtifact	phase1_propagated	scale	synset-scale-noun-7	a measuring instrument for weighing; shows amount of mass
oewn-03096622-n	n	dul:DesignedArtifact	phase1_propagated	conservatory	synset-conservatory-noun-3	a greenhouse in which plants are arranged in a pleasing manner
oewn-10249553-n	n	dul:Person	phase1_propagated	keyboardist	synset-keyboardist-noun-1	a musician who plays a keyboard instrument
oewn-05235350-n	n	dul:BiologicalObject	phase1_propagated	mamillary body	synset-mamillary_body-noun-1	one of two small round structures on the undersurface of the brain that form the terminals of the anterior arches of the fornix
oewn-09763123-n	n	dul:Person	phase1_propagated	Minnesotan	synset-Minnesotan-noun-1	a native or resident of Minnesota
oewn-00367501-n	n	dul:Situation	phase1_propagated	tension	synset-tension-noun-6	the action of stretching something tight
oewn-01630743-s	s	dul:Quality	phase4_A1_satellite_inherits_head	hideous	inherited from head oewn-01628814-a	grossly offensive to decency or morality; causing horror
oewn-10285588-n	n	dul:Person	phase5alt_propagated_from_hypernym	lister	from oewn-10712379-n	assessor who makes out the tax lists
oewn-15081316-n	n	dul:FunctionalSubstance	phase1_propagated	sea spray	synset-sea_spray-noun-1	spray from ocean waves
oewn-00379694-r	r	dul:Region	phase4_R1_adv_manner	sensitively	manner adverb	in a sensitive manner
oewn-00648076-n	n	dul:Action	phase1_propagated	chemical analysis	synset-chemical_analysis-noun-1	the act of decomposing a substance into its constituent elements
oewn-14391054-n	n	dul:Situation	phase1_propagated	elephantiasis scroti	synset-elephantiasis_scroti-noun-1	swelling of the scrotum resulting from chronic lymphatic obstruction
oewn-01919470-s	s	dul:Quality	phase4_A1_satellite_inherits_head	undisciplined	inherited from head oewn-01918994-a	not subjected to discipline
oewn-08123764-n	n	coll:Taxon	phase1_propagated	superclass	synset-superclass-noun-1	(biology) a taxonomic class below a phylum and above a class
oewn-90000231-v	v	dul:Action	phase3_propagated_from_hypernym	follow	from oewn-02214527-v[propagated_from_hypernym]	to be subscribed to updates from another user on social media
oewn-06342274-n	n	coll:Taxon	phase1_propagated	transitive verb	synset-transitive_verb-noun-1	a verb (or verb construction) that requires an object in order to be grammatical
oewn-06605195-n	n	dul:InformationRealization	phase1_propagated	archives	synset-archives-noun-1	collection of records especially about an institution
oewn-02997336-a	a	dul:Quality	phase4_A2_pertainym_default	yogistic	adj.pert head — relational adjective	of or relating to yoga
oewn-01602904-v	v	dul:Process	phase8_re_propagated	coal	inherited from revised anchor oewn-00109468-v (dul:Process)	take in coal
oewn-00560964-s	s	dul:Quality	phase4_A1_satellite_inherits_head	close	inherited from head oewn-00560599-a	crowded
oewn-12864730-n	n	dul:Organism	phase1_propagated	wild basil	synset-wild_basil-noun-1	aromatic herb having heads of small pink or whitish flowers; widely distributed in United States, Europe and Asia
oewn-02503378-a	a	dul:Quality	phase4_A5_adj_head_default	upstage	adj.all head default	of the back half of a stage
oewn-06413845-n	n	dul:InformationRealization	phase1_propagated	web log	synset-web_log-noun-1	a shared on-line journal where people can post diary entries about their personal experiences and hobbies
oewn-09318959-n	n	http://www.ontologydesignpatterns.org/ont/dul/Supplements.owl#DependentPlace	phase1_propagated	gulf	synset-gulf-noun-3	a deep wide chasm
oewn-14526956-n	n	dul:Situation	phase1_propagated	arrested development	synset-arrested_development-noun-1	an abnormal state in which development has stopped prematurely
oewn-06415036-n	n	dul:InformationRealization	phase1_propagated	handwriting	synset-handwriting-noun-1	something written by hand
oewn-05801008-n	n	http://www.ontologydesignpatterns.org/ont/dul/Conceptualization.owl#InternalRepresentation	phase1_propagated	explanation	synset-explanation-noun-2	thought that makes something comprehensible
oewn-02036260-v	v	dul:Action	phase3_tier1_derivation	diverge	deriv→oewn-01006014-n(marker='the act of')|deriv→oewn-01006014-n(marker='the act of')	move or draw apart
oewn-04637315-n	n	dul:Quality	phase5alt_propagated_from_hypernym	stone	from oewn-04636961-n	a lack of feeling or expression or movement
oewn-02233313-v	v	dul:Action	phase3_propagated_from_hypernym	assign	from oewn-02225243-v[propagated_from_hypernym]	transfer one's right to
oewn-03081620-n	n	dul:DesignedArtifact	phase1_propagated	common room	synset-common_room-noun-1	a sitting room (usually at school or university)
oewn-00059339-n	n	dul:Action	phase1_propagated	exit	synset-exit-noun-3	the act of going out
oewn-01222557-v	v	dul:Action	phase3_tier1_derivation	brace	deriv→oewn-01269438-n(marker='the act of')	support or hold steady and make steadfast, with or as if with a brace
oewn-07733459-n	n	dul:FunctionalSubstance	phase1_propagated	hubbard squash	synset-hubbard_squash-noun-2	large football-shaped winter squash with a warty grey-green rind
oewn-00490485-r	r	dul:Region	phase4_R5_adv_degree	unimaginably	degree/intensity marker in gloss	to an unimaginable extent
oewn-06273220-n	n	dul:DesignedArtifact	phase1_propagated	film	synset-film-noun-2	a medium that disseminates moving pictures
oewn-15297557-n	n	dul:TimeInterval	phase1_propagated	halftime	synset-halftime-noun-1	an intermission between the first and second half of a game
oewn-10565349-n	n	dul:Person	phase1_propagated	sadist	synset-sadist-noun-1	someone who obtains pleasure from inflicting pain on others
oewn-05433158-n	n	dul:BiologicalObject	phase1_propagated	vestibular vein	synset-vestibular_vein-noun-1	veins that drain the saccule and utricle
oewn-00112323-n	n	dul:Task	phase1_propagated	jumper	synset-jumper-noun-8	(basketball) a player releases the basketball at the high point of a jump
oewn-14295643-n	n	dul:Situation	phase1_propagated	rinderpest	synset-rinderpest-noun-1	an acute infectious viral disease of cattle (usually fatal); characterized by fever and diarrhea and inflammation of mucous membranes
oewn-10077835-n	n	dul:Person	phase1_propagated	engraver	synset-engraver-noun-2	a printmaker who prints from an engraved printing plate
oewn-03096509-n	n	dul:DesignedArtifact	phase1_propagated	conning tower	synset-conning_tower-noun-1	an armored pilothouse on a warship
oewn-02583461-n	n	dul:Organism	phase1_propagated	horse mackerel	synset-horse_mackerel-noun-2	large elongated compressed food fish of the Atlantic waters of Europe
oewn-07682896-n	n	dul:Person	phase1_propagated	lamb	synset-lamb-noun-4	the flesh of a young domestic sheep eaten as food
oewn-05050245-n	n	dul:Quality	phase1_propagated	defenselessness	synset-defenselessness-noun-1	the property of being helpless in the face of attack
oewn-10230249-n	n	dul:Person	phase1_propagated	interior designer	synset-interior_designer-noun-1	a person who specializes in interior design
oewn-13483883-n	n	dul:Process	phase1_propagated	eponymy	synset-eponymy-noun-1	the derivation of a general name from that of a famous person
oewn-00336814-n	n	dul:Situation	phase1_propagated	jerk	synset-jerk-noun-2	an abrupt spasmodic movement
oewn-05667105-n	n	dul:Quality	phase1_propagated	kinanesthesia	synset-kinanesthesia-noun-1	inability to sense movement
oewn-03104534-a	a	dul:Quality	phase4_A2_pertainym_default	Olympic	adj.pert head — relational adjective	of or relating to the Olympic Games
oewn-04569548-n	n	dul:DesignedArtifact	phase1_propagated	water ski	synset-water_ski-noun-1	broad ski for skimming over water towed by a speedboat
oewn-00481773-s	s	dul:Quality	phase4_A1_satellite_inherits_head	comforted	inherited from head oewn-00481320-a	made comfortable or more comfortable in a time of distress
oewn-02960231-n	n	dul:DesignedArtifact	phase1_propagated	cap opener	synset-cap_opener-noun-1	a bottle opener to pry off caps
oewn-12318912-n	n	dul:Organism	phase1_propagated	marsh pink	synset-marsh_pink-noun-1	any of several pink-flowered marsh plant of the eastern United States resembling a true centaury
oewn-01996016-s	s	dul:Quality	phase4_A1_satellite_inherits_head	unbooked	inherited from head oewn-01995806-a	not reserved in advance
oewn-01638276-v	v	dul:Action	phase3_propagated_from_hypernym	mythologize	from oewn-01637966-v[tier1_derivation]	construct a myth
oewn-14950432-n	n	dul:ChemicalObject	phase1_propagated	ketone	synset-ketone-noun-1	any of a class of organic compounds having a carbonyl group linked to a carbon atom in each of two hydrocarbon radicals
oewn-06156211-n	n	ontopic:Topic	phase1_propagated	paleoethnography	synset-paleoethnography-noun-1	the ethnography of paleolithic humans
oewn-10573055-n	n	dul:Person	phase1_propagated	saver	synset-saver-noun-2	someone who saves (especially money)
oewn-10106590-n	n	dul:Person	phase1_propagated	field marshal	synset-field_marshal-noun-1	an officer holding the highest rank in the army
oewn-13178969-n	n	dul:BiologicalObject	phase1_propagated	elliptic leaf	synset-elliptic_leaf-noun-1	a simple leaf shaped like an ellipse
oewn-13147443-n	n	dul:BiologicalObject	phase1_propagated	root hair	synset-root_hair-noun-1	thin hairlike outgrowth of an epidermal cell just behind the tip; absorbs nutrients from the soil
oewn-01018282-s	s	dul:Quality	phase4_A1_satellite_inherits_head	grey	inherited from head oewn-01017848-a	intermediate in character or position
oewn-15144014-n	n	dul:TimeInterval	phase1_propagated	bout	synset-bout-noun-2	a period of illness
oewn-01751547-n	n	dul:Organism	phase1_propagated	hamadryad	synset-hamadryad-noun-2	large cobra of southeastern Asia and the East Indies; the largest venomous snake; sometimes placed in genus Naja
oewn-01383395-n	n	dul:Organism	phase1_propagated	pneumococcus	synset-pneumococcus-noun-1	bacterium causing pneumonia in mice and humans
oewn-03503925-n	n	dul:DesignedArtifact	phase1_propagated	hatchback	synset-hatchback-noun-1	a car having a hatchback door
oewn-05832637-n	n	http://www.ontologydesignpatterns.org/ont/dul/Conceptualization.owl#InternalRepresentation	phase1_propagated	predictor	synset-predictor-noun-2	information that supports a probabilistic estimate of future events
oewn-10590879-n	n	dul:Person	phase5alt_propagated_from_hypernym	secretary of education	from oewn-10589463-n	the person who holds the secretaryship of the Department of Education
oewn-02542621-a	a	dul:PhysicalAttribute	phase4_A4_physical_attr_keyword	cool	gloss has physical-attribute marker	inducing the impression of coolness; used especially of greens and blues and violets when referring to color
oewn-14585431-n	n	dul:State	phase8_systematic_review_from_phase1_propagated	rancidity	decision D-005045: gloss opens 'the state of' — Silva perdurant marker	the state of being rancid; having a rancid scent or flavor (as of old cooking oil)
oewn-07421074-n	n	dul:Event	phase1_propagated	regurgitation	synset-regurgitation-noun-1	backflow of blood through a defective heart valve
oewn-02244187-v	v	dul:Action	phase3_propagated_from_hypernym	get in	from oewn-02242867-v[tier1_derivation]	secure a place in a college, university, etc.
oewn-84605489-n	n	dul:Person	phase5alt_propagated_from_hypernym	madman	from oewn-10306910-n	a male insane person
oewn-05499911-n	n	dul:BiologicalObject	phase1_propagated	fold	synset-fold-noun-5	a folded part (as in skin or muscle)
oewn-02231341-v	v	dul:Action	phase3_propagated_from_hypernym	dado	from oewn-02332196-v[tier1_derivation]	provide with a dado
oewn-00248716-v	v	dul:Action	phase3_propagated_from_hypernym	proliferate	from oewn-00248276-v[propagated_from_hypernym]	cause to grow or increase rapidly
oewn-14936538-n	n	dul:ChemicalObject	phase1_propagated	hydrochloric acid	synset-muriatic_acid-noun-1	an aqueous solution of hydrogen chloride; a strongly corrosive acid
oewn-06820829-n	n	dul:InformationRealization	phase1_propagated	crossbones	synset-crossbones-noun-1	two crossed bones (or a representation of two crossed bones) used as a symbol danger or death
oewn-04256525-n	n	dul:DesignedArtifact	phase1_propagated	snare drum	synset-snare_drum-noun-1	a small drum with two heads and a snare stretched across the lower head
oewn-02728082-v	v	dul:State	phase3_tier3_gloss_starts_be	figure	gloss	be or play a part of or in
oewn-05408930-n	n	dul:FunctionalSubstance	phase1_propagated	Rh-negative blood type	synset-Rh-negative_blood_type-noun-1	the blood group whose red cells lack the Rh factor (Rh antigen)
oewn-90000031-n	n	dul:InformationRealization	phase8_systematic_review_from_phase5alt_propagated_from_hypernym	post	decision D-010504: gloss describes information-realization explicitly	A message on a social media website
oewn-00412730-n	n	dul:Method	phase1_propagated	formalism	synset-formalism-noun-3	the practice of scrupulous adherence to prescribed or external forms
oewn-14674315-n	n	dul:ChemicalObject	phase1_propagated	plutonium 239	synset-plutonium_239-noun-1	a highly fissionable isotope of plutonium that is used in atomic weapons and as a reactor fuel; produced by irradiating uranium 238 with slow electrons
oewn-00075202-s	s	dul:Quality	phase4_A1_satellite_inherits_head	lifelike	inherited from head oewn-00074954-a	free from artificiality
oewn-03067692-n	n	dul:DesignedArtifact	phase1_propagated	coffeepot	synset-coffeepot-noun-1	tall pot in which coffee is brewed
oewn-07505182-n	n	http://www.ontologydesignpatterns.org/ont/dul/Conceptualization.owl#InternalRepresentation	phase1_propagated	satyriasis	synset-satyriasis-noun-1	abnormally intense sexual desire in men
oewn-04603089-n	n	dul:DesignedArtifact	phase1_propagated	wirework	synset-wirework-noun-1	mesh netting made of wires
oewn-07261731-n	n	dul:InformationRealization	phase8_systematic_review_from_phase1_propagated	promotion	decision D-003486: gloss describes information-realization explicitly	a message issued in behalf of some product or cause or idea or person or institution
oewn-14132058-n	n	dul:Situation	phase1_propagated	atherogenesis	synset-atherogenesis-noun-1	the formation of atheromas on the walls of the arteries as in atherosclerosis
oewn-06599772-n	n	dul:InformationRealization	phase1_propagated	shareware	synset-shareware-noun-1	software that is available free of charge; may be distributed for evaluation with a fee requested for additional features or a manual etc.
oewn-00226974-n	n	dul:Action	phase1_propagated	spasm	synset-spasm-noun-2	(pathology) sudden constriction of a hollow organ (as a blood vessel)
oewn-03139103-a	a	dul:Quality	phase4_A2_pertainym_default	tutorial	adj.pert head — relational adjective	of or relating to tutors or tutoring
oewn-07389653-n	n	dul:Event	phase1_propagated	concoction	synset-concoction-noun-2	an occurrence of an unusual mixture
oewn-02178411-v	v	dul:Action	phase3_propagated_from_hypernym	twang	from oewn-02183962-v[propagated_from_hypernym]	cause to sound with a twang
oewn-01443405-n	n	dul:Organism	phase1_propagated	tench	synset-tench-noun-1	freshwater dace-like game fish of Europe and western Asia noted for ability to survive outside water
oewn-01710347-v	v	dul:Action	phase3_propagated_from_hypernym	score	from oewn-01709353-v[propagated_from_hypernym]	write a musical score for
oewn-92459559-n	n	dul:DesignedArtifact	phase5alt_propagated_from_hypernym	royal yard	from oewn-04618033-n	the yard of the royalmast, on which the royal is set, next above the topgallant.
oewn-01000813-s	s	dul:Quality	phase4_A1_satellite_inherits_head	discriminatory	inherited from head oewn-00999867-a	containing or implying a slight or showing prejudice
oewn-02938249-a	a	dul:Quality	phase4_A2_pertainym_default	automotive	adj.pert head — relational adjective	of or relating to motor vehicles
oewn-00554693-v	v	dul:Achievement	phase8_systematic_review_from_phase3_propagated_from_hypernym	syncretize	decision D-000434: Phase 3.5 rules support dul:Achievement; Phase 3.5 rules R1: R1=gloss_starts_'become'	become fused
oewn-08421692-n	n	dul:Organization	phase1_propagated	general staff	synset-general_staff-noun-1	military officers assigned to assist a senior officer in planning military policy
oewn-11458071-n	n	dul:Event	phase1_propagated	coordinate bond	synset-coordinate_bond-noun-1	a covalent bond in which both electrons are provided by one of the atoms
oewn-13536352-n	n	dul:EventType	phase1_propagated	metaphase	synset-metaphase-noun-2	the second stage of mitosis
oewn-08302960-n	n	dul:Organization	phase1_propagated	training school	synset-training_school-noun-1	a school providing practical vocational and technical training
oewn-06652665-n	n	ontopic:Topic	phase1_propagated	body mass index	synset-body_mass_index-noun-1	a measure of someone's weight in relation to height; to calculate one's BMI, multiply one's weight in pounds and divide that by the square of one's height in inches; overweight is a BMI greater than 2
oewn-85444389-n	n	dul:Person	phase1_propagated	albino	synset-albino-noun-1	an animal with congenital albinism
oewn-12972595-n	n	dul:Organism	phase1_propagated	filmy fern	synset-filmy_fern-noun-2	any fern of the genus Hymenophyllum growing in tropical humid regions and having translucent leaves
oewn-03057257-n	n	dul:FunctionalSubstance	phase1_propagated	clozapine	synset-clozapine-noun-1	an antipsychotic drug (trade name Clozaril) used as a sedative and for treatment-resistant schizophrenia; known to have few side effects
oewn-00609913-n	n	dul:Action	phase1_propagated	lighting	synset-lighting-noun-3	the craft of providing artificial light
oewn-00546451-s	s	dul:Quality	phase4_A1_satellite_inherits_head	afraid	inherited from head oewn-00545823-a	feeling worry or concern or insecurity
oewn-09357302-n	n	dul:PhysicalPlace	phase1_topmapping	land	synset-land-noun-4	the solid part of the earth's surface
oewn-92423612-n	n	dul:Quality	phase5alt_propagated_from_hypernym	Australianness	from oewn-04923519-n	The state or quality of being Australian.
oewn-02889840-n	n	dul:DesignedArtifact	phase1_propagated	brace	synset-brace-noun-9	a structural member used to stiffen a framework
oewn-09874114-n	n	dul:Person	phase1_propagated	bimbo	synset-bimbo-noun-1	a young woman indulged by rich and powerful older men
oewn-15121997-n	n	dul:ChemicalObject	phase1_propagated	whale oil	synset-whale_oil-noun-1	a white to brown oil obtained from whale blubber; formerly used as an illuminant
oewn-00686982-v	v	dul:CognitiveEvent	phase9c_cognitive_reseed	count	verb.cognition.yaml + default cognitive perdurant	include as if by counting
oewn-07669591-n	n	dul:FunctionalSubstance	phase1_propagated	chop	synset-chop-noun-2	a small cut of meat including part of a rib
oewn-06226571-n	n	dul:Situation	phase1_topmapping	reaction	synset-reaction-noun-6	extreme conservatism in political or social matters
oewn-04859981-n	n	dul:Quality	phase1_propagated	nefariousness	synset-nefariousness-noun-1	the quality of being wicked
oewn-03053005-a	a	dul:Quality	phase4_A2_pertainym_default	anaesthetic	adj.pert head — relational adjective	relating to or producing insensibility
oewn-04143416-n	n	dul:PhysicalObject	phase1_propagated	sarong	synset-sarong-noun-1	a loose skirt consisting of brightly colored fabric wrapped around the body; worn by both women and men in the South Pacific
oewn-10753007-n	n	dul:Person	phase5alt_propagated_from_hypernym	turner	from oewn-09786620-n	one of two persons who swing ropes for jumpers to skip over in the game of jump rope
oewn-14355744-n	n	dul:Situation	phase1_propagated	stitch	synset-stitch-noun-2	a sharp spasm of pain in the side resulting from running
oewn-00960855-v	v	dul:Action	phase3_tier1_derivation	perseverate	deriv→oewn-01023521-n(marker='the act of')	repeat a response after the cessation of the original stimulus
oewn-01875925-s	s	dul:Quality	phase4_A1_satellite_inherits_head	lay	inherited from head oewn-01875320-a	not of or from a profession
oewn-02714741-a	a	dul:Quality	phase4_A2_pertainym_default	coreferential	adj.pert head — relational adjective	relating to coreference
oewn-07244001-n	n	ontopic:Topic	phase5alt_propagated_from_hypernym	bow	from oewn-07243631-n	an appearance by actors or performers at the end of the concert or play in order to acknowledge the applause of the audience
