doubt_id	oewn_id	pos	primary_lemma	gloss	chosen_class	chosen_reason	alternative_class	alternative_reason	class_distance	doubt_category	method	priority_score	downstream_count	decision	decision_comment
D-000062	oewn-02674167-v	v	behoove	be appropriate or necessary	dul:Action	Phase 3 tier: propagated_from_hypernym	dul:State	Phase 3.5 rules R1: R1=gloss_starts_'be'	1	C1_rule_conflict	phase3_propagated_from_hypernym	4.0	0		
D-000063	oewn-00723022-v	v	believe	be confident about something	dul:Action	Phase 3 tier: propagated_from_hypernym	dul:State	Phase 3.5 rules R1: R1=gloss_starts_'be'	1	C1_rule_conflict	phase3_propagated_from_hypernym	4.0	0		
D-000064	oewn-02295917-v	v	benefit	be beneficial for	dul:Action	Phase 3 tier: propagated_from_hypernym	dul:State	Phase 3.5 rules R1: R1=gloss_starts_'be'	1	C1_rule_conflict	phase3_propagated_from_hypernym	4.0	0		
D-000065	oewn-00923271-v	v	bespeak	be a signal for or a symptom of	dul:Action	Phase 3 tier: propagated_from_hypernym	dul:State	Phase 3.5 rules R1: R1=gloss_starts_'be'	1	C1_rule_conflict	phase3_propagated_from_hypernym	9.2	13		
D-000066	oewn-02088053-v	v	bestir	become active	dul:Action	Phase 3 tier: propagated_from_hypernym	dul:Achievement	Phase 3.5 rules R1: R1=gloss_starts_'become'	1	C1_rule_conflict	phase3_propagated_from_hypernym	4.0	0		
D-000067	oewn-00726626-v	v	beware	be on one's guard; be cautious or wary about; be alert to	dul:Action	Phase 3 tier: propagated_from_hypernym	dul:State	Phase 3.5 rules R1: R1=gloss_starts_'be'	1	C1_rule_conflict	phase3_propagated_from_hypernym	4.0	0		
D-000068	oewn-00362450-v	v	bloat	become bloated or swollen or puff up	dul:Process	Phase 3 tier: propagated_from_hypernym	dul:Achievement	Phase 3.5 rules R1: R1=gloss_starts_'become'	1	C1_rule_conflict	phase3_propagated_from_hypernym	4.0	0		
D-000069	oewn-00289921-v	v	blush	become rosy or reddish	dul:Action	Phase 3 tier: propagated_from_hypernym	dul:Achievement	Phase 3.5 rules R1: R1=gloss_starts_'become'	1	C1_rule_conflict	phase3_propagated_from_hypernym	4.0	0		
D-000070	oewn-00238145-v	v	boil down	be cooked until very little liquid is left	dul:Action	Phase 3 tier: propagated_from_hypernym	dul:State	Phase 3.5 rules R1: R1=gloss_starts_'be'	1	C1_rule_conflict	phase3_propagated_from_hypernym	4.0	0		
D-000071	oewn-00305727-v	v	bottleneck	become narrow, like a bottleneck	dul:Action	Phase 3 tier: propagated_from_hypernym	dul:Achievement	Phase 3.5 rules R1: R1=gloss_starts_'become'	1	C1_rule_conflict	phase3_propagated_from_hypernym	4.0	0		
D-000072	oewn-00938019-v	v	break	be released or become known; of news	dul:Action	Phase 3 tier: propagated_from_hypernym	dul:State	Phase 3.5 rules R1: R1=gloss_starts_'be'	1	C1_rule_conflict	phase3_propagated_from_hypernym	4.4	1		
D-000073	oewn-01231088-v	v	break	become punctured or penetrated	dul:State	Phase 3 tier: propagated_from_hypernym	dul:Achievement	Phase 3.5 rules R1: R1=gloss_starts_'become'	1	C1_rule_conflict	phase3_propagated_from_hypernym	4.0	0		
D-000074	oewn-01436773-v	v	bring	be accompanied by	dul:Action	Phase 3 tier: propagated_from_hypernym	dul:State	Phase 3.5 rules R1: R1=gloss_starts_'be'	1	C1_rule_conflict	phase3_propagated_from_hypernym	4.0	0		
D-000075	oewn-00206174-v	v	brisk	become brisk	dul:Action	Phase 3 tier: propagated_from_hypernym	dul:Achievement	Phase 3.5 rules R1: R1=gloss_starts_'become'	1	C1_rule_conflict	phase3_propagated_from_hypernym	4.0	0		
D-000076	oewn-00318269-v	v	broaden	become broader	dul:Action	Phase 3 tier: propagated_from_hypernym	dul:Achievement	Phase 3.5 rules R1: R1=gloss_starts_'become'	1	C1_rule_conflict	phase3_propagated_from_hypernym	4.0	0		
D-000077	oewn-00113661-v	v	brutalize	become brutal or insensitive and unfeeling	dul:State	Phase 3 tier: propagated_from_hypernym	dul:Achievement	Phase 3.5 rules R1: R1=gloss_starts_'become'	1	C1_rule_conflict	phase3_propagated_from_hypernym	4.0	0		
D-000078	oewn-02652841-v	v	buy	be worth or be capable of buying	dul:Action	Phase 3 tier: propagated_from_hypernym	dul:State	Phase 3.5 rules R1: R1=gloss_starts_'be'	1	C1_rule_conflict	phase3_propagated_from_hypernym	4.0	0		
D-000079	oewn-00360460-v	v	buy it	be killed or die	dul:Event	Phase 3 tier: propagated_from_hypernym	dul:State	Phase 3.5 rules R1: R1=gloss_starts_'be'	1	C1_rule_conflict	phase3_propagated_from_hypernym	4.0	0		
D-000080	oewn-00500069-v	v	calcify	become impregnated with calcium salts	dul:Process	Phase 3 tier: propagated_from_hypernym	dul:Achievement	Phase 3.5 rules R1: R1=gloss_starts_'become'	1	C1_rule_conflict	phase3_propagated_from_hypernym	4.0	0		
D-000081	oewn-00573439-v	v	calcify	become inflexible and unchanging	dul:State	Phase 3 tier: propagated_from_hypernym	dul:Achievement	Phase 3.5 rules R1: R1=gloss_starts_'become'	1	C1_rule_conflict	phase3_propagated_from_hypernym	4.0	0		
D-000082	oewn-01767681-v	v	calm	become quiet or calm, especially after a state of agitation	dul:State	Phase 3 tier: propagated_from_hypernym	dul:Achievement	Phase 3.5 rules R1: R1=gloss_starts_'become'	1	C1_rule_conflict	phase3_propagated_from_hypernym	4.0	0		
D-000083	oewn-00089827-v	v	canker	become infected with a canker	dul:Action	Phase 3 tier: propagated_from_hypernym	dul:Achievement	Phase 3.5 rules R1: R1=gloss_starts_'become'	1	C1_rule_conflict	phase3_propagated_from_hypernym	4.0	0		
D-000084	oewn-02445351-v	v	captain	be the captain of a sports team	dul:Action	Phase 3 tier: propagated_from_hypernym	dul:State	Phase 3.5 rules R1: R1=gloss_starts_'be'	1	C1_rule_conflict	phase3_propagated_from_hypernym	4.0	0		
D-000085	oewn-01780135-v	v	care for	be fond of; be attached to	dul:Action	Phase 3 tier: propagated_from_hypernym	dul:State	Phase 3.5 rules R1: R1=gloss_starts_'be'	1	C1_rule_conflict	phase3_propagated_from_hypernym	4.4	1		
D-000086	oewn-00500503-v	v	carnify	become muscular or fleshy	dul:State	Phase 3 tier: propagated_from_hypernym	dul:Achievement	Phase 3.5 rules R1: R1=gloss_starts_'become'	1	C1_rule_conflict	phase3_propagated_from_hypernym	4.0	0		
D-000087	oewn-01205694-v	v	carry	be able to feed	dul:Action	Phase 3 tier: propagated_from_hypernym	dul:State	Phase 3.5 rules R1: R1=gloss_starts_'be'	1	C1_rule_conflict	phase3_propagated_from_hypernym	4.0	0		
D-000088	oewn-00527309-v	v	caseate	become cheeselike	dul:State	Phase 3 tier: propagated_from_hypernym	dul:Achievement	Phase 3.5 rules R1: R1=gloss_starts_'become'	1	C1_rule_conflict	phase3_propagated_from_hypernym	4.0	0		
D-000089	oewn-00727971-v	v	catch	become aware of	dul:State	Phase 3 tier: propagated_from_hypernym	dul:Achievement	Phase 3.5 rules R1: R1=gloss_starts_'become'	1	C1_rule_conflict	phase3_propagated_from_hypernym	4.0	0		
D-000090	oewn-01084847-v	v	catch	be the catcher	dul:Action	Phase 3 tier: propagated_from_hypernym	dul:State	Phase 3.5 rules R1: R1=gloss_starts_'be'	1	C1_rule_conflict	phase3_propagated_from_hypernym	4.0	0		
D-000091	oewn-00544367-v	v	catch on	become popular	dul:State	Phase 3 tier: propagated_from_hypernym	dul:Achievement	Phase 3.5 rules R1: R1=gloss_starts_'become'	1	C1_rule_conflict	phase3_propagated_from_hypernym	4.0	0		
D-000092	oewn-02124124-v	v	chafe	become or make sore by or as if by rubbing	dul:Action	Phase 3 tier: propagated_from_hypernym	dul:Achievement	Phase 3.5 rules R1: R1=gloss_starts_'become'	1	C1_rule_conflict	phase3_propagated_from_hypernym	4.0	0		
D-000093	oewn-02226741-v	v	change hands	be transferred to another owner	dul:Action	Phase 3 tier: propagated_from_hypernym	dul:State	Phase 3.5 rules R1: R1=gloss_starts_'be'	1	C1_rule_conflict	phase3_propagated_from_hypernym	5.6	4		
D-000094	oewn-02703792-v	v	characterize	be characteristic of	dul:Action	Phase 3 tier: propagated_from_hypernym	dul:State	Phase 3.5 rules R1: R1=gloss_starts_'be'	1	C1_rule_conflict	phase3_propagated_from_hypernym	4.8	2		
D-000095	oewn-02582588-v	v	cheat on	be sexually unfaithful to one's partner in marriage	dul:Action	Phase 3 tier: propagated_from_hypernym	dul:State	Phase 3.5 rules R1: R1=gloss_starts_'be'	1	C1_rule_conflict	phase3_propagated_from_hypernym	4.8	2		
D-000096	oewn-00860817-v	v	cheer	become cheerful	dul:Action	Phase 3 tier: propagated_from_hypernym	dul:Achievement	Phase 3.5 rules R1: R1=gloss_starts_'become'	1	C1_rule_conflict	phase3_propagated_from_hypernym	5.2	3		
D-000097	oewn-01573390-v	v	choke	be too tight; rub or press	dul:Action	Phase 3 tier: propagated_from_hypernym	dul:State	Phase 3.5 rules R1: R1=gloss_starts_'be'	1	C1_rule_conflict	phase3_propagated_from_hypernym	4.0	0		
D-000098	oewn-02673757-v	v	clash	be incompatible; be or come into conflict	dul:Action	Phase 3 tier: propagated_from_hypernym	dul:State	Phase 3.5 rules R1: R1=gloss_starts_'be'	1	C1_rule_conflict	phase3_propagated_from_hypernym	4.0	0		
D-000099	oewn-00593150-v	v	click	become clear or enter one's consciousness or emotions	dul:Process	Phase 3 tier: propagated_from_hypernym	dul:Achievement	Phase 3.5 rules R1: R1=gloss_starts_'become'	1	C1_rule_conflict	phase3_propagated_from_hypernym	4.0	0		
D-000100	oewn-01481233-v	v	clog	become or cause to become obstructed	dul:Action	Phase 3 tier: propagated_from_hypernym	dul:Achievement	Phase 3.5 rules R1: R1=gloss_starts_'become'	1	C1_rule_conflict	phase3_propagated_from_hypernym	5.2	3		
D-000101	oewn-02760151-v	v	close	be priced or listed when trading stops	dul:Action	Phase 3 tier: propagated_from_hypernym	dul:State	Phase 3.5 rules R1: R1=gloss_starts_'be'	1	C1_rule_conflict	phase3_propagated_from_hypernym	4.0	0		
D-000102	oewn-00362041-v	v	cloud over	become overcast	dul:State	Phase 3 tier: propagated_from_hypernym	dul:Achievement	Phase 3.5 rules R1: R1=gloss_starts_'become'	1	C1_rule_conflict	phase3_propagated_from_hypernym	4.0	0		
D-000103	oewn-01708490-v	v	co-author	be a co-author on (a book, a paper)	dul:Action	Phase 3 tier: propagated_from_hypernym	dul:State	Phase 3.5 rules R1: R1=gloss_starts_'be'	1	C1_rule_conflict	phase3_propagated_from_hypernym	4.0	0		
D-000104	oewn-01725292-v	v	co-star	be the co-star in a performance	dul:Action	Phase 3 tier: propagated_from_hypernym	dul:State	Phase 3.5 rules R1: R1=gloss_starts_'be'	1	C1_rule_conflict	phase3_propagated_from_hypernym	4.0	0		
D-000105	oewn-00499917-v	v	coke	become coke	dul:State	Phase 3 tier: propagated_from_hypernym	dul:Achievement	Phase 3.5 rules R1: R1=gloss_starts_'become'	1	C1_rule_conflict	phase3_propagated_from_hypernym	4.0	0		
D-000106	oewn-02010723-v	v	come	be received	dul:Action	Phase 3 tier: propagated_from_hypernym	dul:State	Phase 3.5 rules R1: R1=gloss_starts_'be'	1	C1_rule_conflict	phase3_propagated_from_hypernym	4.0	0		
