oewn_id	dulplus_class	tier	provenance	primary_lemma	all_lemmas	gloss	hypernyms
oewn-00014735-v	dul:State	tier1_derivation	deriv→oewn-05688958-n(marker='the state of')	sleep	sleep|kip|slumber|log Z's|catch some Z's	be asleep	oewn-00014398-v
oewn-00015156-v	dul:State	propagated_from_hypernym	from oewn-00014735-v[tier1_derivation]	bundle	bundle|practice bundling	sleep fully clothed in the same bed with one's betrothed	oewn-00014735-v
oewn-00015296-v	dul:State	propagated_from_hypernym	from oewn-00015491-v[propagated_from_hypernym]	snooze	snooze|drowse|doze	sleep lightly or for a short period of time	oewn-00015491-v
oewn-00015491-v	dul:State	propagated_from_hypernym	from oewn-00014735-v[tier1_derivation]	nap	nap|catnap|catch a wink	take a siesta	oewn-00014735-v
oewn-00015706-v	dul:State	propagated_from_hypernym	from oewn-00014735-v[tier1_derivation]	oversleep	oversleep	sleep longer than intended	oewn-00014735-v
oewn-00015799-v	dul:State	propagated_from_hypernym	from oewn-00014735-v[tier1_derivation]	sleep late	sleep late|sleep in	sleep later than usual or customary	oewn-00014735-v
oewn-00015939-v	dul:State	propagated_from_hypernym	from oewn-00014735-v[tier1_derivation]	hibernate	hibernate|hole up	sleep during winter	oewn-00014735-v
oewn-00016176-v	dul:State	propagated_from_hypernym	from oewn-00014735-v[tier1_derivation]	estivate	estivate|aestivate	sleep during summer	oewn-00014735-v
oewn-00016373-v	dul:Action	propagated_from_hypernym	from oewn-00014398-v[tier2_indirect]	drowse	drowse	be on the verge of sleeping	oewn-00014398-v
oewn-00016566-v	dul:Action	propagated_from_hypernym	from oewn-00016373-v[propagated_from_hypernym]	nod	nod	be almost asleep	oewn-00016373-v
oewn-00016695-v	dul:Action	tier1_derivation	deriv→oewn-00337256-n(marker='the act of')	nod	nod	let the head fall forward through drowsiness	oewn-01835473-v
oewn-00016848-v	dul:Action	propagated_from_hypernym	from oewn-00017275-v[tier2_indirect]	zonk out	zonk out	fall asleep fast, as when one is extremely tired	oewn-00017275-v
oewn-00017024-v	dul:Action	tier1_derivation	deriv→oewn-00837637-n(marker='the act of')|deriv→oewn-00837637-n(marker='the act of')	snore	snore|saw wood|saw logs	breathe noisily during one's sleep	oewn-00001740-v
oewn-00017275-v	dul:Action	tier2_indirect	peer=oewn-00018519-v(dul:Action)	fall asleep	fall asleep|dope off|flake out|drift off|nod off|drop off|doze off|drowse off	change from a waking to a sleeping state	oewn-00122978-v
oewn-00017524-v	dul:Action	propagated_from_hypernym	from oewn-00017858-v[tier2_indirect]	bed down	bed down|bunk down	go to bed	oewn-00017858-v
oewn-00017667-v	dul:Action	propagated_from_hypernym	from oewn-00017524-v[propagated_from_hypernym]	doss	doss|doss down|crash	sleep in a convenient place	oewn-00017524-v
oewn-00017858-v	dul:Action	tier2_indirect	peer=oewn-00018151-v(dul:Action)	go to bed	go to bed|turn in|bed|crawl in|kip down|hit the hay|hit the sack|sack out|go to sleep|retire	prepare for sleep	oewn-01839438-v
oewn-00018151-v	dul:Action	tier1_derivation	deriv→oewn-00325210-n(marker='the act of')	get up	get up|turn out|arise|uprise|rise	get up and out of bed	oewn-02019450-v
oewn-00018398-v	dul:Event	propagated_from_hypernym	from oewn-01978076-v[tier1_derivation]	get up	get up	cause to rise	oewn-01978076-v
oewn-00018519-v	dul:Action	tier1_derivation	deriv→oewn-01262453-n(marker='the act of')|deriv→oewn-01262453-n(marker='the act of')	wake up	wake up|awake|arouse|awaken|wake|come alive|waken	stop sleeping	oewn-00145958-v
oewn-00018806-v	dul:Action	tier1_derivation	deriv→oewn-01262453-n(marker='the act of')	awaken	awaken|wake|waken|rouse|wake up|arouse	cause to become awake or conscious	oewn-00126072-v
oewn-00019175-v	dul:Action	propagated_from_hypernym	from oewn-00018806-v[tier1_derivation]	reawaken	reawaken	awaken once again	oewn-00018806-v
oewn-00019266-v	dul:Action	tier2_indirect	peer=oewn-00018806-v(dul:Action)	cause to sleep	cause to sleep	make fall asleep	oewn-00126072-v
oewn-00019441-v	dul:Action	propagated_from_hypernym	from oewn-00126072-v[tier1_derivation]	affect	affect	act physically on; have an effect upon	oewn-00126072-v
oewn-00019785-v	dul:Action	propagated_from_hypernym	from oewn-00019441-v[propagated_from_hypernym]	attack	attack	begin to injure	oewn-00019441-v
oewn-00019975-v	dul:Action	propagated_from_hypernym	from oewn-00019441-v[propagated_from_hypernym]	ulcerate	ulcerate	affect with an ulcer	oewn-00019441-v
oewn-00020126-v	dul:State	tier1_derivation	deriv→oewn-05686141-n(marker='the state of')	wake	wake	be awake, be alert, be there	oewn-00122978-v
oewn-00020252-v	dul:State	propagated_from_hypernym	from oewn-00020126-v[tier1_derivation]	stay up	stay up|sit up	not go to bed	oewn-00020126-v
oewn-00020442-v	dul:Action	propagated_from_hypernym	from oewn-02455370-v[tier1_derivation]	keep up	keep up	prevent from going to bed at night	oewn-02455370-v
oewn-00020664-v	dul:Action	propagated_from_hypernym	from oewn-00022309-v[tier2_indirect]	hypnotize	hypnotize|hypnotise|mesmerize|mesmerise	induce hypnosis in	oewn-00022309-v
oewn-00020919-v	dul:Action	propagated_from_hypernym	from oewn-00020664-v[propagated_from_hypernym]	entrance	entrance|spellbind	put into a trance	oewn-00020664-v
oewn-00021058-v	dul:Action	propagated_from_hypernym	from oewn-00084491-v[propagated_from_hypernym]	anesthetize	anesthetize|anaesthetize|anesthetise|anaesthetise|put under|put out	administer an anesthetic drug to	oewn-00084491-v
oewn-00021547-v	dul:Action	propagated_from_hypernym	from oewn-00021058-v[propagated_from_hypernym]	etherize	etherize|etherise	anesthetize with ether	oewn-00021058-v
oewn-00021672-v	dul:Action	propagated_from_hypernym	from oewn-00021058-v[propagated_from_hypernym]	cocainize	cocainize|cocainise	anesthetize with cocaine	oewn-00021058-v
oewn-00021819-v	dul:Action	propagated_from_hypernym	from oewn-00021058-v[propagated_from_hypernym]	chloroform	chloroform	anesthetize with chloroform	oewn-00021058-v
oewn-00021990-v	dul:Action	propagated_from_hypernym	from oewn-00021058-v[propagated_from_hypernym]	freeze	freeze	anesthetize by cold	oewn-00021058-v
oewn-00022092-v	dul:Action	propagated_from_hypernym	from oewn-00018806-v[tier1_derivation]	bring back	bring back|bring round|bring around|suggest|evoke|paint a picture|bring to mind	call to mind	oewn-00018806-v
oewn-00022309-v	dul:Action	tier2_indirect	peer=oewn-00022679-v(dul:Action)	sedate	sedate|calm|tranquilize|tranquillize|tranquillise	cause to be calm or quiet as by administering a sedative to	oewn-00019441-v
oewn-00022679-v	dul:Action	tier1_derivation	deriv→oewn-01048908-n(marker='the activity of')	stimulate	stimulate|arouse|brace|energize|energise|perk up	cause to be alert and energetic	oewn-00019441-v
oewn-00023237-v	dul:Action	tier2_indirect	peer=oewn-00022679-v(dul:Action)	de-energize	de-energize|de-energise	deprive of energy	oewn-00225327-v
oewn-00023373-v	dul:Action	propagated_from_hypernym	from oewn-00022679-v[tier1_derivation]	cathect	cathect	inject with libidinal energy	oewn-00022679-v
oewn-00023466-v	dul:Process	propagated_from_hypernym	from oewn-00092442-v[tier2_indirect]	perk up	perk up|perk|percolate|pick up|gain vigor	gain or regain energy	oewn-00092442-v
oewn-00023639-v	dul:State	propagated_from_hypernym	from oewn-00023861-v[propagated_from_hypernym]	faint	faint|conk|swoon|pass out	pass out from weakness, physical or emotional distress due to a loss of blood supply to the brain	oewn-00023861-v
oewn-00023861-v	dul:State	propagated_from_hypernym	from oewn-00145958-v[propagated_from_hypernym]	zonk out	zonk out|pass out|black out	lose consciousness due to a sudden trauma, for example	oewn-00145958-v
oewn-00024040-v	dul:State	propagated_from_hypernym	from oewn-00145958-v[propagated_from_hypernym]	come to	come to|revive|resuscitate	return to consciousness	oewn-00145958-v
oewn-00024272-v	dul:Action	tier1_derivation	deriv→oewn-01050390-n(marker='the activity of')	animate	animate|recreate|reanimate|revive|renovate|repair|quicken|vivify|revivify	give new life or energy to	oewn-00022679-v
oewn-00024642-v	dul:Action	propagated_from_hypernym	from oewn-00126072-v[tier1_derivation]	refresh	refresh|freshen|refreshen	make fresh again	oewn-00126072-v
oewn-00024807-v	dul:State	propagated_from_hypernym	from oewn-00109468-v[propagated_from_hypernym]	freshen	freshen|refresh|refreshen|freshen up	become or make oneself fresh again	oewn-00109468-v
oewn-00025027-v	dul:Action	tier1_derivation	deriv→oewn-00256081-n(marker='the act of')	wash up	wash up|lave	wash one's face and hands	oewn-00024807-v
oewn-00025196-v	dul:Action	propagated_from_hypernym	from oewn-00019441-v[propagated_from_hypernym]	tense	tense|strain|tense up	cause to be tense and uneasy or nervous or anxious	oewn-00019441-v
oewn-00025503-v	dul:Action	propagated_from_hypernym	from oewn-01225209-v[tier1_derivation]	crick	crick	twist (a body part) into a strained position	oewn-01225209-v
oewn-00025647-v	dul:Action	propagated_from_hypernym	from oewn-00019441-v[propagated_from_hypernym]	relax	relax|unstrain|unlax|loosen up|unwind|make relaxed	cause to feel relaxed	oewn-00019441-v
oewn-00025978-v	dul:Action	propagated_from_hypernym	from oewn-00025647-v[propagated_from_hypernym]	unbend	unbend	release from mental strain, tension, or formality	oewn-00025647-v
oewn-00026146-v	dul:State	propagated_from_hypernym	from oewn-00145958-v[propagated_from_hypernym]	tense	tense|tense up	become tense, nervous, or uneasy	oewn-00145958-v
oewn-00026378-v	dul:State	propagated_from_hypernym	from oewn-00145958-v[propagated_from_hypernym]	relax	relax|loosen up|unbend|unwind|decompress|slow down	become less tense, rest, or take one's ease	oewn-00145958-v
oewn-00026727-v	dul:State	propagated_from_hypernym	from oewn-00026378-v[propagated_from_hypernym]	veg out	veg out|vegetate	engage in passive relaxation	oewn-00026378-v
oewn-00026934-v	dul:State	propagated_from_hypernym	from oewn-00026378-v[propagated_from_hypernym]	sit back	sit back|take it easy	settle into a comfortable sitting position	oewn-00026378-v
oewn-00027057-v	dul:Action	propagated_from_hypernym	from oewn-00099475-v[tier1_derivation]	limber up	limber up|warm up|loosen up	make one's body limber or suppler by stretching, as if to prepare for strenuous physical activity	oewn-00099475-v
oewn-00027261-v	dul:Action	propagated_from_hypernym	from oewn-00025196-v[propagated_from_hypernym]	stretch	stretch|extend	extend one's limbs or muscles, or the entire body	oewn-00025196-v
oewn-00027563-v	dul:Action	propagated_from_hypernym	from oewn-00027261-v[propagated_from_hypernym]	spread-eagle	spread-eagle	stretch out completely	oewn-00027261-v
oewn-00027698-v	dul:Action	propagated_from_hypernym	from oewn-00994073-v[propagated_from_hypernym]	exsert	exsert|stretch out|put out|extend|hold out|stretch forth	thrust or extend out	oewn-00994073-v
oewn-00028003-v	dul:Action	propagated_from_hypernym	from oewn-00027698-v[propagated_from_hypernym]	hyperextend	hyperextend	extend a joint beyond its normal range	oewn-00027698-v
oewn-00028160-v	dul:Action	propagated_from_hypernym	from oewn-00027261-v[propagated_from_hypernym]	crane	crane|stretch out	stretch (the neck) so as to see better	oewn-00027261-v
oewn-00028355-v	dul:Action	tier1_derivation	deriv→oewn-01050390-n(marker='the activity of')	invigorate	invigorate|reinvigorate	impart vigor, strength, or vitality to	oewn-00022679-v
oewn-00028558-v	dul:Action	propagated_from_hypernym	from oewn-00034281-v[propagated_from_hypernym]	smile	smile	change one's facial expression by spreading the lips, often to signal pleasure	oewn-00034281-v
oewn-00028869-v	dul:Action	propagated_from_hypernym	from oewn-00028558-v[propagated_from_hypernym]	dimple	dimple	produce dimples while smiling	oewn-00028558-v
oewn-00029018-v	dul:Action	propagated_from_hypernym	from oewn-00028558-v[propagated_from_hypernym]	grin	grin	to draw back the lips and reveal the teeth, in a smile, grimace, or snarl	oewn-00028558-v
oewn-00029207-v	dul:Action	propagated_from_hypernym	from oewn-00028558-v[propagated_from_hypernym]	beam	beam	smile radiantly; express joy through one's facial expression	oewn-00028558-v
oewn-00029329-v	dul:Action	propagated_from_hypernym	from oewn-00028558-v[propagated_from_hypernym]	smirk	smirk|simper	smile affectedly or derisively	oewn-00028558-v
oewn-00029511-v	dul:Action	propagated_from_hypernym	from oewn-00029329-v[propagated_from_hypernym]	fleer	fleer	to smirk contemptuously	oewn-00029329-v
oewn-00029623-v	dul:Process	propagated_from_hypernym	from oewn-00031813-v[tier2_indirect]	bray	bray	laugh loudly and harshly	oewn-00031813-v
oewn-00029735-v	dul:Process	propagated_from_hypernym	from oewn-00031813-v[tier2_indirect]	bellylaugh	bellylaugh	laugh a deep, hearty laugh	oewn-00031813-v
oewn-00029829-v	dul:Process	propagated_from_hypernym	from oewn-00031813-v[tier2_indirect]	roar	roar|howl	laugh unrestrainedly and heartily	oewn-00031813-v
oewn-00030003-v	dul:Process	propagated_from_hypernym	from oewn-00031813-v[tier2_indirect]	snicker	snicker|snigger	laugh quietly	oewn-00031813-v
oewn-00030135-v	dul:Process	propagated_from_hypernym	from oewn-00031813-v[tier2_indirect]	giggle	giggle|titter	laugh nervously	oewn-00031813-v
oewn-00030359-v	dul:Process	propagated_from_hypernym	from oewn-00031813-v[tier2_indirect]	break up	break up|crack up	laugh unrestrainedly	oewn-00031813-v
oewn-00030456-v	dul:Action	propagated_from_hypernym	from oewn-00225327-v[tier1_derivation]	break	break	weaken or destroy in spirit or body	oewn-00225327-v
oewn-00030640-v	dul:State	propagated_from_hypernym	from oewn-00065410-v[propagated_from_hypernym]	break down	break down|collapse	collapse due to fatigue, an illness, or a sudden attack	oewn-00065410-v
oewn-00030846-v	dul:State	propagated_from_hypernym	from oewn-00030640-v[propagated_from_hypernym]	drop like flies	drop like flies	rapidly collapse, die, or drop out in large numbers	oewn-00030640-v
oewn-00031061-v	dul:State	propagated_from_hypernym	from oewn-00065410-v[propagated_from_hypernym]	cramp	cramp	suffer from sudden painful contraction of a muscle	oewn-00065410-v
oewn-00031174-v	dul:Action	propagated_from_hypernym	from oewn-00019441-v[propagated_from_hypernym]	cramp	cramp	affect with or as if with a cramp	oewn-00019441-v
oewn-00031270-v	dul:State	propagated_from_hypernym	from oewn-00030640-v[propagated_from_hypernym]	fall over	fall over|go over	fall forward and down	oewn-00030640-v
oewn-00031411-v	dul:Process	propagated_from_hypernym	from oewn-00031813-v[tier2_indirect]	cackle	cackle	emit a loud, unpleasant kind of laughing	oewn-00031813-v
oewn-00031533-v	dul:Process	propagated_from_hypernym	from oewn-00031813-v[tier2_indirect]	guffaw	guffaw|laugh loudly	laugh boisterously	oewn-00031813-v
oewn-00031656-v	dul:Process	propagated_from_hypernym	from oewn-00031813-v[tier2_indirect]	chuckle	chuckle|chortle|laugh softly	laugh quietly or with restraint	oewn-00031813-v
oewn-00031813-v	dul:Process	tier2_indirect	peer=oewn-00065962-v(dul:Process)	laugh	laugh|express joy|express mirth	produce laughter	oewn-01806476-v
oewn-00032290-v	dul:Process	propagated_from_hypernym	from oewn-00031813-v[tier2_indirect]	convulse	convulse	be overcome with laughter	oewn-00031813-v
oewn-00032407-v	dul:Process	propagated_from_hypernym	from oewn-00031813-v[tier2_indirect]	cachinnate	cachinnate	laugh loudly and in an unrestrained way	oewn-00031813-v
oewn-00032532-v	dul:Action	propagated_from_hypernym	from oewn-00028558-v[propagated_from_hypernym]	sneer	sneer	smile contemptuously	oewn-00028558-v
oewn-00032771-v	dul:Action	propagated_from_hypernym	from oewn-00945869-v[propagated_from_hypernym]	sneer	sneer	express through a scornful smile	oewn-00945869-v
oewn-00032974-v	dul:Action	propagated_from_hypernym	from oewn-00034281-v[propagated_from_hypernym]	frown	frown|glower|lour|lower	look angry or sullen, wrinkle one's forehead, as if to signal disapproval	oewn-00034281-v
oewn-00033196-v	dul:Action	propagated_from_hypernym	from oewn-00033399-v[propagated_from_hypernym]	glower	glower|glare	look at with a fixed gaze	oewn-00033399-v
oewn-00033399-v	dul:Action	propagated_from_hypernym	from oewn-02134989-v[tier1_derivation]	stare	stare	fixate one's eyes	oewn-02134989-v
oewn-00033592-v	dul:Event	tier3_default_event	gloss	look	look	to physically appear a certain way to another individual or group	oewn-02609706-v
oewn-00033845-v	dul:Action	propagated_from_hypernym	from oewn-00032974-v[propagated_from_hypernym]	scowl	scowl	frown with displeasure	oewn-00032974-v
oewn-00033948-v	dul:Action	propagated_from_hypernym	from oewn-00994073-v[propagated_from_hypernym]	shrug	shrug	raise one's shoulders to indicate indifference or resignation	oewn-00994073-v
oewn-00034108-v	dul:Action	propagated_from_hypernym	from oewn-00994073-v[propagated_from_hypernym]	clap	clap|spat	clap one's hands together	oewn-00994073-v
oewn-00034281-v	dul:Action	propagated_from_hypernym	from oewn-00742582-v[tier1_derivation]	grimace	grimace|make a face|pull a face	contort the face to indicate a certain mental or emotional state	oewn-00742582-v
oewn-00034627-v	dul:Action	propagated_from_hypernym	from oewn-00034281-v[propagated_from_hypernym]	screw up	screw up	twist into a strained configuration	oewn-00034281-v
oewn-00034751-v	dul:Action	propagated_from_hypernym	from oewn-00034281-v[propagated_from_hypernym]	pout	pout|mop|mow	make a sad face and thrust out one's lower lip	oewn-00034281-v
oewn-00034941-v	dul:Action	propagated_from_hypernym	from oewn-00104622-v[tier1_derivation]	blow	blow	free of obstruction by blowing air through	oewn-00104622-v
