synset_type	oewn_id	pos	primary_lemma	all_lemmas	proposed_class	rule	rationale	gloss	attribute	similar	domain_topic	user_decision
adjective_pertainym	oewn-03018862-a	a	congestive	congestive	dul:Quality	A2_pertainym_default	adj.pert default	relating to or affected by an abnormal collection of blood or other fluid				
adjective_pertainym	oewn-02815862-a	a	Sufi	Sufi	dul:Quality	A2_pertainym_relational	gloss opens 'of or relating to' — relational adjective	of or relating to the Sufis or to Sufism				
adjective_pertainym	oewn-02978201-a	a	Venezuelan	Venezuelan	dul:Quality	A2_pertainym_relational	gloss opens 'of or relating to' — relational adjective	of or relating to or characteristic of Venezuela or its people				
adjective_pertainym	oewn-02841230-a	a	longitudinal	longitudinal	dul:Quality	A2_pertainym_relational	gloss opens 'of or relating to' — relational adjective	of or relating to lines of longitude				
adjective_participial	oewn-03162908-a	a	mounded over	mounded over	dul:Quality	A3_participial_default	participial adjective (adj.ppl) — deverbal quality	having a mound formed over it				
adjective_participial	oewn-03162135-a	a	hypophysectomized	hypophysectomized|hypophysectomised	dul:Quality	A3_participial_default	participial adjective (adj.ppl) — deverbal quality	having the pituitary gland removed by surgery				
adverb	oewn-00445539-r	r	reversely	reversely	dul:Region	R1_adv_manner	manner adverb; gloss opens 'in an opposite way; so as to b…'	in an opposite way; so as to be reversed				
adverb	oewn-00188740-r	r	correspondingly	correspondingly	dul:Region	R1_adv_manner	manner adverb; gloss opens 'in a corresponding manner…'	in a corresponding manner				
adverb	oewn-00471219-r	r	strictly	strictly|stringently	dul:Region	R1_adv_manner	manner adverb; gloss opens 'in a stringent manner…'	in a stringent manner				
adverb	oewn-00113022-r	r	internationally	internationally|globally	dul:Region	R7_adv_default	adverb default (quality region)	worldwide				
adverb	oewn-00210099-r	r	helplessly	helplessly|impotently	dul:Region	R1_adv_manner	manner adverb; gloss opens 'in a helpless manner…'	in a helpless manner				
adverb	oewn-00363362-r	r	idiotically	idiotically	dul:Region	R1_adv_manner	manner adverb; gloss opens 'in an idiotic manner…'	in an idiotic manner				
adverb	oewn-00339405-r	r	fastidiously	fastidiously	dul:Region	R1_adv_manner	manner adverb; gloss opens 'in a fastidious manner…'	in a fastidious manner				
adverb	oewn-00290403-r	r	brotherly	brotherly	dul:Region	R7_adv_default	adverb default (quality region)	(archaic as adverb) in a manner characteristic of a brother				
adverb	oewn-00166891-r	r	in line	in line	dul:Region	R7_adv_default	adverb default (quality region)	one behind another in a line or queue				
adverb	oewn-00264204-r	r	at a loss	at a loss	dul:SpaceRegion	R3_adv_spatial	spatial marker in gloss	below cost				
adverb	oewn-00058164-r	r	through	through|through and through	dul:Region	R5_adv_degree	degree/intensity marker in gloss	throughout the entire extent				
adverb	oewn-00484504-r	r	twofold	twofold|two times	dul:Region	R7_adv_default	adverb default (quality region)	by a factor of two				
adverb	oewn-00519523-r	r	rabidly	rabidly	dul:Region	R7_adv_default	adverb default (quality region)	in the manner of an animal with rabies				
adverb	oewn-00437439-r	r	pungently	pungently	dul:Region	R7_adv_default	adverb default (quality region)	with a pungent taste or smell				
adverb	oewn-00502645-r	r	profligately	profligately|dissolutely	dul:Region	R1_adv_manner	manner adverb; gloss opens 'in a dissolute way…'	in a dissolute way				
adverb	oewn-00286085-r	r	churlishly	churlishly|surlily	dul:Region	R1_adv_manner	manner adverb; gloss opens 'in a churlish manner…'	in a churlish manner				
adverb	oewn-00160135-r	r	at stake	at stake	dul:Region	R7_adv_default	adverb default (quality region)	in question or at issue				
adverb	oewn-00112501-r	r	least	least|to the lowest degree	dul:Region	R5_adv_degree	degree/intensity marker in gloss	used to form the superlative, smallest in size or degree				
adverb	oewn-00370083-r	r	precisely	precisely|incisively|exactly	dul:Region	R1_adv_manner	manner adverb; gloss opens 'in a precise manner…'	in a precise manner				
adverb	oewn-00111881-r	r	macroscopically	macroscopically	dul:Region	R7_adv_default	adverb default (quality region)	without using a microscope				
adverb	oewn-00174307-r	r	aborad	aborad	dul:Region	R7_adv_default	adverb default (quality region)	away from the mouth or oral region				
adverb	oewn-00287580-r	r	coaxingly	coaxingly|cajolingly	dul:Region	R1_adv_manner	manner adverb; gloss opens 'in a cajoling manner…'	in a cajoling manner				
adverb	oewn-00172276-r	r	on the spot	on the spot	dul:SpaceRegion	R3_adv_spatial	spatial marker in gloss	at the place in question; there				
adverb	oewn-00061741-r	r	subsequently	subsequently|later|afterwards|afterward|after|later on	dul:Region	R7_adv_default	adverb default (quality region)	happening at a time subsequent to a reference time				
adverb	oewn-00073433-r	r	about	about|almost|most|nearly|near|nigh|virtually|well-nigh	dul:Region	R5_adv_degree	degree/intensity marker in gloss	(of actions or states) slightly short of or not quite accomplished; all but				
adverb	oewn-00439689-r	r	questionably	questionably|dubiously	dul:Region	R7_adv_default	adverb default (quality region)	in a questionable and dubious manner				
adverb	oewn-00230871-r	r	noisily	noisily	dul:Region	R7_adv_default	adverb default (quality region)	with much noise or loud and unpleasant sound				
adverb	oewn-00494018-r	r	vacuously	vacuously	dul:Region	R1_adv_manner	manner adverb; gloss opens 'in a vacuous manner…'	in a vacuous manner				
adverb	oewn-00259491-r	r	a la carte	a la carte	dul:Region	R7_adv_default	adverb default (quality region)	by ordering items listed individually on a menu				
adverb	oewn-00404188-r	r	mincingly	mincingly	dul:Region	R1_adv_manner	manner adverb; gloss opens 'in a mincing manner…'	in a mincing manner				
adverb	oewn-00278759-r	r	balefully	balefully	dul:Region	R1_adv_manner	manner adverb; gloss opens 'in a baleful manner…'	in a baleful manner				
adverb	oewn-00282023-r	r	bumptiously	bumptiously	dul:Region	R1_adv_manner	manner adverb; gloss opens 'in a bumptious manner…'	in a bumptious manner				
adverb	oewn-00144584-r	r	rurally	rurally	dul:Region	R1_adv_manner	manner adverb; gloss opens 'in a rural manner…'	in a rural manner				
adverb	oewn-00296016-r	r	consequentially	consequentially	dul:Region	R7_adv_default	adverb default (quality region)	having the result that				
adverb	oewn-00142519-r	r	feverishly	feverishly	dul:Region	R1_adv_manner	manner adverb; gloss opens 'in a feverish manner…'	in a feverish manner				
adverb	oewn-00075922-r	r	aback	aback	dul:Region	R7_adv_default	adverb default (quality region)	by surprise				
adverb	oewn-00376847-r	r	ingratiatingly	ingratiatingly	dul:Region	R7_adv_default	adverb default (quality region)	in a flattering and ingratiating manner				
adverb	oewn-00268077-r	r	unassertively	unassertively	dul:Region	R1_adv_manner	manner adverb; gloss opens 'in an unassertive manner…'	in an unassertive manner				
adverb	oewn-00252039-r	r	per annum	per annum|p.a.|per year|each year|annually	dul:TimeInterval	R2_adv_temporal	temporal marker in gloss	by the year; every year (usually with reference to a sum of money paid or received)				
adverb	oewn-00329149-r	r	inelegantly	inelegantly	dul:Region	R7_adv_default	adverb default (quality region)	without elegance				
adverb	oewn-00513738-r	r	residentially	residentially	dul:Region	R7_adv_default	adverb default (quality region)	used as a residence				
adverb	oewn-00255193-r	r	cloyingly	cloyingly	dul:Region	R1_adv_manner	manner adverb; gloss opens 'in an overly sweet manner…'	in an overly sweet manner				
adverb	oewn-00141202-r	r	onshore	onshore	dul:Region	R7_adv_default	adverb default (quality region)	on or toward the land				
adverb	oewn-00516033-r	r	eccentrically	eccentrically	dul:Region	R7_adv_default	adverb default (quality region)	in an eccentric or bizarre manner				
adverb	oewn-00155346-r	r	safely	safely	dul:Region	R7_adv_default	adverb default (quality region)	with safety; in a safe manner				
adverb	oewn-00223275-r	r	broadly	broadly	dul:Region	R1_adv_manner	manner adverb; gloss opens 'in a wide fashion…'	in a wide fashion				
adverb	oewn-00431998-r	r	prematurely	prematurely	dul:TimeInterval	R2_adv_temporal	temporal marker in gloss	(of childbirth) before the end of the normal period of gestation				
adverb	oewn-00137821-r	r	materially	materially	dul:Region	R5_adv_degree	degree/intensity marker in gloss	to a significant degree				
adverb	oewn-00319894-r	r	disproportionately	disproportionately	dul:Region	R7_adv_default	adverb default (quality region)	in a manner which is out of proportion				
adverb	oewn-00233788-r	r	unerringly	unerringly	dul:Region	R7_adv_default	adverb default (quality region)	without making errors				
