oewn_id	primary_lemma	all_lemmas	pos	current_class	current_tier	current_provenance	rules_triggered	top_proposal	rule_proposals	rationale	gloss	examples	hypernyms	troponym_count	confidence_score	decision
oewn-00410568-v	Americanize	Americanize|Americanise	v	dul:State	propagated_from_hypernym	from oewn-00109468-v[propagated_from_hypernym]	R1	dul:Achievement	R1:dul:Achievement	R1=gloss_starts_'become'	become American in character	After a year in Iowa, he has totally Americanized	oewn-00109468-v	0	2	
oewn-00411574-v	Frenchify	Frenchify	v	dul:State	propagated_from_hypernym	from oewn-00145958-v[propagated_from_hypernym]	R1	dul:Achievement	R1:dul:Achievement	R1=gloss_starts_'become'	become French in appearance or character	This restaurant has Frenchified	oewn-00145958-v	0	2	
oewn-00245945-v	abate	abate|let up|slack off|slack|die away	v	dul:Action	propagated_from_hypernym	from oewn-00151509-v[tier1_derivation]	R1	dul:Achievement	R1:dul:Achievement	R1=gloss_starts_'become'	become less in amount or intensity	The storm abated | The rain let up after a few hours	oewn-00151509-v	0	2	
oewn-01542421-v	absorb	absorb	v	dul:State	propagated_from_hypernym	from oewn-01543237-v[propagated_from_hypernym]	R1	dul:Achievement	R1:dul:Achievement	R1=gloss_starts_'become'	become imbued	The liquids, light, and gases absorb	oewn-01543237-v	2	2	
oewn-02747421-v	accept	accept|take	v	dul:Action	propagated_from_hypernym	from oewn-02708690-v[propagated_from_hypernym]	R1	dul:State	R1:dul:State	R1=gloss_starts_'be'	be designed to hold or take	This surface will not take the dye	oewn-02708690-v	0	2	
oewn-02641114-v	account for	account for	v	dul:Action	propagated_from_hypernym	from oewn-00894956-v[tier1_derivation]	R1	dul:State	R1:dul:State	R1=gloss_starts_'be'	be the reason or explanation for	The recession accounts for the slow retail business	oewn-00894956-v	0	2	
oewn-00211073-v	addle	addle	v	dul:Process	propagated_from_hypernym	from oewn-00210685-v[tier1_derivation]	R1	dul:Achievement	R1:dul:Achievement	R1=gloss_starts_'become'	become rotten	addled eggs	oewn-00210685-v	0	2	
oewn-02644929-v	adhere	adhere|stick	v	dul:Action	propagated_from_hypernym	from oewn-02351891-v[tier1_derivation]	R1	dul:State	R1:dul:State	R1=gloss_starts_'be'	be a devoted follower or supporter	The residents of this village adhered to Catholicism | She sticks to her principles	oewn-02351891-v	0	2	
oewn-00253596-v	adolesce	adolesce	v	dul:Action	propagated_from_hypernym	from oewn-00252905-v[propagated_from_hypernym]	R1	dul:Achievement	R1:dul:Achievement	R1=gloss_starts_'become'	become adolescent; pass through adolescence	The children are beginning to adolesce around the age of 12	oewn-00252905-v	0	2	
oewn-01380605-v	aerosolize	aerosolize|aerosolise	v	dul:Action	propagated_from_hypernym	from oewn-02032840-v[tier1_derivation]	R1	dul:Achievement	R1:dul:Achievement	R1=gloss_starts_'become'	become dispersed as an aerosol	the bacteria quickly aerosolised	oewn-02032840-v	0	2	
oewn-01195161-v	afford	afford	v	dul:Action	propagated_from_hypernym	from oewn-02271905-v[tier1_derivation]	R1	dul:State	R1:dul:State	R1=gloss_starts_'be'	be able to spare or give up	I can't afford to spend two hours with this person	oewn-02271905-v	0	2	
oewn-00078418-v	ail	ail	v	dul:Action	propagated_from_hypernym	from oewn-00064841-v[propagated_from_hypernym]	R1	dul:State	R1:dul:State	R1=gloss_starts_'be'	be ill or unwell		oewn-00064841-v	0	2	
oewn-00975760-v	air	air	v	dul:Process	propagated_from_hypernym	from oewn-00426920-v[propagated_from_hypernym]	R1	dul:State	R1:dul:State	R1=gloss_starts_'be'	be broadcast	This show will air Saturdays at 2 P.M.	oewn-00426920-v	1	2	
oewn-00134706-v	alkalinize	alkalinize|alkalinise	v	dul:State	propagated_from_hypernym	from oewn-00109468-v[propagated_from_hypernym]	R1	dul:Achievement	R1:dul:Achievement	R1=gloss_starts_'become'	become alkaline		oewn-00109468-v	0	2	
oewn-01186429-v	answer	answer	v	dul:Action	propagated_from_hypernym	from oewn-01185870-v[propagated_from_hypernym]	R1	dul:State	R1:dul:State	R1=gloss_starts_'be'	be satisfactory for; meet the requirements of or serve the purpose of	This may answer her needs	oewn-01185870-v	0	2	
oewn-02751892-v	answer	answer	v	dul:Action	propagated_from_hypernym	from oewn-00817348-v[propagated_from_hypernym]	R1	dul:State	R1:dul:State	R1=gloss_starts_'be'	be liable or accountable	She must answer for her actions	oewn-00817348-v	0	2	
oewn-01808928-v	anticipate	anticipate|look for|look to	v	dul:Process	propagated_from_hypernym	from oewn-00721987-v[propagated_from_hypernym]	R1	dul:State	R1:dul:State	R1=gloss_starts_'be'	be excited or anxious about		oewn-00721987-v	1	2	
oewn-00426920-v	appear	appear|come out	v	dul:Process	propagated_from_hypernym	from oewn-00344828-v[tier1_derivation]	R1	dul:State	R1:dul:State	R1=gloss_starts_'be'	be issued or published	Did your latest book appear yet? | The new Woody Allen film hasn't come out yet	oewn-00344828-v	2	2	
oewn-00593736-v	appreciate	appreciate|take account	v	dul:Process	propagated_from_hypernym	from oewn-00592510-v[propagated_from_hypernym]	R1	dul:State	R1:dul:State	R1=gloss_starts_'be'	be fully aware of; realize fully	Do you appreciate the full meaning of this letter?	oewn-00592510-v	0	2	
oewn-02386713-v	ascend	ascend	v	dul:Action	propagated_from_hypernym	from oewn-02386539-v[tier1_derivation]	R1	dul:Achievement	R1:dul:Achievement	R1=gloss_starts_'become'	become king or queen	She ascended to the throne after the King's death	oewn-02386539-v	0	2	
oewn-00160255-v	assimilate	assimilate	v	dul:State	propagated_from_hypernym	from oewn-00109468-v[propagated_from_hypernym]	R1	dul:Achievement	R1:dul:Achievement	R1=gloss_starts_'become'	become similar in sound	The nasal assimilates to the following consonant	oewn-00109468-v	0	2	
oewn-00305443-v	astringe	astringe	v	dul:State	propagated_from_hypernym	from oewn-00305203-v[propagated_from_hypernym]	R1	dul:Achievement	R1:dul:Achievement	R1=gloss_starts_'become'	become constricted or compressed	The cold substance astringes	oewn-00305203-v	0	2	
oewn-01292858-v	attach	attach	v	dul:Action	propagated_from_hypernym	from oewn-01208316-v[tier1_derivation]	R1	dul:State	R1:dul:State	R1=gloss_starts_'be'	be attached; be in contact with		oewn-01208316-v	1	2	
oewn-01293025-v	attach	attach	v	dul:Action	propagated_from_hypernym	from oewn-01293672-v[tier1_derivation]	R1	dul:Achievement	R1:dul:Achievement	R1=gloss_starts_'become'	become attached	The spider's thread attached to the window sill	oewn-01293672-v	5	2	
oewn-00221127-v	attenuate	attenuate	v	dul:Action	propagated_from_hypernym	from oewn-00223926-v[propagated_from_hypernym]	R1	dul:Achievement	R1:dul:Achievement	R1=gloss_starts_'become'	become weaker, in strength, value, or magnitude		oewn-00223926-v	1	2	
oewn-01811849-v	attract	attract|appeal	v	dul:Action	propagated_from_hypernym	from oewn-01771801-v[propagated_from_hypernym]	R1	dul:State	R1:dul:State	R1=gloss_starts_'be'	be attractive to	The idea of a vacation appeals to me | The beautiful garden attracted many people	oewn-01771801-v	2	2	
oewn-01708311-v	author	author	v	dul:Action	propagated_from_hypernym	from oewn-01702148-v[tier1_derivation]	R1	dul:State	R1:dul:State	R1=gloss_starts_'be'	be the author of	She authored this play	oewn-01702148-v	2	2	
oewn-02554745-v	avail	avail	v	dul:Action	propagated_from_hypernym	from oewn-02553283-v[tier1_derivation]	R1	dul:State	R1:dul:State	R1=gloss_starts_'be'	be of use to, be useful to	It will avail them to dispose of their booty	oewn-02553283-v	0	2	
oewn-00134372-v	barbarize	barbarize|barbarise	v	dul:State	propagated_from_hypernym	from oewn-00109468-v[propagated_from_hypernym]	R1	dul:Achievement	R1:dul:Achievement	R1=gloss_starts_'become'	become crude or savage or barbaric in behavior or language		oewn-00109468-v	0	2	
oewn-01550963-v	bask	bask	v	dul:Action	propagated_from_hypernym	from oewn-01549783-v[tier2_indirect]	R1	dul:State	R1:dul:State	R1=gloss_starts_'be'	be exposed	The seals were basking in the sun	oewn-01549783-v	0	2	
oewn-00837185-v	beat around the bush	beat around the bush|equivocate|tergiversate|prevaricate|palter	v	dul:Action	propagated_from_hypernym	from oewn-00835688-v[propagated_from_hypernym]	R1	dul:State	R1:dul:State	R1=gloss_starts_'be'	be deliberately ambiguous or unclear in order to mislead or withhold information		oewn-00835688-v	0	2	
oewn-02099668-v	bed-hop	bed-hop|bedhop|sleep around	v	dul:Action	propagated_from_hypernym	from oewn-01429911-v[propagated_from_hypernym]	R1	dul:State	R1:dul:State	R1=gloss_starts_'be'	be sexually active with more than one partner	His wife bed hops	oewn-01429911-v	0	2	
oewn-02594833-v	befriend	befriend	v	dul:State	propagated_from_hypernym	from oewn-02543752-v[propagated_from_hypernym]	R1	dul:Achievement	R1:dul:Achievement	R1=gloss_starts_'become'	become friends with	John and Eric soon became friends | Have you made friends yet in your new environment?	oewn-02543752-v	1	2	
oewn-02713541-v	beggar	beggar	v	dul:Action	propagated_from_hypernym	from oewn-02713660-v[tier2_indirect]	R1	dul:State	R1:dul:State	R1=gloss_starts_'be'	be beyond the resources of	This beggars description!	oewn-02713660-v	0	2	
oewn-02674167-v	behoove	behoove|behove	v	dul:Action	propagated_from_hypernym	from oewn-02634015-v[tier2_indirect]	R1	dul:State	R1:dul:State	R1=gloss_starts_'be'	be appropriate or necessary	It behooves us to reflect on this matter	oewn-02634015-v	0	2	
oewn-00723022-v	believe	believe|trust	v	dul:Action	propagated_from_hypernym	from oewn-00721658-v[propagated_from_hypernym]	R1	dul:State	R1:dul:State	R1=gloss_starts_'be'	be confident about something	I believe that he will come back from the war	oewn-00721658-v	0	2	
oewn-02295917-v	benefit	benefit|do good	v	dul:Action	propagated_from_hypernym	from oewn-00081834-v[tier1_derivation]	R1	dul:State	R1:dul:State	R1=gloss_starts_'be'	be beneficial for	This will do you good	oewn-00081834-v	0	2	
oewn-00923271-v	bespeak	bespeak|betoken|indicate|point|signal	v	dul:Action	propagated_from_hypernym	from oewn-00954556-v[propagated_from_hypernym]	R1	dul:State	R1:dul:State	R1=gloss_starts_'be'	be a signal for or a symptom of	These symptoms indicate a serious illness | Her behavior points to a severe neurosis | The economic indicators signal that the euro is undervalued	oewn-00954556-v	4	2	
oewn-02088053-v	bestir	bestir|rouse	v	dul:Action	propagated_from_hypernym	from oewn-00014542-v[tier1_derivation]	R1	dul:Achievement	R1:dul:Achievement	R1=gloss_starts_'become'	become active	He finally bestirred himself	oewn-00014542-v	0	2	
oewn-00726626-v	beware	beware|mind	v	dul:Action	propagated_from_hypernym	from oewn-02156396-v[tier1_derivation]	R1	dul:State	R1:dul:State	R1=gloss_starts_'be'	be on one's guard; be cautious or wary about; be alert to	Beware of telephone salesmen	oewn-02156396-v	0	2	
oewn-00362450-v	bloat	bloat	v	dul:Process	propagated_from_hypernym	from oewn-00257393-v[tier1_derivation]	R1	dul:Achievement	R1:dul:Achievement	R1=gloss_starts_'become'	become bloated or swollen or puff up	The dead man's stomach was bloated	oewn-00257393-v	0	2	
oewn-00289921-v	blush	blush	v	dul:Action	propagated_from_hypernym	from oewn-00289793-v[propagated_from_hypernym]	R1	dul:Achievement	R1:dul:Achievement	R1=gloss_starts_'become'	become rosy or reddish	her cheeks blushed in the cold winter air	oewn-00289793-v	0	2	
oewn-00238145-v	boil down	boil down|reduce|decoct|concentrate	v	dul:Action	propagated_from_hypernym	from oewn-00151509-v[tier1_derivation]	R1	dul:State	R1:dul:State	R1=gloss_starts_'be'	be cooked until very little liquid is left	The sauce should reduce to one cup	oewn-00151509-v	0	2	
oewn-00305727-v	bottleneck	bottleneck	v	dul:Action	propagated_from_hypernym	from oewn-00305890-v[tier1_derivation]	R1	dul:Achievement	R1:dul:Achievement	R1=gloss_starts_'become'	become narrow, like a bottleneck	Right by the bridge, the road bottlenecks	oewn-00305890-v	0	2	
oewn-00938019-v	break	break|get out|get around	v	dul:Action	propagated_from_hypernym	from oewn-00427534-v[tier1_derivation]	R1	dul:State	R1:dul:State	R1=gloss_starts_'be'	be released or become known; of news	News of her death broke in the morning	oewn-00427534-v	1	2	
oewn-01231088-v	break	break	v	dul:State	propagated_from_hypernym	from oewn-00122978-v[propagated_from_hypernym]	R1	dul:Achievement	R1:dul:Achievement	R1=gloss_starts_'become'	become punctured or penetrated	The skin broke	oewn-00122978-v	0	2	
oewn-01436773-v	bring	bring	v	dul:Action	propagated_from_hypernym	from oewn-02081903-v[tier1_derivation]	R1	dul:State	R1:dul:State	R1=gloss_starts_'be'	be accompanied by	Can I bring my cousin to the dinner?	oewn-02081903-v	0	2	
oewn-00206174-v	brisk	brisk|brisk up|brisken	v	dul:Action	propagated_from_hypernym	from oewn-00439133-v[tier1_derivation]	R1	dul:Achievement	R1:dul:Achievement	R1=gloss_starts_'become'	become brisk	business brisked up	oewn-00439133-v	0	2	
oewn-00318269-v	broaden	broaden	v	dul:Action	propagated_from_hypernym	from oewn-00156409-v[tier1_derivation]	R1	dul:Achievement	R1:dul:Achievement	R1=gloss_starts_'become'	become broader	The road broadened	oewn-00156409-v	0	2	
oewn-00113661-v	brutalize	brutalize|brutalise|animalize|animalise	v	dul:State	propagated_from_hypernym	from oewn-00109468-v[propagated_from_hypernym]	R1	dul:Achievement	R1:dul:Achievement	R1=gloss_starts_'become'	become brutal or insensitive and unfeeling		oewn-00109468-v	0	2	
oewn-02652841-v	buy	buy	v	dul:Action	propagated_from_hypernym	from oewn-02215637-v[tier1_derivation]	R1	dul:State	R1:dul:State	R1=gloss_starts_'be'	be worth or be capable of buying	This sum will buy you a ride on the train	oewn-02215637-v	0	2	
oewn-00360460-v	buy it	buy it|pip out	v	dul:Event	propagated_from_hypernym	from oewn-00359085-v[tier1_derivation]	R1	dul:State	R1:dul:State	R1=gloss_starts_'be'	be killed or die		oewn-00359085-v	0	2	
oewn-00500069-v	calcify	calcify	v	dul:Process	propagated_from_hypernym	from oewn-00444071-v[tier1_derivation]	R1	dul:Achievement	R1:dul:Achievement	R1=gloss_starts_'become'	become impregnated with calcium salts		oewn-00444071-v	0	2	
oewn-00573439-v	calcify	calcify	v	dul:State	propagated_from_hypernym	from oewn-00109468-v[propagated_from_hypernym]	R1	dul:Achievement	R1:dul:Achievement	R1=gloss_starts_'become'	become inflexible and unchanging	Old folks can calcify	oewn-00109468-v	0	2	
oewn-01767681-v	calm	calm|calm down|cool off|chill out|simmer down|settle down|cool it	v	dul:State	propagated_from_hypernym	from oewn-00145958-v[propagated_from_hypernym]	R1	dul:Achievement	R1:dul:Achievement	R1=gloss_starts_'become'	become quiet or calm, especially after a state of agitation	After the fight both men need to cool off. | It took a while after the baby was born for things to settle down again.	oewn-00145958-v	0	2	
oewn-00089827-v	canker	canker	v	dul:Action	propagated_from_hypernym	from oewn-00087206-v[propagated_from_hypernym]	R1	dul:Achievement	R1:dul:Achievement	R1=gloss_starts_'become'	become infected with a canker		oewn-00087206-v	0	2	
oewn-02445351-v	captain	captain	v	dul:Action	propagated_from_hypernym	from oewn-02445109-v[propagated_from_hypernym]	R1	dul:State	R1:dul:State	R1=gloss_starts_'be'	be the captain of a sports team		oewn-02445109-v	0	2	
oewn-01780135-v	care for	care for|cherish|hold dear|treasure	v	dul:Action	propagated_from_hypernym	from oewn-01779085-v[propagated_from_hypernym]	R1	dul:State	R1:dul:State	R1=gloss_starts_'be'	be fond of; be attached to		oewn-01779085-v	1	2	
oewn-00500503-v	carnify	carnify	v	dul:State	propagated_from_hypernym	from oewn-00145958-v[propagated_from_hypernym]	R1	dul:Achievement	R1:dul:Achievement	R1=gloss_starts_'become'	become muscular or fleshy		oewn-00145958-v	0	2	
oewn-01205694-v	carry	carry	v	dul:Action	propagated_from_hypernym	from oewn-01205348-v[tier1_derivation]	R1	dul:State	R1:dul:State	R1=gloss_starts_'be'	be able to feed	This land will carry ten cows to the acre	oewn-01205348-v	0	2	
oewn-00527309-v	caseate	caseate	v	dul:State	propagated_from_hypernym	from oewn-00109468-v[propagated_from_hypernym]	R1	dul:Achievement	R1:dul:Achievement	R1=gloss_starts_'become'	become cheeselike	necrotic tissue caseates	oewn-00109468-v	0	2	
oewn-00727971-v	catch	catch	v	dul:State	propagated_from_hypernym	from oewn-02133338-v[propagated_from_hypernym]	R1	dul:Achievement	R1:dul:Achievement	R1=gloss_starts_'become'	become aware of	he caught her staring out the window	oewn-02133338-v	0	2	
oewn-01084847-v	catch	catch	v	dul:Action	propagated_from_hypernym	from oewn-01075360-v[propagated_from_hypernym]	R1	dul:State	R1:dul:State	R1=gloss_starts_'be'	be the catcher	Who is catching?	oewn-01075360-v	0	2	
oewn-00544367-v	catch on	catch on	v	dul:State	propagated_from_hypernym	from oewn-00109468-v[propagated_from_hypernym]	R1	dul:Achievement	R1:dul:Achievement	R1=gloss_starts_'become'	become popular	This fashion caught on in Paris	oewn-00109468-v	0	2	
oewn-02124124-v	chafe	chafe|gall|fret	v	dul:Action	propagated_from_hypernym	from oewn-00063062-v[propagated_from_hypernym]	R1	dul:Achievement	R1:dul:Achievement	R1=gloss_starts_'become'	become or make sore by or as if by rubbing		oewn-00063062-v	0	2	
oewn-02226741-v	change hands	change hands|change owners	v	dul:Action	propagated_from_hypernym	from oewn-01854282-v[tier1_derivation]	R1	dul:State	R1:dul:State	R1=gloss_starts_'be'	be transferred to another owner	This restaurant changed hands twice last year	oewn-01854282-v	3	2	
oewn-02703792-v	characterize	characterize|characterise	v	dul:Action	propagated_from_hypernym	from oewn-00653662-v[propagated_from_hypernym]	R1	dul:State	R1:dul:State	R1=gloss_starts_'be'	be characteristic of	What characterizes a Venetian painting?	oewn-00653662-v	2	2	
oewn-02582588-v	cheat on	cheat on|cheat|cuckold|betray|wander	v	dul:Action	propagated_from_hypernym	from oewn-02581157-v[tier1_derivation]	R1	dul:State	R1:dul:State	R1=gloss_starts_'be'	be sexually unfaithful to one's partner in marriage	She cheats on her husband | Might her husband be wandering?	oewn-02581157-v	2	2	
oewn-00860817-v	cheer	cheer|cheer up|chirk up	v	dul:Action	propagated_from_hypernym	from oewn-01817851-v[propagated_from_hypernym]	R1	dul:Achievement	R1:dul:Achievement	R1=gloss_starts_'become'	become cheerful		oewn-01817851-v	2	2	
oewn-01573390-v	choke	choke|gag|fret	v	dul:Action	propagated_from_hypernym	from oewn-01390440-v[tier1_derivation]	R1	dul:State	R1:dul:State	R1=gloss_starts_'be'	be too tight; rub or press	This neckband is choking the cat	oewn-01390440-v	0	2	
