oewn_id	pos	dulplus_class	rule	rationale	primary_lemma	all_lemmas	gloss	pertainym_lemmas
oewn-00005472-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00005204-a	direct	direct|exact	lacking compromising or mitigating elements	
oewn-00005591-r	r	dul:TimeInterval	R2_adv_temporal	temporal marker in gloss	anciently	anciently	in ancient times; long ago	ancient
oewn-00005598-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00005204-a	implicit	implicit|unquestioning	being without doubt or reserve	
oewn-00005717-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00005204-a	infinite	infinite	total and all-embracing	
oewn-00005724-r	r	dul:Region	R7_adv_default	adverb default (quality region)	arguably	arguably	as can be shown by argument	arguable
oewn-00005834-r	r	dul:Region	R1_adv_manner	manner adverb	unabashedly	unabashedly	in an unabashed manner	unabashed
oewn-00005838-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00005204-a	living	living	(informal) absolute	
oewn-00005948-r	r	dul:Region	R1_adv_manner	manner adverb	automatically	automatically	in a reflex manner	automatic
oewn-00006050-a	a	dul:Quality	A5_adj_head_default	adj.all head default	relative	relative|comparative	estimated by comparison; not absolute or complete	
oewn-00006055-r	r	dul:Region	R1_adv_manner	manner adverb	alarmingly	alarmingly	in an alarming manner	alarming
oewn-00006160-r	r	dul:Region	R5_adv_degree	degree/intensity marker in gloss	vastly	vastly|immensely	to an exceedingly great extent or degree	huge,huge
oewn-00006263-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00006050-a	relational	relational	having a relation or being related	
oewn-00006354-a	a	dul:Quality	A5_adj_head_default	adj.all head default	absorbent	absorbent|absorptive	having power or capacity or tendency to absorb or soak up something (liquids or energy etc.)	
oewn-00006415-r	r	dul:Region	R1_adv_manner	manner adverb	grossly	grossly	in a gross manner	crying
oewn-00006486-r	r	dul:Region	R7_adv_default	adverb default (quality region)	largely	largely|mostly|for the most part	in large part; mainly or chiefly	most
oewn-00006640-r	r	dul:Region	R1_adv_manner	manner adverb	significantly	significantly	in a significant manner	significant,significant
oewn-00006795-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00006354-a	absorbefacient	absorbefacient|sorbefacient	inducing or promoting absorption	
oewn-00006822-r	r	dul:Region	R5_adv_degree	degree/intensity marker in gloss	insignificantly	insignificantly	not to a significant degree or amount	insignificant
oewn-00006903-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00006354-a	assimilating	assimilating|assimilative|assimilatory	capable of taking (gas, light, or liquids) into a solution	
oewn-00007009-r	r	dul:Region	R5_adv_degree	degree/intensity marker in gloss	appreciably	appreciably	to a noticeable degree	appreciable
oewn-00007115-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00006354-a	hygroscopic	hygroscopic	absorbing moisture (as from the air)	
oewn-00007128-r	r	dul:Region	R7_adv_default	adverb default (quality region)	ultrasonically	ultrasonically	by ultrasonic means	supersonic
oewn-00007227-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00006354-a	receptive	receptive	able to absorb liquid (not repellent)	
oewn-00007257-r	r	dul:Region	R1_adv_manner	manner adverb	smartly	smartly|modishly|sprucely	in a smart manner	latest,chic,dapper
oewn-00007350-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00006354-a	shock-absorbent	shock-absorbent	having the capacity to absorb the energy of an impact	
oewn-00007414-r	r	dul:Region	R7_adv_default	adverb default (quality region)	approximately	approximately|about|close to|just about|some|roughly|more or less|around|or so	(of quantities) imprecise but fairly close to correct	
oewn-00007535-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00006354-a	spongy	spongy|spongelike	like a sponge in being able to absorb liquids and yield it back when compressed	
oewn-00007716-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00006354-a	thirsty	thirsty	able to take in large quantities of moisture	
oewn-00007832-a	a	dul:Quality	A5_adj_head_default	adj.all head default	nonabsorbent	nonabsorbent|nonabsorptive	not capable of absorbing or soaking up (liquids)	
oewn-00007887-r	r	dul:Region	R5_adv_degree	degree/intensity marker in gloss	absolutely	absolutely	totally and definitely; without question	absolute
oewn-00008009-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00007832-a	repellent	repellent|resistant	incapable of absorbing or mixing with	
oewn-00008102-r	r	dul:Region	R5_adv_degree	degree/intensity marker in gloss	partially	partially|partly|part|in part	to some extent; in some degree; not wholly	partial
oewn-00008225-a	a	dul:Quality	A5_adj_head_default	adj.all head default	adsorbent	adsorbent|adsorptive|surface-assimilative	having capacity or tendency to adsorb or cause to accumulate on a surface	
oewn-00008300-r	r	dul:Region	R5_adv_degree	degree/intensity marker in gloss	half	half	partially or to the extent of a half	half
oewn-00008423-r	r	dul:Region	R5_adv_degree	degree/intensity marker in gloss	wholly	wholly|entirely|completely|totally|all|altogether|whole|right	to a complete degree or to the full or entire extent; Completely or entirely	complete,entire,entire,whole
oewn-00008462-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00008225-a	chemisorptive	chemisorptive|chemosorptive	having the capacity to adsorb by chemical as contrasted with physical forces	
oewn-00008614-a	a	dul:Quality	A5_adj_head_default	adj.all head default	nonadsorbent	nonadsorbent|nonadsorptive	lacking a capacity to adsorb or cause to accumulate on a surface	
oewn-00008753-a	a	dul:Quality	A5_adj_head_default	adj.all head default	absorbable	absorbable	capable of being absorbed or taken in through the pores of a surface	
oewn-00008896-a	a	dul:Quality	A5_adj_head_default	adj.all head default	adsorbable	adsorbable|adsorbate	capable of being adsorbed or accumulated on a surface of a solid	
oewn-00009062-r	r	dul:Region	R7_adv_default	adverb default (quality region)	entirely	entirely|exclusively|solely|alone|only	without any others being included or involved	exclusive,exclusive
oewn-00009065-a	a	dul:Quality	A5_adj_head_default	adj.all head default	abstemious	abstemious	sparing in consumption of especially food and drink	
oewn-00009365-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00009065-a	abstinent	abstinent|abstentious	self-restraining; not indulging an appetite especially for food or drink	
oewn-00009459-r	r	dul:Region	R5_adv_degree	degree/intensity marker in gloss	absolutely	absolutely|perfectly|utterly|dead	completely and without qualification; used informally as intensifiers	absolute,arrant,arrant
oewn-00009637-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00009065-a	ascetic	ascetic|ascetical|austere|spartan	practicing great self-denial	
oewn-00009835-r	r	dul:Region	R5_adv_degree	degree/intensity marker in gloss	clean	clean|plumb|plum	completely; used as intensifiers	
oewn-00009997-a	a	dul:Quality	A5_adj_head_default	adj.all head default	gluttonous	gluttonous	given to excess in consumption of especially food or drink	
oewn-00010003-r	r	dul:Region	R7_adv_default	adverb default (quality region)	plumb	plumb|plum	exactly	
oewn-00010112-r	r	dul:Region	R7_adv_default	adverb default (quality region)	perfectly	perfectly	in a perfect or faultless way	perfect
oewn-00010321-r	r	dul:Region	R5_adv_degree	degree/intensity marker in gloss	pat	pat	completely or perfectly	
oewn-00010404-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00009997-a	crapulous	crapulous	given to gross intemperance in eating or drinking	
oewn-00010428-r	r	dul:Region	R7_adv_default	adverb default (quality region)	please	please	used in polite request	
oewn-00010509-r	r	dul:Region	R7_adv_default	adverb default (quality region)	imperfectly	imperfectly|amiss	in an imperfect or faulty way	imperfect
oewn-00010556-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00009997-a	crapulent	crapulent|crapulous	suffering from excessive eating or drinking	
oewn-00010738-r	r	dul:Region	R7_adv_default	adverb default (quality region)	amiss	amiss	in an improper or mistaken or unfortunate manner	
oewn-00010745-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00009997-a	edacious	edacious|esurient|rapacious|ravening|ravenous|voracious|wolfish	devouring or craving food in great quantities	
oewn-00010928-r	r	dul:Region	R5_adv_degree	degree/intensity marker in gloss	fully	fully|to the full|full	to the greatest degree or extent; completely or entirely; (‘full’ in this sense is used as a combining form)	full
oewn-00011179-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00009997-a	greedy	greedy	wanting to eat or drink more than one can reasonably consume	
oewn-00011221-r	r	dul:Region	R7_adv_default	adverb default (quality region)	only	only	with nevertheless the final result	
oewn-00011346-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00009997-a	hoggish	hoggish|piggish|piggy|porcine|swinish	resembling swine; coarsely gluttonous or greedy	
oewn-00011376-r	r	dul:Region	R7_adv_default	adverb default (quality region)	only	only	in the final outcome	
oewn-00011473-r	r	dul:TimeInterval	R2_adv_temporal	temporal marker in gloss	only	only	as recently as	
oewn-00011555-r	r	dul:Region	R4_adv_frequency	frequency marker in gloss	well	well|good	(often used as a combining form) in a good or proper or satisfactory manner or to a high standard (‘good’ is a nonstandard dialectal variant for ‘well’)	
oewn-00011684-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00009997-a	overgreedy	overgreedy|too-greedy	excessively gluttonous	
oewn-00011776-a	a	dul:Quality	A5_adj_head_default	adj.all head default	abstract	abstract	existing only in the mind; separated from embodiment	
oewn-00011978-r	r	dul:Region	R4_adv_frequency	frequency marker in gloss	ill	ill|badly|poorly	(‘ill’ is often used as a combining form) in a poor or improper or unsatisfactory manner; not well	hapless
oewn-00012090-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00011776-a	conceptional	conceptional|ideational|notional	being of the nature of a notion or concept	
oewn-00012378-r	r	dul:Region	R4_adv_frequency	frequency marker in gloss	ill	ill	with difficulty or inconvenience; scarcely or hardly	
oewn-00012381-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00011776-a	conceptual	conceptual	being or characterized by concepts or their formation	
oewn-00012509-r	r	dul:Region	R1_adv_manner	manner adverb	isotropically	isotropically	in an isotropic manner	isotropic
oewn-00012591-r	r	dul:Region	R7_adv_default	adverb default (quality region)	well	well	without unusual distress or resentment; with good humor	
oewn-00012708-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00011776-a	ideal	ideal	constituting or existing only in the form of an idea or mental image or conception	
oewn-00012748-r	r	dul:Region	R7_adv_default	adverb default (quality region)	badly	badly	with unusual distress or resentment or regret or emotional display	
oewn-00012951-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00011776-a	ideological	ideological|ideologic	concerned with or suggestive of ideas	
oewn-00012993-r	r	dul:Region	R7_adv_default	adverb default (quality region)	well	well|easily	indicating high probability; in all likelihood	
oewn-00013179-a	a	dul:Quality	A5_adj_head_default	adj.all head default	concrete	concrete	capable of being perceived by the senses; not abstract or imaginary	
oewn-00013241-r	r	dul:Region	R4_adv_frequency	frequency marker in gloss	well	well	thoroughly or completely; fully; often used as a combining form	
oewn-00013461-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00013179-a	objective	objective	belonging to immediate experience of actual things or events	
oewn-00013554-r	r	dul:Region	R7_adv_default	adverb default (quality region)	well	well	favorably; with approval	
oewn-00013681-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00013179-a	real	real|tangible	capable of being treated as fact	
oewn-00013698-r	r	dul:Region	R7_adv_default	adverb default (quality region)	ill	ill|badly	unfavorably or with disapproval	bad
oewn-00013891-r	r	dul:Region	R5_adv_degree	degree/intensity marker in gloss	well	well	to a suitable or appropriate extent or degree	
oewn-00013906-a	a	dul:Quality	A5_adj_head_default	adj.all head default	abundant	abundant	present in great quantity	
oewn-00014088-r	r	dul:Region	R7_adv_default	adverb default (quality region)	well	well|comfortably	in financial comfort	comfortable
oewn-00014255-r	r	dul:Region	R1_adv_manner	manner adverb	well	well|advantageously	in a manner affording benefit or advantage	advantageous
oewn-00014377-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00013906-a	abounding	abounding|galore	existing in abundance	
oewn-00014476-r	r	dul:Region	R1_adv_manner	manner adverb	badly	badly|disadvantageously	in a disadvantageous way; to someone's disadvantage	disadvantageous
oewn-00014509-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00013906-a	ample	ample|copious|plenteous|plentiful|rich	affording an abundant supply	
oewn-00014747-r	r	dul:Region	R5_adv_degree	degree/intensity marker in gloss	well	well|considerably|substantially	to a great extent or degree	considerable,significant
oewn-00014877-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00013906-a	copious	copious|voluminous	large in number or quantity (especially of discourse)	
oewn-00015078-r	r	dul:Region	R7_adv_default	adverb default (quality region)	well	well	with skill or in a pleasing manner	
oewn-00015134-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00013906-a	easy	easy	obtained with little effort or sacrifice, often obtained illegally	
oewn-00015200-r	r	dul:Region	R7_adv_default	adverb default (quality region)	badly	badly	without skill or in a displeasing manner	
oewn-00015284-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00013906-a	exuberant	exuberant|lush|luxuriant|profuse|riotous	produced or growing in extreme abundance	
oewn-00015344-r	r	dul:Region	R7_adv_default	adverb default (quality region)	well	well	with prudence or propriety	
oewn-00015469-r	r	dul:Region	R7_adv_default	adverb default (quality region)	well	well|intimately	with great or especially intimate knowledge	intimate
oewn-00015517-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00013906-a	thick	thick	abounding; having a lot of	
oewn-00015597-r	r	dul:Region	R5_adv_degree	degree/intensity marker in gloss	well	well	(used for emphasis or as an intensifier) entirely or fully	
oewn-00015626-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00013906-a	long	long	having or being more than normal or necessary	
oewn-00015758-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00013906-a	overabundant	overabundant|plethoric|rife	excessively abundant	
oewn-00015830-r	r	dul:Region	R1_adv_manner	manner adverb	satisfactorily	satisfactorily	in a satisfactory manner	satisfactory
oewn-00015892-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00013906-a	plentiful	plentiful	existing in great number or quantity	
oewn-00015933-r	r	dul:Region	R7_adv_default	adverb default (quality region)	okay	okay|O.K.|all right|alright	in a satisfactory or adequate manner	
oewn-00016043-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00013906-a	rampant	rampant	(of a plant) having a lush and unchecked growth	
oewn-00016168-r	r	dul:Region	R1_adv_manner	manner adverb	unsatisfactorily	unsatisfactorily	in an unsatisfactory manner	unsatisfactory
oewn-00016173-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00013906-a	rank	rank	growing profusely	
oewn-00016285-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00013906-a	superabundant	superabundant	most excessively abundant	
oewn-00016322-r	r	dul:Region	R1_adv_manner	manner adverb	prosperously	prosperously	in the manner of prosperous people	comfortable
oewn-00016388-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00013906-a	teeming	teeming	abundantly filled with especially living things	
oewn-00016415-r	r	dul:Region	R5_adv_degree	degree/intensity marker in gloss	badly	badly|severely|gravely|seriously	to a severe or serious degree	dangerous,dangerous,severe
oewn-00016570-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00013906-a	torrential	torrential	pouring in abundance	
oewn-00016685-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00013906-a	verdant	verdant	characterized by abundance of verdure	
oewn-00016702-r	r	dul:Region	R5_adv_degree	degree/intensity marker in gloss	badly	badly|bad	very much; strongly	
oewn-00016794-a	a	dul:Quality	A5_adj_head_default	adj.all head default	scarce	scarce	deficient in quantity or number compared with the demand	
oewn-00016920-r	r	dul:Region	R7_adv_default	adverb default (quality region)	badly	badly|bad	with great intensity (‘bad’ is a nonstandard variant for ‘badly’)	bad
oewn-00017062-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00016794-a	rare	rare	not widely distributed	
oewn-00017140-r	r	dul:Region	R7_adv_default	adverb default (quality region)	badly	badly|mischievously|naughtily	in a disobedient or naughty way	naughty
oewn-00017224-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00016794-a	tight	tight	affected by scarcity and expensive to borrow	
oewn-00017390-a	a	dul:Quality	A5_adj_head_default	adj.all head default	abused	abused|ill-treated|maltreated|mistreated	subjected to cruel treatment	
oewn-00017412-r	r	dul:Region	R7_adv_default	adverb default (quality region)	badly	badly	evilly or wickedly	bad
oewn-00017539-r	r	dul:Region	R7_adv_default	adverb default (quality region)	worse	worse	(comparative of ‘ill’) in a less effective or successful or desirable manner	
oewn-00017547-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00017390-a	battered	battered	exhibiting symptoms resulting from repeated physical and emotional injury	
oewn-00017703-r	r	dul:Region	R5_adv_degree	degree/intensity marker in gloss	worst	worst	to the highest degree of inferiority or badness	
oewn-00017726-a	a	dul:Quality	A5_adj_head_default	adj.all head default	unabused	unabused	not physically abused; treated properly	
oewn-00017820-a	a	dul:Quality	A5_adj_head_default	adj.all head default	acceptable	acceptable	worthy of acceptance or satisfactory	
oewn-00017907-r	r	dul:Region	R7_adv_default	adverb default (quality region)	even	even|e'en	used as an intensive especially to indicate something unexpected	
oewn-00018101-r	r	dul:Region	R5_adv_degree	degree/intensity marker in gloss	even	even|yet|still	to a greater degree or extent; used with comparisons	
oewn-00018107-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00017820-a	bankable	bankable	acceptable to or at a bank	
oewn-00018260-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00017820-a	unexceptionable	unexceptionable|unimpeachable	completely acceptable; not open to exception or reproach	
oewn-00018343-r	r	dul:Region	R7_adv_default	adverb default (quality region)	even as	even as|just as	at the same time as	
oewn-00018473-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00017820-a	unobjectionable	unobjectionable	not objectionable	
oewn-00018505-r	r	dul:Region	R7_adv_default	adverb default (quality region)	even	even	in spite of; notwithstanding	
oewn-00018622-a	a	dul:Quality	A5_adj_head_default	adj.all head default	unacceptable	unacceptable	not acceptable; not welcome	
oewn-00018651-r	r	dul:Region	R5_adv_degree	degree/intensity marker in gloss	even	even	to the full extent	
oewn-00018764-r	r	dul:Region	R5_adv_degree	degree/intensity marker in gloss	rather	rather|kind of|kinda|sort of	to some (great or small) extent	
oewn-00018888-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00018622-a	exceptionable	exceptionable|objectionable	liable to objection or debate; used of something one might take exception to	
oewn-00019039-r	r	dul:Region	R5_adv_degree	degree/intensity marker in gloss	quite	quite	to the greatest extent; completely	
oewn-00019169-a	a	dul:Quality	A5_adj_head_default	adj.all head default	accessible	accessible	capable of being reached	
oewn-00019243-r	r	dul:Region	R5_adv_degree	degree/intensity marker in gloss	quite	quite|rather	to a degree (not used with a negative)	
oewn-00019380-r	r	dul:Region	R7_adv_default	adverb default (quality region)	quite	quite|quite a|quite an	of an unusually noticeable or exceptional or remarkable kind (not used with a negative)	
oewn-00019387-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00019169-a	approachable	approachable|reachable	easily approached	
oewn-00019543-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00019169-a	come-at-able	come-at-able|get-at-able|getatable	capable of being reached or attained	
oewn-00019643-r	r	dul:Region	R7_adv_default	adverb default (quality region)	quite	quite	actually or truly or to an extreme	
oewn-00019769-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00019169-a	handy	handy|ready to hand	easy to reach	
oewn-00019801-r	r	dul:Region	R7_adv_default	adverb default (quality region)	always	always|ever|e'er	at all times; all the time and on every occasion	
oewn-00019912-a	a	dul:Quality	A5_adj_head_default	adj.all head default	inaccessible	inaccessible|unaccessible	capable of being reached only with great difficulty or not at all	
oewn-00020071-r	r	dul:Region	R7_adv_default	adverb default (quality region)	always	always	forever; throughout all time	
oewn-00020141-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00019912-a	outback	outback|remote	inaccessible and sparsely populated	
oewn-00020219-r	r	dul:Region	R7_adv_default	adverb default (quality region)	always	always	at any time or in any event	
oewn-00020278-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00019912-a	pathless	pathless|roadless|trackless|untracked|untrod|untrodden	lacking pathways	
oewn-00020362-r	r	dul:Region	R7_adv_default	adverb default (quality region)	con brio	con brio	(music) with vigor	con brio
oewn-00020447-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00019912-a	unapproachable	unapproachable|unreachable|unreached|out of reach	inaccessibly located or situated	
oewn-00020474-r	r	dul:Region	R1_adv_manner	manner adverb	conjecturally	conjecturally	in a manner involving or inclined to conjecture and supposition	conjectural
oewn-00020597-r	r	dul:Region	R1_adv_manner	manner adverb	consecutively	consecutively	in a consecutive manner	straight
oewn-00020684-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00019912-a	un-come-at-able	un-come-at-able|un-get-at-able|ungetatable	difficult to reach or attain	
oewn-00020735-r	r	dul:Region	R7_adv_default	adverb default (quality region)	constantly	constantly|always|forever|perpetually|incessantly	invariably	ceaseless,ceaseless,ceaseless
oewn-00020824-a	a	dul:Quality	A5_adj_head_default	adj.all head default	accommodating	accommodating|accommodative	helpful in bringing about a harmonious adaptation	
oewn-00020931-r	r	dul:Region	R7_adv_default	adverb default (quality region)	constantly	constantly|invariably|always	without variation or change, in every case	changeless,invariable
oewn-00021131-r	r	dul:Region	R1_adv_manner	manner adverb	coterminously	coterminously	in a coterminous manner	coextensive
oewn-00021147-s	s	dul:Quality	A1_satellite_inherits_head	inherited from head oewn-00020824-a	complaisant	complaisant|obliging	showing a cheerful willingness to do favors for others	
